step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
608,CASH_OUT,12611.76,C1605719580,36924.0,24312.24,C1214414214,1.391768761E7,1.393029937E7
608,TRANSFER,38402.98,C1925728552,50742.0,12339.02,C2076486423,212129.24,250532.22
608,PAYMENT,2881.43,C38262515,1088.0,0.0,M404704424,0.0,0.0
608,TRANSFER,22874.46,C1836051457,154.0,0.0,C60624550,46918.16,69792.62
608,CASH_OUT,100123.58,C1566472589,14371.0,0.0,C236945479,1.766530169E7,1.776542527E7
608,PAYMENT,30911.26,C1628621979,0.0,0.0,M51029533,0.0,0.0
608,PAYMENT,10288.66,C295132569,51975.0,41686.34,M1068227639,0.0,0.0
608,PAYMENT,16693.7,C1219144013,41686.34,24992.64,M507954187,0.0,0.0
608,CASH_OUT,38835.51,C899033551,79365.0,40529.49,C483091479,287586.75,326422.26
608,TRANSFER,388171.95,C1413288238,388171.95,0.0,C1384608658,0.0,0.0
608,CASH_OUT,388171.95,C1228945957,388171.95,0.0,C1532344738,0.0,388171.95
608,PAYMENT,34.37,C1628363162,74505.0,74470.63,M1708280869,0.0,0.0
608,CASH_OUT,96669.53,C1507493328,101734.0,5064.47,C831515314,525197.62,621867.15
608,CASH_OUT,40415.09,C293801436,211636.0,171220.91,C240787463,5817622.66,5858037.75
608,CASH_OUT,44071.95,C114742399,171220.91,127148.96,C1280739079,91220.54,135292.48
608,CASH_OUT,106357.56,C1897006052,127148.96,20791.4,C760909030,194751.86,301109.43
608,CASH_OUT,60747.56,C2087451667,20791.4,0.0,C1561159373,198960.73,259708.3
608,CASH_OUT,346748.71,C1963975599,0.0,0.0,C1272284380,477890.46,824639.18
608,CASH_OUT,549794.6,C1170912349,0.0,0.0,C1883240995,2684536.05,3234330.65
608,CASH_OUT,191894.1,C606503459,0.0,0.0,C486991400,253469.75,445363.85
608,CASH_OUT,210609.22,C118385104,0.0,0.0,C1737456013,297505.86,508115.07
608,CASH_OUT,482905.19,C219607045,0.0,0.0,C1720418736,565386.04,1048291.24
608,CASH_OUT,507613.46,C502191526,0.0,0.0,C562838208,1921081.5,2428694.97
608,CASH_OUT,190694.42,C231308194,0.0,0.0,C1527093324,705718.7,896413.12
608,PAYMENT,7311.8,C2038289186,11599.0,4287.2,M1137803984,0.0,0.0
608,CASH_OUT,178405.24,C687422697,152398.0,0.0,C336143796,72855.5,251260.74
608,DEBIT,3410.3,C1856722495,19819.0,16408.7,C1599718307,778049.83,781460.14
608,PAYMENT,1483.74,C2035837963,62376.0,60892.26,M919647986,0.0,0.0
608,PAYMENT,11281.63,C1471138485,19129.0,7847.37,M1661035729,0.0,0.0
608,PAYMENT,2855.35,C1493394574,11428.0,8572.65,M1784098426,0.0,0.0
608,CASH_IN,51778.99,C1124383719,678917.0,730695.99,C530343822,87092.83,35313.84
608,PAYMENT,11944.44,C726362298,730695.99,718751.54,M1764642377,0.0,0.0
608,PAYMENT,5209.0,C987335144,11341.0,6132.0,M1558501079,0.0,0.0
608,PAYMENT,4074.88,C739933001,40817.0,36742.12,M937239685,0.0,0.0
608,TRANSFER,7448.77,C1102933343,129143.0,121694.23,C1933849152,0.0,7448.77
608,TRANSFER,478325.03,C991254993,80423.0,0.0,C1947706324,1052849.24,1531174.27
608,CASH_OUT,167970.4,C1143651785,0.0,0.0,C1327192590,989250.39,1157220.79
608,PAYMENT,9589.3,C445464773,108644.0,99054.7,M821035358,0.0,0.0
608,PAYMENT,4547.92,C557456704,101607.0,97059.08,M820983899,0.0,0.0
608,PAYMENT,4417.69,C1075105259,38066.0,33648.31,M1893654086,0.0,0.0
608,PAYMENT,5360.58,C25103616,10660.0,5299.42,M1218171028,0.0,0.0
608,PAYMENT,121.95,C780548089,405.0,283.05,M682422401,0.0,0.0
608,CASH_OUT,49624.92,C1371729817,12027.0,0.0,C1128836131,0.0,49624.92
608,PAYMENT,1053.5,C1196132933,14500.0,13446.5,M1483560106,0.0,0.0
608,PAYMENT,18057.09,C386572254,13446.5,0.0,M1374819457,0.0,0.0
608,PAYMENT,13375.27,C1248900440,0.0,0.0,M2013950136,0.0,0.0
608,PAYMENT,1203.7,C993915912,11084.0,9880.3,M2049620466,0.0,0.0
608,PAYMENT,4849.68,C893327770,9880.3,5030.62,M505098293,0.0,0.0
608,PAYMENT,4546.65,C1246894666,25772.0,21225.35,M1704513499,0.0,0.0
608,PAYMENT,1443.75,C673638715,21225.35,19781.61,M1870397074,0.0,0.0
608,PAYMENT,10254.59,C899758461,19781.61,9527.02,M375705093,0.0,0.0
608,PAYMENT,8806.35,C160731843,9527.02,720.66,M967533069,0.0,0.0
608,PAYMENT,6356.17,C100523668,720.66,0.0,M903425224,0.0,0.0
608,PAYMENT,36124.3,C418816570,0.0,0.0,M2049904675,0.0,0.0
608,PAYMENT,2064.58,C298674316,0.0,0.0,M1838065937,0.0,0.0
608,PAYMENT,2272.44,C1086599656,0.0,0.0,M1114148827,0.0,0.0
608,PAYMENT,16715.12,C941299218,0.0,0.0,M549844513,0.0,0.0
608,PAYMENT,8103.75,C1097844896,0.0,0.0,M1207931137,0.0,0.0
608,PAYMENT,7566.76,C666154090,0.0,0.0,M684665411,0.0,0.0
