step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
150,TRANSFER,1335959.76,C1644591810,1335959.76,0.0,C2090168733,0.0,0.0
150,CASH_OUT,1335959.76,C863602835,1335959.76,0.0,C1595218853,73654.55,1409614.31
150,TRANSFER,119454.86,C1944439526,119454.86,0.0,C525813177,0.0,0.0
150,CASH_OUT,119454.86,C1044668407,119454.86,0.0,C1238137303,0.0,119454.86
150,TRANSFER,67653.75,C1875243671,67653.75,0.0,C342413746,0.0,0.0
150,CASH_OUT,67653.75,C277332716,67653.75,0.0,C1073000277,246219.93,313873.68
150,TRANSFER,163852.19,C1298700512,163852.19,0.0,C1954906518,0.0,0.0
150,CASH_OUT,163852.19,C1364188509,163852.19,0.0,C1652775924,548967.17,712819.36
150,TRANSFER,147171.3,C299814057,147171.3,0.0,C1248568402,0.0,0.0
150,CASH_OUT,147171.3,C1071705308,147171.3,0.0,C1917732359,1326800.77,1473972.06
150,TRANSFER,3178915.22,C919002200,3178915.22,0.0,C1705969285,0.0,0.0
150,CASH_OUT,3178915.22,C424434408,3178915.22,0.0,C524837856,690831.94,3869747.17
150,TRANSFER,1994285.14,C2123396844,1994285.14,0.0,C304787673,0.0,0.0
150,CASH_OUT,1994285.14,C1177478126,1994285.14,0.0,C801773447,150793.71,2145078.85
