step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
218,TRANSFER,7983958.34,C58219748,7983958.34,0.0,C792397679,0.0,0.0
218,CASH_OUT,7983958.34,C1199373292,7983958.34,0.0,C440599856,792097.13,8776055.47
218,TRANSFER,61470.02,C1928586113,61470.02,0.0,C2024262984,0.0,0.0
218,CASH_OUT,61470.02,C1521065276,61470.02,0.0,C1756737753,4118329.74,4179799.77
218,TRANSFER,145379.14,C460813809,145379.14,0.0,C1079863947,0.0,0.0
218,CASH_OUT,145379.14,C1005866728,145379.14,0.0,C677701060,2214587.74,2359966.88
218,TRANSFER,1476248.65,C1458982396,1476248.65,0.0,C534254918,0.0,0.0
218,CASH_OUT,1476248.65,C1084254819,1476248.65,0.0,C895432716,212179.0,1688427.66
218,TRANSFER,494453.52,C2003844329,494453.52,0.0,C1624790907,0.0,0.0
218,CASH_OUT,494453.52,C743091050,494453.52,0.0,C2058049748,249657.93,744111.45
218,TRANSFER,957432.32,C1415925120,957432.32,0.0,C1578069849,0.0,0.0
218,CASH_OUT,957432.32,C261371522,957432.32,0.0,C941458024,4634.35,962066.67
