step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
715,CASH_IN,124471.74,C1680680526,175464.0,299935.74,C1909102029,18488.1,0.0
715,CASH_OUT,351013.05,C1874919024,340991.0,0.0,C487434073,345924.94,696937.99
715,CASH_OUT,373658.31,C763570667,32098.0,0.0,C2104570143,0.0,373658.31
715,CASH_OUT,25407.88,C2093489966,205725.0,180317.12,C200357691,2375141.43,2400549.31
715,PAYMENT,7480.75,C1901746607,51793.0,44312.25,M419498634,0.0,0.0
715,PAYMENT,9235.84,C771335216,164.0,0.0,M301264846,0.0,0.0
715,CASH_IN,59128.58,C843074430,58290.0,117418.58,C1040153466,2456353.15,2397224.57
715,PAYMENT,2678.08,C595874534,914.0,0.0,M1128049282,0.0,0.0
715,CASH_IN,163626.76,C1971369908,827.0,164453.76,C441696904,17964.87,0.0
715,CASH_OUT,22988.2,C1160452545,5009.0,0.0,C832207378,0.0,22988.2
715,PAYMENT,14375.88,C1144615136,1338.0,0.0,M1660402271,0.0,0.0
715,CASH_IN,58776.34,C314219682,20719.0,79495.34,C1662412990,4.137901065E7,4.132023432E7
715,CASH_OUT,89514.42,C264399397,2870.0,0.0,C1419507254,53804.37,143318.79
715,CASH_OUT,5077.43,C7583053,50062.0,44984.57,C1191855760,5265916.56,5270993.99
715,CASH_IN,253652.52,C1602863710,214065.0,467717.52,C551212468,33644.0,0.0
715,CASH_OUT,99083.1,C420485761,1134.0,0.0,C1957075434,787567.49,886650.59
715,CASH_IN,158112.58,C85973188,261132.0,419244.58,C19022745,0.0,0.0
715,CASH_IN,15667.26,C417062135,25455.0,41122.26,C1331301409,130308.93,114641.67
715,CASH_OUT,344651.34,C156333696,130.0,0.0,C1469593986,465132.6,809783.94
715,TRANSFER,134243.15,C277651769,19101.0,0.0,C2135414549,0.0,134243.15
715,CASH_OUT,4334.73,C1806598676,102204.0,97869.27,C964940633,742295.82,746630.55
715,CASH_OUT,192399.04,C760530930,119488.0,0.0,C79540194,349914.44,542313.48
715,CASH_OUT,39157.6,C791892398,1226.0,0.0,C1386379022,7334708.95,7373866.55
715,CASH_OUT,46494.41,C1522771992,31632.0,0.0,C1312401451,321943.72,368438.13
715,TRANSFER,622144.81,C1172451190,1196.0,0.0,C1456963743,44089.63,666234.44
715,CASH_IN,259941.19,C1308760943,18251.0,278192.19,C574433656,0.0,0.0
715,TRANSFER,410099.84,C2072616224,39382.0,0.0,C1459677374,1386964.32,1797064.16
715,CASH_OUT,110084.49,C1020094753,85195.0,0.0,C1901544370,939956.61,1050041.1
715,CASH_IN,278177.9,C1744857169,40420.0,318597.9,C2011984009,0.0,0.0
715,PAYMENT,24628.39,C906485597,20277.0,0.0,M30422048,0.0,0.0
715,CASH_OUT,318221.17,C1443090778,60125.0,0.0,C483181476,257309.96,575531.13
715,TRANSFER,143641.75,C1026193707,1222.0,0.0,C749399594,0.0,143641.75
715,PAYMENT,33925.36,C895464676,15334.0,0.0,M900654939,0.0,0.0
715,CASH_OUT,48373.11,C2104453557,1092.0,0.0,C2007660613,4118706.67,4167079.78
715,CASH_OUT,237633.29,C333620242,21415.0,0.0,C1297847565,139651.62,377284.91
715,CASH_OUT,202691.57,C1532152350,24161.0,0.0,C1821075330,8382300.59,8584992.16
715,CASH_OUT,2996.14,C428108304,29721.0,26724.86,C1039319614,6630216.78,6633212.93
715,CASH_OUT,205877.63,C530614868,21779.0,0.0,C1454613572,0.0,205877.63
715,PAYMENT,17712.06,C426016646,4016.0,0.0,M1420510350,0.0,0.0
715,CASH_IN,169786.43,C1850040545,44844.0,214630.43,C1940488528,388928.83,219142.39
715,CASH_OUT,48703.08,C1974248791,83529.0,34825.92,C1482748773,130834.39,179537.47
715,CASH_OUT,291501.73,C1326345259,286356.0,0.0,C772952206,72932.5,364434.24
715,CASH_OUT,116744.63,C1091554928,21151.0,0.0,C222444612,0.0,116744.63
715,PAYMENT,15333.94,C76082392,3030.0,0.0,M345925379,0.0,0.0
715,CASH_OUT,112709.8,C676150927,30841.0,0.0,C2090596978,2850047.24,2962757.03
715,CASH_IN,58539.03,C386800056,21060.0,79599.03,C849511305,11977.35,0.0
715,CASH_IN,27448.01,C1411631533,5088.0,32536.01,C1384453201,204588.47,177140.46
715,PAYMENT,624.59,C862067285,3148.0,2523.41,M1914369008,0.0,0.0
715,CASH_IN,33816.27,C356444114,11499.0,45315.27,C286898559,583609.44,549793.17
715,CASH_OUT,296097.34,C1595554425,72939.0,0.0,C2072344388,2077713.01,2373810.34
715,PAYMENT,7091.13,C2080973693,65086.0,57994.87,M1495915135,0.0,0.0
715,PAYMENT,19581.64,C994817791,108165.0,88583.36,M898406941,0.0,0.0
715,TRANSFER,295607.45,C11228442,6073.0,0.0,C872799090,1889985.97,2185593.42
715,CASH_OUT,429014.69,C398892370,196.0,0.0,C2107309191,2.918369251E7,2.961270719E7
715,CASH_IN,269192.85,C1910254875,20364.0,289556.85,C1365918662,1.536512532E7,1.509593246E7
715,CASH_OUT,15649.3,C542186831,43770.0,28120.7,C1699473557,497519.33,513168.63
715,CASH_OUT,163069.04,C2055774170,52191.0,0.0,C2121724206,347397.93,510466.97
715,PAYMENT,25682.31,C1502061012,61639.0,35956.69,M1227094794,0.0,0.0
715,PAYMENT,14160.32,C1630551044,764.0,0.0,M1610090935,0.0,0.0
715,CASH_OUT,88845.26,C999660189,20615.0,0.0,C885219190,776200.02,865045.28
715,PAYMENT,8420.83,C1840827726,1689.0,0.0,M227024097,0.0,0.0
715,CASH_OUT,75835.63,C304224598,21448.0,0.0,C2104868229,140842.83,216678.45
715,CASH_OUT,117228.18,C99887357,263.0,0.0,C755202403,139021.18,256249.36
715,CASH_OUT,131870.0,C772626352,2075.0,0.0,C1811496612,0.0,131870.0
715,PAYMENT,4094.78,C1664039300,80515.0,76420.22,M1640326174,0.0,0.0
715,CASH_IN,348966.67,C1163004699,3041.0,352007.67,C926398480,1290282.73,941316.05
715,CASH_OUT,90654.57,C19297494,411995.0,321340.43,C1089344309,8170296.91,8260951.48
715,CASH_OUT,84563.78,C459247215,13109.0,0.0,C605175635,35394.49,119958.27
715,CASH_OUT,26494.42,C1366355086,28427.0,1932.58,C167828735,22697.85,49192.26
715,CASH_OUT,228169.59,C70205288,233041.0,4871.41,C9837383,609775.73,837945.32
715,PAYMENT,5505.17,C916290559,116334.0,110828.83,M1373022133,0.0,0.0
715,CASH_OUT,40034.64,C118760861,523.0,0.0,C1311438732,6418800.65,6458835.28
715,CASH_OUT,93674.28,C2059247208,65522.0,0.0,C732454955,0.0,93674.28
715,PAYMENT,6842.53,C656556099,10403.0,3560.47,M1127063581,0.0,0.0
715,CASH_OUT,310925.69,C1697860904,620137.0,309211.31,C977910307,0.0,310925.69
715,CASH_IN,80245.37,C1936441656,9549.0,89794.37,C2035003344,0.0,0.0
715,PAYMENT,13834.99,C1182705486,10294.0,0.0,M1761467092,0.0,0.0
715,CASH_OUT,340063.82,C400064750,10244.0,0.0,C640758149,3360890.8,3700954.62
715,CASH_IN,153491.03,C974643500,6156.0,159647.03,C692500794,0.0,0.0
715,CASH_OUT,76027.53,C157312503,17039.0,0.0,C1757655028,56780.98,132808.5
715,CASH_IN,4738.35,C265102709,21368.0,26106.35,C760324867,3284696.27,3279957.93
715,CASH_OUT,56212.23,C1556155282,18347.0,0.0,C1787799205,3331358.74,3387570.97
715,CASH_OUT,180641.1,C1507495847,436656.0,256014.9,C259141988,428629.39,609270.49
715,CASH_OUT,191980.4,C1394542262,29792.0,0.0,C331670026,310553.36,502533.77
715,TRANSFER,313911.3,C899639085,10035.0,0.0,C1464619691,182233.73,496145.03
715,CASH_OUT,106853.0,C1641441175,20334.0,0.0,C1991105475,1724959.41,1831812.41
715,CASH_OUT,161116.2,C1820093373,135.0,0.0,C1270030965,108967.39,270083.59
715,PAYMENT,4005.34,C1207822898,4577.0,571.66,M160779247,0.0,0.0
715,TRANSFER,65734.67,C1529704341,62831.0,0.0,C809545270,0.0,65734.67
715,CASH_IN,66474.67,C1409537742,125910.0,192384.67,C1303346582,0.0,0.0
715,CASH_OUT,184131.62,C2080840198,71645.0,0.0,C1015971067,41883.92,226015.53
715,CASH_OUT,88900.84,C1609493594,7003.0,0.0,C1645500541,663211.04,752111.88
715,CASH_OUT,179070.75,C1863283189,101892.0,0.0,C297147465,3696463.78,3875534.53
715,CASH_IN,352375.35,C628129660,81500.0,433875.35,C882983912,318357.24,0.0
715,CASH_IN,131890.81,C1642301182,25717.0,157607.81,C720873988,158239.83,26349.02
715,PAYMENT,3608.78,C1229404836,35978.0,32369.22,M1565747872,0.0,0.0
715,CASH_OUT,50706.04,C2071881193,10469.0,0.0,C292880993,0.0,50706.04
715,CASH_IN,259064.34,C114804750,63420.0,322484.34,C551973690,401173.73,142109.39
715,CASH_OUT,28543.1,C1983201386,26131.0,0.0,C1968349326,294605.6,323148.7
715,PAYMENT,33559.33,C812982886,5001.0,0.0,M950818988,0.0,0.0
715,CASH_IN,71683.33,C8609807,104144.0,175827.33,C1854752248,429494.75,357811.42
715,TRANSFER,267082.95,C1550403173,94850.0,0.0,C1980165280,5003357.09,5270440.03
715,PAYMENT,3897.5,C1167468956,10144.0,6246.5,M522547386,0.0,0.0
715,CASH_OUT,184831.11,C79558729,11434.0,0.0,C432250489,3158082.34,3342913.45
715,CASH_OUT,76953.25,C309451989,10913.0,0.0,C160621669,0.0,76953.25
715,CASH_IN,58159.48,C1717554638,196.0,58355.48,C1390572379,280021.84,221862.36
