step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
438,TRANSFER,455014.69,C312774959,455014.69,0.0,C2129735982,0.0,0.0
438,CASH_OUT,455014.69,C1949729831,455014.69,0.0,C1178309251,700724.17,1155738.85
438,TRANSFER,4626269.69,C1985447713,4626269.69,0.0,C1824172019,0.0,0.0
438,CASH_OUT,4626269.69,C1879221342,4626269.69,0.0,C280556441,4501183.12,9127452.81
438,TRANSFER,1648547.69,C1184464536,1648547.69,0.0,C919670437,0.0,0.0
438,CASH_OUT,1648547.69,C114220496,1648547.69,0.0,C1447772866,52864.15,1701411.84
438,TRANSFER,176776.55,C1282030759,176776.55,0.0,C2119586471,0.0,0.0
438,CASH_OUT,176776.55,C699355424,176776.55,0.0,C1385675142,207998.29,384774.84
438,TRANSFER,60274.87,C609191731,60274.87,0.0,C613117727,0.0,0.0
438,CASH_OUT,60274.87,C1411378743,60274.87,0.0,C1045414794,7246746.56,7307021.43
438,TRANSFER,27286.66,C2089576427,27286.66,0.0,C1225621271,0.0,0.0
438,CASH_OUT,27286.66,C2119382172,27286.66,0.0,C2024067426,11633.47,38920.14
