step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
56,TRANSFER,1932200.59,C1448304922,1932200.59,0.0,C1082976131,0.0,0.0
56,CASH_OUT,1932200.59,C1900295340,1932200.59,0.0,C2032646914,0.0,1932200.59
56,TRANSFER,829885.13,C633571752,829885.13,0.0,C22428002,0.0,0.0
56,CASH_OUT,829885.13,C1179900921,829885.13,0.0,C2021579766,1.327646212E7,1.410634725E7
56,TRANSFER,42789.93,C353411083,42789.93,0.0,C803277933,0.0,0.0
56,CASH_OUT,42789.93,C1799683256,42789.93,0.0,C2124012245,0.0,42789.93
56,TRANSFER,136562.78,C1391703729,136562.78,0.0,C1707583711,0.0,0.0
56,CASH_OUT,136562.78,C170337029,136562.78,0.0,C2005239245,21100.34,157663.12
56,TRANSFER,82767.31,C447204018,82767.31,0.0,C1405076025,0.0,0.0
56,CASH_OUT,82767.31,C1447707746,82767.31,0.0,C133385139,401173.22,483940.53
56,TRANSFER,2776135.33,C432219684,2776135.33,0.0,C926776113,0.0,0.0
56,CASH_OUT,2776135.33,C718213394,2776135.33,0.0,C1307403006,0.0,2776135.33
56,TRANSFER,4243468.19,C244956323,4243468.19,0.0,C1079262309,0.0,0.0
56,CASH_OUT,4243468.19,C175411270,4243468.19,0.0,C1082242132,698483.22,4941951.41
56,TRANSFER,530733.43,C176579882,530733.43,0.0,C1049193275,0.0,0.0
56,CASH_OUT,530733.43,C1486070505,530733.43,0.0,C1428831661,233066.99,763800.42
56,TRANSFER,325242.69,C464286204,325242.69,0.0,C1532660344,0.0,0.0
56,CASH_OUT,325242.69,C905192559,325242.69,0.0,C1676432811,910845.46,1236088.15
