step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
290,TRANSFER,9504.27,C1668170758,6436.0,0.0,C1459109876,176030.3,185534.56
290,CASH_OUT,461023.98,C412338054,0.0,0.0,C632479212,475031.28,936055.26
290,TRANSFER,3275.33,C150547094,3275.33,0.0,C918786855,0.0,0.0
290,CASH_OUT,3275.33,C1082254671,3275.33,0.0,C1060563153,1.422443972E7,1.422771504E7
290,PAYMENT,5082.06,C1365169965,105111.0,100028.94,M1467454839,0.0,0.0
290,PAYMENT,2461.12,C379299989,2889.0,427.88,M1501535380,0.0,0.0
290,PAYMENT,5850.77,C2126499625,11465.0,5614.23,M361247140,0.0,0.0
290,PAYMENT,1309.24,C1587346560,433.0,0.0,M2074235131,0.0,0.0
290,DEBIT,2262.19,C2078543393,217557.0,215294.81,C1746351521,800545.26,802807.45
290,CASH_IN,533280.38,C792008168,215294.81,748575.18,C1147342684,1489904.76,956624.38
290,CASH_IN,104033.3,C385123442,748575.18,852608.49,C1157630086,476870.86,372837.56
290,CASH_IN,127463.28,C2134387679,852608.49,980071.76,C695889360,5061170.99,4933707.71
290,CASH_IN,102419.62,C620144415,980071.76,1082491.38,C398084781,5730537.31,5628117.69
290,CASH_IN,185360.72,C594246716,1082491.38,1267852.1,C67233984,717925.23,532564.51
290,CASH_IN,240250.96,C286174007,1267852.1,1508103.06,C787461954,438024.8,197773.84
290,CASH_IN,378552.06,C794172442,1508103.06,1886655.12,C780076671,1236934.03,858381.97
290,CASH_IN,352252.35,C1049200816,1886655.12,2238907.47,C539141296,1062261.58,710009.23
290,CASH_IN,215829.58,C1190894017,2238907.47,2454737.05,C40311400,517277.44,301447.86
290,CASH_IN,80847.33,C583583034,2454737.05,2535584.38,C1876840714,204080.43,123233.1
290,CASH_IN,238562.6,C1038199733,2535584.38,2774146.98,C257120108,5296842.06,5058279.46
290,CASH_IN,105877.79,C1331652785,2774146.98,2880024.77,C169714695,446137.78,340259.99
290,CASH_IN,36096.9,C1433453834,2880024.77,2916121.68,C2131769833,424059.87,387962.97
290,CASH_IN,159565.3,C829766539,2916121.68,3075686.98,C885059891,366528.96,206963.65
290,CASH_IN,54745.73,C33133075,3075686.98,3130432.71,C2074771446,166606.29,111860.56
290,CASH_IN,271128.45,C894924925,3130432.71,3401561.16,C1347286139,692086.6,420958.14
290,CASH_IN,85611.93,C1725739848,3401561.16,3487173.1,C1327149543,209672.57,124060.63
290,CASH_IN,184056.77,C2121098619,3487173.1,3671229.86,C2059929051,1730249.78,1546193.01
290,CASH_IN,370387.81,C860428719,3671229.86,4041617.67,C2135135492,764636.59,394248.78
290,CASH_IN,141661.17,C1028852523,4041617.67,4183278.84,C1348803154,233292.98,91631.81
290,CASH_IN,63648.01,C1041676602,4183278.84,4246926.86,C2094347833,2132902.24,2069254.23
290,CASH_IN,409803.04,C734348606,4246926.86,4656729.9,C115141847,6903078.02,6493274.98
290,CASH_IN,243800.98,C1354413448,4656729.9,4900530.88,C95423842,3242001.09,2998200.11
290,CASH_IN,181678.06,C1964369639,4900530.88,5082208.94,C1745096940,1.408792062E7,1.390624256E7
290,CASH_IN,158938.7,C2118209046,5082208.94,5241147.64,C709637676,177599.64,18660.94
290,CASH_IN,99526.64,C2133596245,5241147.64,5340674.28,C566786078,3148683.7,3049157.05
290,CASH_IN,253783.11,C2059396301,5340674.28,5594457.4,C284727169,6379178.61,6125395.5
290,CASH_IN,11100.45,C549918627,5594457.4,5605557.84,C1633733149,3132634.81,3121534.36
290,CASH_IN,183262.74,C1417862227,5605557.84,5788820.58,C392163349,5909846.05,5726583.31
290,CASH_IN,23666.6,C1274251302,5788820.58,5812487.18,C12604020,412803.51,389136.91
290,CASH_IN,208554.92,C1324319769,5812487.18,6021042.11,C893367274,429376.94,220822.02
290,CASH_IN,18817.97,C1452144744,6021042.11,6039860.07,C1012236862,941783.06,922965.09
290,CASH_IN,105050.56,C347068078,6039860.07,6144910.63,C2027960384,1018828.76,913778.2
290,CASH_IN,321399.88,C1128980133,6144910.63,6466310.51,C541077513,5936422.82,5615022.94
290,CASH_IN,81224.7,C1907840409,6466310.51,6547535.22,C275201219,599863.94,518639.24
290,CASH_IN,186194.59,C1220586879,6547535.22,6733729.81,C361408041,811625.8,625431.21
290,CASH_IN,186155.15,C581965935,6733729.81,6919884.95,C1207177768,2046614.4,1860459.25
290,CASH_IN,521930.06,C924472682,6919884.95,7441815.02,C1859283594,2628662.29,2106732.22
290,CASH_IN,199089.53,C2093667725,7441815.02,7640904.54,C1838124297,479026.31,279936.79
