step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
600,TRANSFER,3455440.17,C1093183182,3455440.17,0.0,C112266797,0.0,0.0
600,CASH_OUT,3455440.17,C2035809060,3455440.17,0.0,C1375290514,333449.12,3788889.29
600,TRANSFER,612229.86,C191516415,612229.86,0.0,C278468625,0.0,0.0
600,CASH_OUT,612229.86,C199984853,612229.86,0.0,C1428539340,2275776.03,2888005.89
600,TRANSFER,49434.25,C267476912,49434.25,0.0,C428290761,0.0,0.0
600,CASH_OUT,49434.25,C1228479409,49434.25,0.0,C1814019284,0.0,49434.25
600,TRANSFER,2095699.93,C276670943,2095699.93,0.0,C653396783,0.0,0.0
600,CASH_OUT,2095699.93,C1198999595,2095699.93,0.0,C1703277739,0.0,2095699.93
600,TRANSFER,1158070.88,C278936084,1158070.88,0.0,C1115591594,0.0,0.0
600,CASH_OUT,1158070.88,C475917062,1158070.88,0.0,C607981921,0.0,1158070.88
600,TRANSFER,983417.49,C733742491,983417.49,0.0,C1126082523,0.0,0.0
600,CASH_OUT,983417.49,C830861574,983417.49,0.0,C1506963745,0.0,983417.49
600,TRANSFER,7363709.23,C551820728,7363709.23,0.0,C2069632802,0.0,0.0
600,CASH_OUT,7363709.23,C1402128249,7363709.23,0.0,C734547406,0.0,7363709.23
600,TRANSFER,540154.62,C415858765,540154.62,0.0,C1485040019,0.0,0.0
600,CASH_OUT,540154.62,C114974611,540154.62,0.0,C1780714769,533832.92,1073987.54
600,TRANSFER,1649039.58,C114531117,1649039.58,0.0,C267782135,0.0,0.0
600,CASH_OUT,1649039.58,C1136602497,1649039.58,0.0,C1436350970,1970152.93,3619192.51
