step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
573,CASH_IN,95774.88,C1022109568,575.0,96349.88,C2017265797,0.0,0.0
573,CASH_IN,57672.88,C1734999521,599201.0,656873.88,C1681948837,0.0,0.0
573,PAYMENT,8942.93,C1018879635,107244.0,98301.07,M1674570476,0.0,0.0
573,DEBIT,2944.4,C1052905778,986.0,0.0,C386188791,47033.6,49978.0
573,PAYMENT,1763.49,C384595454,0.0,0.0,M2093514742,0.0,0.0
573,PAYMENT,8183.77,C1615618569,0.0,0.0,M1319740595,0.0,0.0
573,PAYMENT,14668.14,C1000307485,425233.0,410564.86,M77042775,0.0,0.0
573,PAYMENT,13749.07,C130609894,410564.86,396815.78,M80171664,0.0,0.0
573,PAYMENT,16065.96,C1153468038,20532.0,4466.04,M2093848421,0.0,0.0
573,PAYMENT,5573.07,C1012008408,4466.04,0.0,M37720848,0.0,0.0
573,PAYMENT,1257.35,C1116455271,49518.0,48260.65,M1391268076,0.0,0.0
573,PAYMENT,14911.78,C2126361516,2013.0,0.0,M6559864,0.0,0.0
573,CASH_OUT,165827.41,C477655530,15465.0,0.0,C1554904111,293936.92,459764.33
573,PAYMENT,3129.53,C648571129,14654.0,11524.47,M899387219,0.0,0.0
573,CASH_IN,90359.41,C362604096,49987.0,140346.41,C831131743,43967.98,0.0
573,PAYMENT,5743.68,C1253323320,140346.41,134602.73,M801006647,0.0,0.0
573,PAYMENT,13549.83,C1177982852,117016.0,103466.17,M879417316,0.0,0.0
573,CASH_OUT,91456.91,C1596200611,103466.17,12009.26,C688143008,838487.2,929944.1
573,DEBIT,5571.85,C57101996,20241.0,14669.15,C1033545696,70561.51,76133.36
573,TRANSFER,108970.12,C1897886707,52980.0,0.0,C1625311167,60272.2,169242.31
573,CASH_OUT,201161.11,C321408963,5500.0,0.0,C1316913589,1085307.12,1286468.23
573,CASH_OUT,207537.92,C1816580619,24825.0,0.0,C1132833741,1086187.98,1293725.9
573,PAYMENT,19905.35,C1433268993,108139.0,88233.65,M1609007796,0.0,0.0
573,CASH_IN,12601.46,C249600220,59881.0,72482.46,C1773518170,1361252.08,1348650.61
573,TRANSFER,66000.85,C1424807297,29564.0,0.0,C1449340579,0.0,66000.85
573,PAYMENT,3178.83,C1856229862,26.0,0.0,M229776548,0.0,0.0
573,PAYMENT,10699.56,C119423926,502941.0,492241.44,M896323081,0.0,0.0
573,PAYMENT,15807.57,C1169167779,25346.0,9538.43,M1484420749,0.0,0.0
573,TRANSFER,385270.65,C755801543,163912.0,0.0,C528885979,0.0,385270.65
573,CASH_IN,105101.78,C2126713577,429681.0,534782.78,C250826916,608248.31,503146.53
573,PAYMENT,3406.05,C991628703,20944.0,17537.95,M819907183,0.0,0.0
573,PAYMENT,7576.59,C2046139158,7058.0,0.0,M533174939,0.0,0.0
573,PAYMENT,15114.48,C2094209801,5072.0,0.0,M974662478,0.0,0.0
573,PAYMENT,5459.99,C1876961840,90581.0,85121.01,M1288726037,0.0,0.0
573,PAYMENT,5500.11,C675227605,2809.0,0.0,M1401306055,0.0,0.0
573,PAYMENT,3493.01,C1037646381,0.0,0.0,M1920340813,0.0,0.0
573,CASH_OUT,99339.29,C598119257,9946.0,0.0,C1751152367,0.0,99339.29
573,PAYMENT,2582.1,C1092410601,906.0,0.0,M903909045,0.0,0.0
573,CASH_IN,13019.66,C2009993023,816.0,13835.66,C1406646550,189315.44,176295.78
573,PAYMENT,23040.15,C1617258180,50518.0,27477.85,M1194923445,0.0,0.0
573,PAYMENT,2697.26,C1981656769,27248.0,24550.74,M1907224778,0.0,0.0
573,CASH_OUT,34209.96,C976616317,24550.74,0.0,C1822337350,3067049.96,3101259.93
573,PAYMENT,6682.09,C892261683,67830.0,61147.91,M777916145,0.0,0.0
573,PAYMENT,13443.18,C820744272,19635.0,6191.82,M630221603,0.0,0.0
573,CASH_OUT,23428.21,C1725216239,6191.82,0.0,C1583308166,897241.54,920669.75
573,CASH_OUT,206858.33,C950212162,0.0,0.0,C1139364928,1483719.08,1690577.41
573,PAYMENT,1653.75,C1420191766,103396.0,101742.25,M1917442258,0.0,0.0
573,PAYMENT,8422.8,C837902521,61566.0,53143.2,M297820611,0.0,0.0
573,CASH_OUT,39921.42,C1983991093,53143.2,13221.78,C1389778798,55036.77,94958.19
573,TRANSFER,146077.95,C1257411687,305617.0,159539.05,C1519641984,220272.68,366350.63
573,PAYMENT,3269.5,C1883033896,421.0,0.0,M1650489493,0.0,0.0
573,PAYMENT,12857.62,C515160329,73333.0,60475.38,M1086019348,0.0,0.0
573,CASH_OUT,105630.64,C1444441018,60475.38,0.0,C659875847,814405.11,920035.75
573,CASH_OUT,71591.12,C937231676,22305.0,0.0,C1532926104,225784.53,297375.65
573,PAYMENT,3497.59,C211459647,10936.0,7438.41,M377715535,0.0,0.0
573,CASH_OUT,166217.43,C64198558,145239.0,0.0,C2051114719,80562.95,246780.38
573,PAYMENT,8124.22,C1551406653,0.0,0.0,M72057067,0.0,0.0
573,PAYMENT,19364.69,C161466926,54775.0,35410.31,M384812004,0.0,0.0
573,PAYMENT,2936.75,C928440858,20723.0,17786.25,M1200516237,0.0,0.0
573,PAYMENT,6329.58,C1434604223,17786.25,11456.67,M272806312,0.0,0.0
573,CASH_IN,225579.92,C277141384,58034.0,283613.92,C1493279936,143139.48,0.0
573,PAYMENT,11184.82,C609893137,9340.0,0.0,M1661633167,0.0,0.0
573,PAYMENT,2744.64,C1715515575,0.0,0.0,M1347289952,0.0,0.0
573,PAYMENT,6722.35,C624502987,1001.0,0.0,M303089689,0.0,0.0
573,PAYMENT,3036.21,C1899366372,210.0,0.0,M1371754401,0.0,0.0
573,PAYMENT,4461.95,C1028672034,79811.0,75349.05,M697568657,0.0,0.0
573,PAYMENT,16679.83,C1759258208,332272.0,315592.17,M589943453,0.0,0.0
573,PAYMENT,4573.5,C471305600,51201.0,46627.5,M359068438,0.0,0.0
573,PAYMENT,1452.65,C469772540,46627.5,45174.84,M1909501147,0.0,0.0
573,CASH_OUT,31675.02,C1359697132,521.0,0.0,C1624028527,2799366.24,2831041.26
573,CASH_OUT,201511.13,C1935143832,20775.0,0.0,C1618662243,0.0,201511.13
573,CASH_OUT,202104.58,C1846375110,30301.0,0.0,C1239786032,243019.1,445123.68
573,CASH_OUT,350788.79,C441433512,8942.0,0.0,C62567324,0.0,350788.79
573,TRANSFER,266142.35,C292042297,0.0,0.0,C1324551223,470534.38,736676.74
573,PAYMENT,315.95,C1567607999,1143.0,827.05,M1492192918,0.0,0.0
573,PAYMENT,12415.89,C1068780253,21641.0,9225.11,M1866296044,0.0,0.0
573,PAYMENT,6451.38,C1284790656,164.0,0.0,M474053434,0.0,0.0
573,TRANSFER,273317.58,C20850893,0.0,0.0,C778723647,602413.37,875730.95
573,PAYMENT,10920.74,C97536012,30010.0,19089.26,M1810258287,0.0,0.0
573,PAYMENT,1220.4,C2095675266,20678.0,19457.6,M207700114,0.0,0.0
573,CASH_IN,116576.66,C200730938,19457.6,136034.27,C801844982,999184.79,882608.13
573,CASH_IN,496528.61,C1375925258,136034.27,632562.87,C872386889,509279.56,12750.95
573,CASH_IN,546413.8,C1700842671,632562.87,1178976.68,C1112927619,854759.54,308345.73
573,CASH_IN,247888.04,C1669559617,1178976.68,1426864.71,C370202547,1321371.61,1073483.57
573,CASH_IN,2564.44,C1593896754,1426864.71,1429429.15,C762362376,1002507.46,999943.02
573,CASH_IN,66505.79,C451408508,1429429.15,1495934.94,C1361631138,2957512.17,2891006.38
573,CASH_IN,15124.56,C2038517819,1495934.94,1511059.5,C1931349743,213321.58,198197.03
573,CASH_IN,71038.39,C22027063,1511059.5,1582097.89,C877785106,935251.0,864212.61
573,CASH_IN,503399.26,C1508973904,1582097.89,2085497.15,C55068535,4245277.35,3741878.09
573,CASH_IN,85751.73,C2082496512,2085497.15,2171248.89,C1351240109,3628681.28,3542929.55
573,CASH_IN,204391.96,C265545527,2171248.89,2375640.84,C1457992233,1575081.99,1370690.04
573,CASH_IN,81831.4,C249289817,2375640.84,2457472.24,C77863824,935968.72,854137.32
573,CASH_IN,52355.75,C1603361615,2457472.24,2509827.99,C416582930,699718.68,647362.93
573,CASH_IN,106749.19,C550375645,2509827.99,2616577.18,C946561261,1471809.58,1365060.38
573,CASH_IN,49881.6,C808755628,2616577.18,2666458.79,C1009685747,2021519.38,1971637.78
573,CASH_IN,262826.38,C1625131751,2666458.79,2929285.17,C1462472899,569080.52,306254.15
573,CASH_IN,316267.77,C893648528,2929285.17,3245552.94,C1345605577,945391.12,629123.35
573,CASH_IN,15458.91,C1700481053,3245552.94,3261011.85,C1977136971,232461.88,217002.96
573,CASH_IN,493251.01,C1895283931,3261011.85,3754262.86,C1820262608,908566.64,415315.63
573,CASH_IN,168645.21,C2087819920,3754262.86,3922908.08,C857600072,2005860.74,1837215.52
573,CASH_IN,295603.29,C1458326768,3922908.08,4218511.37,C803232241,737166.63,441563.35
573,PAYMENT,6615.64,C1766387088,39857.0,33241.36,M605328646,0.0,0.0
573,CASH_OUT,52486.32,C1421946382,16743.0,0.0,C1657690048,899777.31,952263.63
573,CASH_OUT,103576.32,C1627284394,227.0,0.0,C208240894,1475707.51,1579283.83
573,TRANSFER,395986.37,C1324627528,412805.0,16818.63,C770165681,1.141938314E7,1.18153695E7
573,CASH_OUT,96161.62,C1321743925,16818.63,0.0,C1523486751,1.619706154E7,1.629322316E7
573,CASH_OUT,154980.88,C321179836,33053.0,0.0,C744773429,2063285.18,2218266.06
573,PAYMENT,2593.57,C13894209,41040.0,38446.43,M1878864485,0.0,0.0
573,PAYMENT,5183.21,C1619777585,38446.43,33263.22,M1428112812,0.0,0.0
573,CASH_OUT,140671.39,C1970897732,36863.0,0.0,C522009908,0.0,140671.39
573,PAYMENT,21198.35,C1938942356,21211.0,12.65,M1306918279,0.0,0.0
573,CASH_OUT,45494.99,C1652089778,1541.0,0.0,C1294308268,666283.04,711778.03
573,CASH_OUT,167442.63,C1528971034,19821.0,0.0,C1764584173,0.0,167442.63
573,CASH_OUT,109319.78,C654553251,101303.0,0.0,C664405627,0.0,109319.78
573,TRANSFER,82288.95,C1164474369,0.0,0.0,C736938879,5.507307178E7,5.515536073E7
573,PAYMENT,9068.08,C1613260397,40319.0,31250.92,M708337565,0.0,0.0
573,PAYMENT,4546.4,C277112017,15133.0,10586.6,M371895984,0.0,0.0
