step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
326,CASH_IN,84051.74,C139749972,119976.0,204027.74,C1685866917,0.0,0.0
326,CASH_IN,39542.8,C935768505,13391.0,52933.8,C1913085664,0.0,0.0
326,PAYMENT,11755.64,C2089686260,52933.8,41178.16,M386651921,0.0,0.0
326,PAYMENT,2498.1,C1017518446,41178.16,38680.06,M1055865914,0.0,0.0
326,CASH_OUT,219389.49,C843757223,87670.0,0.0,C371022181,57913.96,277303.45
326,PAYMENT,25743.41,C2075155616,6436.0,0.0,M2001819601,0.0,0.0
326,TRANSFER,630094.67,C815311853,39709.0,0.0,C1109250173,4706235.9,5336330.56
326,CASH_OUT,72656.96,C1459674327,93507.0,20850.04,C198005514,352479.16,425136.12
326,TRANSFER,1383658.9,C783081419,140004.0,0.0,C1063444427,0.0,1383658.9
326,CASH_OUT,185913.53,C1396636176,0.0,0.0,C1355579590,1064661.77,1250575.3
326,CASH_OUT,219408.24,C638379097,0.0,0.0,C1147488458,1616769.1,1836177.34
326,PAYMENT,32128.88,C2008769067,19918.0,0.0,M1059174800,0.0,0.0
326,CASH_OUT,73496.44,C468400670,331.0,0.0,C1770321007,0.0,73496.44
326,PAYMENT,27747.35,C1518611222,0.0,0.0,M1988272215,0.0,0.0
326,PAYMENT,16837.18,C1155365422,0.0,0.0,M103060321,0.0,0.0
326,CASH_OUT,174219.82,C2097402920,410648.0,236428.18,C1221271391,765339.4,939559.22
326,CASH_OUT,257757.4,C518017991,107859.0,0.0,C662842059,909853.32,1167610.71
326,DEBIT,695.41,C834881087,61272.0,60576.59,C959375303,109409.75,110105.16
326,CASH_OUT,90387.62,C324957437,60576.59,0.0,C1438639889,1570229.52,1622740.29
326,TRANSFER,1535126.48,C1881100330,10317.0,0.0,C964078192,507871.16,2042997.64
326,PAYMENT,31276.39,C1828539269,0.0,0.0,M1201937051,0.0,0.0
326,CASH_OUT,283091.0,C658339598,682774.0,399683.0,C1107718328,135900.57,611208.94
326,CASH_IN,229819.84,C757722563,20944.0,250763.84,C469865401,0.0,0.0
326,PAYMENT,4386.57,C730741376,12750.0,8363.43,M1285135784,0.0,0.0
326,PAYMENT,5087.92,C13633074,8363.43,3275.51,M1651880990,0.0,0.0
326,PAYMENT,16370.37,C955631850,50558.0,34187.63,M948004481,0.0,0.0
326,PAYMENT,9167.39,C954209845,35050.0,25882.61,M2004521075,0.0,0.0
326,CASH_OUT,22114.59,C1633592558,20870.0,0.0,C1776970376,0.0,22114.59
326,TRANSFER,1436419.06,C1389916970,10275.0,0.0,C1553379006,66337.65,1502756.71
326,PAYMENT,14031.84,C1781634810,355.0,0.0,M1240169159,0.0,0.0
326,PAYMENT,26870.97,C1560727232,0.0,0.0,M1289135977,0.0,0.0
