step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
179,CASH_OUT,88900.24,C1059716800,51890.0,0.0,C469165400,119270.82,208171.06
179,CASH_IN,72517.37,C707447483,106677.0,179194.37,C1804551105,74268.22,1750.85
179,PAYMENT,13546.19,C704381821,179194.37,165648.18,M1740319687,0.0,0.0
179,CASH_OUT,182204.22,C395580942,21474.0,0.0,C1996115210,146259.25,328463.46
179,CASH_IN,145056.59,C1796700501,9426.0,154482.59,C2004318274,1219138.67,1074082.07
179,CASH_OUT,121204.5,C574187681,154482.59,33278.09,C221902139,1164626.69,1285831.19
179,TRANSFER,1079465.31,C484612658,23252.0,0.0,C830573578,205280.36,1284745.66
179,CASH_OUT,214223.18,C728882118,0.0,0.0,C459370477,1773216.59,1987439.77
179,CASH_OUT,287438.08,C2080162348,3219.0,0.0,C2024850569,0.0,287438.08
179,CASH_OUT,316890.25,C308920722,10080.0,0.0,C2010155438,746870.84,1063761.09
179,CASH_OUT,148167.72,C441645799,31479.0,0.0,C530137492,0.0,148167.72
179,CASH_OUT,310050.63,C1071168896,66886.0,0.0,C35234845,2706241.33,3016291.96
179,PAYMENT,12866.85,C573109749,15085.0,2218.15,M2115093875,0.0,0.0
179,CASH_OUT,626851.67,C1931054484,52228.0,0.0,C1615585761,22914.51,1002892.36
179,CASH_OUT,84944.09,C165092042,80767.0,0.0,C11853709,4300693.46,5145108.17
179,PAYMENT,4219.12,C1815462232,41353.0,37133.88,M486517744,0.0,0.0
179,PAYMENT,3347.91,C599122134,11757.0,8409.09,M302366496,0.0,0.0
179,PAYMENT,22699.74,C1358463801,1563.0,0.0,M825823997,0.0,0.0
179,TRANSFER,427690.63,C1032251228,729.0,0.0,C1513959777,1178955.3,1606645.93
179,PAYMENT,35926.22,C38122355,12496.0,0.0,M380635465,0.0,0.0
179,PAYMENT,15327.57,C1869041560,0.0,0.0,M1699866927,0.0,0.0
179,CASH_OUT,313866.69,C1243615453,5709.0,0.0,C1946522962,0.0,313866.69
179,CASH_OUT,219803.57,C1556918929,0.0,0.0,C106112995,256898.49,254917.06
179,PAYMENT,20281.64,C151141663,21157.0,875.36,M1676719489,0.0,0.0
179,CASH_IN,118611.55,C698152922,506300.0,624911.55,C1164769255,68145.21,0.0
179,CASH_OUT,471648.1,C276664386,624911.55,153263.45,C71403194,525367.47,997015.58
179,CASH_OUT,92293.43,C143633815,153263.45,60970.02,C754248591,105278.04,197571.47
179,CASH_OUT,329943.99,C1857379770,60970.02,0.0,C1223519472,631167.58,1904081.86
179,CASH_OUT,209829.16,C542721425,0.0,0.0,C1876507438,502040.25,711869.41
179,CASH_OUT,117914.71,C1557806680,0.0,0.0,C520391289,142821.59,260736.3
179,CASH_OUT,358.86,C701285185,0.0,0.0,C1616475343,517126.21,517485.07
179,CASH_OUT,114834.88,C1842348879,0.0,0.0,C1400682242,205080.63,319915.51
179,PAYMENT,19995.37,C122660521,261224.0,241228.63,M183136486,0.0,0.0
179,PAYMENT,1205.99,C1173584945,20881.0,19675.01,M676644283,0.0,0.0
179,PAYMENT,11755.24,C1381258486,3697.0,0.0,M199258906,0.0,0.0
179,CASH_OUT,80071.44,C1428980899,0.0,0.0,C206545061,284098.03,364169.47
179,CASH_IN,114719.33,C1541139104,10808.0,125527.33,C639345141,0.0,0.0
179,PAYMENT,1759.6,C735635145,73776.0,72016.4,M589838347,0.0,0.0
179,PAYMENT,7954.85,C303085905,40084.0,32129.15,M379244377,0.0,0.0
179,CASH_OUT,325333.22,C2056822253,1380.0,0.0,C554456206,50199.07,375532.28
