step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
464,TRANSFER,4640633.37,C180932654,4640633.37,0.0,C1673286866,0.0,0.0
464,CASH_OUT,4640633.37,C2144262905,4640633.37,0.0,C1372520966,0.0,4640633.37
464,TRANSFER,880975.83,C1991993954,880975.83,0.0,C1163515588,0.0,0.0
464,CASH_OUT,880975.83,C97407183,880975.83,0.0,C665978376,1271.78,882247.61
464,TRANSFER,1219062.64,C357942750,1219062.64,0.0,C1229695480,0.0,0.0
464,CASH_OUT,1219062.64,C1256913473,1219062.64,0.0,C967785353,278750.5,1497813.13
464,TRANSFER,1027963.96,C2080701542,1027963.96,0.0,C446782589,0.0,0.0
464,CASH_OUT,1027963.96,C1009032350,1027963.96,0.0,C1867593514,3216668.79,4244632.75
464,TRANSFER,125464.42,C132433393,125464.42,0.0,C254097050,0.0,0.0
464,CASH_OUT,125464.42,C448860094,125464.42,0.0,C1332940364,332131.92,457596.34
464,TRANSFER,1506795.1,C1107109708,1506795.1,0.0,C2110704276,0.0,0.0
464,CASH_OUT,1506795.1,C1504023425,1506795.1,0.0,C538717920,39851.76,1546646.86
464,TRANSFER,86111.65,C2018450953,86111.65,0.0,C1122913595,0.0,0.0
464,CASH_OUT,86111.65,C1793151553,86111.65,0.0,C1653796300,109520.16,195631.81
464,TRANSFER,336917.97,C1108270870,336917.97,0.0,C815315430,0.0,0.0
464,CASH_OUT,336917.97,C927102285,336917.97,0.0,C1526518047,229355.59,566273.55
