step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
491,TRANSFER,449199.47,C542986012,449199.47,0.0,C628613220,0.0,0.0
491,CASH_OUT,449199.47,C1192213620,449199.47,0.0,C70209751,224957.93,674157.4
491,TRANSFER,1265033.25,C816802649,1265033.25,0.0,C1270749460,0.0,0.0
491,CASH_OUT,1265033.25,C994518144,1265033.25,0.0,C469694911,68292.18,1333325.43
491,TRANSFER,1122827.94,C1898490203,1122827.94,0.0,C228352671,0.0,0.0
491,CASH_OUT,1122827.94,C1274959638,1122827.94,0.0,C870195127,257056.52,1379884.46
491,TRANSFER,580387.06,C12585107,580387.06,0.0,C1287650869,0.0,0.0
491,CASH_OUT,580387.06,C44130095,580387.06,0.0,C836633488,1624593.89,2204980.95
491,TRANSFER,1381513.27,C946427395,1381513.27,0.0,C922180689,0.0,0.0
491,CASH_OUT,1381513.27,C489467109,1381513.27,0.0,C1464476266,528616.61,1910129.88
491,TRANSFER,25616.71,C1069177491,25616.71,0.0,C131895413,0.0,0.0
491,CASH_OUT,25616.71,C194800493,25616.71,0.0,C830552686,3380917.08,3406533.8
