step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
431,PAYMENT,4506.4,C239723793,649.0,0.0,M544058907,0.0,0.0
431,PAYMENT,20711.86,C1164312464,0.0,0.0,M399044866,0.0,0.0
431,PAYMENT,14014.89,C1449721735,50702.0,36687.11,M456691239,0.0,0.0
431,PAYMENT,3501.32,C1909160879,26980.0,23478.68,M568050805,0.0,0.0
431,PAYMENT,13936.67,C819888910,23478.68,9542.01,M1875409540,0.0,0.0
431,PAYMENT,1366.84,C1165255377,9542.01,8175.17,M989064806,0.0,0.0
431,PAYMENT,5959.65,C2129775813,8175.17,2215.52,M1388414405,0.0,0.0
431,PAYMENT,2601.32,C885327782,2215.52,0.0,M291528582,0.0,0.0
431,PAYMENT,22172.51,C1627860619,0.0,0.0,M1068921027,0.0,0.0
431,PAYMENT,9616.03,C592619684,0.0,0.0,M819810087,0.0,0.0
431,PAYMENT,18.0,C1752587457,0.0,0.0,M1682573668,0.0,0.0
431,PAYMENT,12799.44,C1382783681,0.0,0.0,M143999964,0.0,0.0
431,PAYMENT,18973.68,C1390380635,0.0,0.0,M1726657613,0.0,0.0
431,PAYMENT,36743.03,C1750697923,0.0,0.0,M1248899767,0.0,0.0
431,PAYMENT,7170.04,C1689454844,0.0,0.0,M1464373499,0.0,0.0
431,PAYMENT,15088.56,C1930129998,0.0,0.0,M1008829330,0.0,0.0
431,PAYMENT,54633.12,C1076467714,0.0,0.0,M1400178612,0.0,0.0
431,PAYMENT,8778.3,C2068092566,0.0,0.0,M1263118207,0.0,0.0
431,PAYMENT,10222.87,C1194123164,0.0,0.0,M1017067626,0.0,0.0
431,PAYMENT,12874.23,C1672542537,0.0,0.0,M1699010591,0.0,0.0
431,PAYMENT,11540.46,C1152723732,478.0,0.0,M28051328,0.0,0.0
431,PAYMENT,308.2,C1697832013,18498.0,18189.8,M645231828,0.0,0.0
431,CASH_OUT,222518.64,C1274349189,18189.8,0.0,C917799822,2650697.83,2873216.47
431,DEBIT,1148.16,C713328764,335015.0,333866.84,C2081551992,138381.28,139529.45
431,PAYMENT,5853.0,C1504176597,29826.0,23973.0,M1417278945,0.0,0.0
431,CASH_OUT,226500.6,C937099461,23973.0,0.0,C374967360,1078042.99,1304543.59
431,PAYMENT,1196.51,C957528362,170709.0,169512.49,M1595737756,0.0,0.0
431,PAYMENT,7536.7,C1154492003,61125.0,53588.3,M727898900,0.0,0.0
431,PAYMENT,5363.48,C127265979,67631.0,62267.52,M806036275,0.0,0.0
431,PAYMENT,15530.28,C1965942895,687.0,0.0,M1219110821,0.0,0.0
431,TRANSFER,166516.45,C1626532415,5548.0,0.0,C1412316642,267686.95,434203.4
431,CASH_OUT,174380.63,C151609257,0.0,0.0,C1151651982,1339763.58,1514144.2
431,CASH_OUT,99884.96,C327000183,10329.0,0.0,C1226954661,0.0,99884.96
431,DEBIT,950.42,C183712434,99670.0,98719.58,C259521162,130099.28,131049.7
431,PAYMENT,2275.52,C2099743425,100652.0,98376.48,M1049650907,0.0,0.0
431,PAYMENT,12300.74,C1074792294,98376.48,86075.74,M1403360124,0.0,0.0
431,PAYMENT,6134.25,C311781963,86075.74,79941.49,M797864060,0.0,0.0
431,TRANSFER,219737.45,C1877309916,11467.0,0.0,C186573361,233470.4,453207.85
431,PAYMENT,30234.78,C279193903,0.0,0.0,M702205506,0.0,0.0
431,PAYMENT,2665.73,C1963677333,587.0,0.0,M837089905,0.0,0.0
431,PAYMENT,1029.16,C12075059,0.0,0.0,M2146379448,0.0,0.0
431,PAYMENT,606.21,C1358915630,20929.0,20322.79,M1188968242,0.0,0.0
431,PAYMENT,5494.85,C69553666,556.0,0.0,M49898200,0.0,0.0
431,PAYMENT,16976.63,C694998193,0.0,0.0,M507248905,0.0,0.0
431,PAYMENT,13497.2,C818354578,45848.0,32350.8,M2036421360,0.0,0.0
431,PAYMENT,21778.49,C912771121,32350.8,10572.31,M1210950589,0.0,0.0
431,PAYMENT,5056.45,C1076770979,152116.0,147059.55,M866845828,0.0,0.0
431,CASH_OUT,309454.86,C990213248,147059.55,0.0,C1656792587,2588700.88,2898155.74
431,PAYMENT,7814.16,C512755734,110022.0,102207.84,M801820743,0.0,0.0
431,PAYMENT,4542.19,C1152286238,25229.0,20686.81,M1411363711,0.0,0.0
431,PAYMENT,2386.31,C1255260498,23035.0,20648.69,M870348967,0.0,0.0
431,PAYMENT,9503.66,C67747403,20648.69,11145.03,M765751806,0.0,0.0
431,PAYMENT,1308.79,C1765539401,11145.03,9836.24,M1504614025,0.0,0.0
431,PAYMENT,8573.59,C270307345,63233.0,54659.41,M507062381,0.0,0.0
431,CASH_OUT,120494.31,C675693653,118740.0,0.0,C1410945808,432856.35,553350.67
431,PAYMENT,3111.49,C99714314,135.0,0.0,M1897468349,0.0,0.0
431,PAYMENT,945.45,C640955827,4063.0,3117.55,M1011526092,0.0,0.0
431,PAYMENT,7926.48,C899330714,29344.0,21417.52,M204982637,0.0,0.0
431,PAYMENT,13539.76,C195685621,11170.0,0.0,M1648636037,0.0,0.0
431,CASH_IN,372629.8,C36327477,0.0,372629.8,C1687128303,5747773.29,5375143.49
431,CASH_IN,146088.41,C811896252,372629.8,518718.22,C344463803,1342857.1,1196768.69
431,CASH_IN,154184.86,C1953366273,518718.22,672903.07,C1475163444,2487877.89,2333693.03
431,CASH_IN,217920.76,C938329873,672903.07,890823.83,C1960732116,360448.61,142527.85
431,CASH_IN,129281.45,C1729528353,890823.83,1020105.27,C1321253174,1.144010244E7,1.131082099E7
431,CASH_IN,85852.17,C1930164754,1020105.27,1105957.44,C734754167,4305988.62,4220136.45
431,CASH_IN,206129.81,C2011794299,1105957.44,1312087.25,C828106602,250954.47,44824.66
431,CASH_IN,123092.16,C786767832,1312087.25,1435179.41,C2051576027,4849426.0,4726333.84
431,CASH_IN,8512.41,C2108786607,1435179.41,1443691.82,C228242319,22366.37,13853.96
431,CASH_IN,82000.55,C1371941217,1443691.82,1525692.38,C1972089752,305445.69,223445.13
431,CASH_IN,178255.24,C1783612017,1525692.38,1703947.61,C1156486684,699619.45,521364.21
431,CASH_IN,350471.26,C1825704767,1703947.61,2054418.88,C1464133582,1819803.22,1469331.96
431,CASH_IN,413343.62,C489645557,2054418.88,2467762.49,C1477209648,3910374.46,3497030.84
431,CASH_IN,322493.89,C2109921808,2467762.49,2790256.38,C855394510,662840.2,340346.31
431,CASH_IN,153477.62,C1770705811,2790256.38,2943734.0,C1963326492,772028.21,618550.59
