step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
110,TRANSFER,904124.58,C1150317761,904124.58,0.0,C1725680409,0.0,0.0
110,CASH_OUT,904124.58,C392791213,904124.58,0.0,C1669065740,700603.93,1604728.51
110,TRANSFER,93732.16,C549532314,93732.16,0.0,C247181868,0.0,0.0
110,CASH_OUT,93732.16,C394514690,93732.16,0.0,C1985339190,131244.99,224977.15
110,TRANSFER,535654.59,C108472489,535654.59,0.0,C1349687631,0.0,0.0
110,CASH_OUT,535654.59,C412096572,535654.59,0.0,C1514312963,448145.96,983800.55
110,TRANSFER,743311.65,C996004667,743311.65,0.0,C723209092,0.0,0.0
110,CASH_OUT,743311.65,C154379593,743311.65,0.0,C260576763,0.0,743311.65
110,TRANSFER,2145934.81,C918480550,2145934.81,0.0,C602397056,0.0,0.0
110,CASH_OUT,2145934.81,C787958197,2145934.81,0.0,C466866036,757371.57,2903306.38
