step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
391,TRANSFER,172362.84,C167183222,172362.84,0.0,C277647279,0.0,0.0
391,CASH_OUT,172362.84,C2086071347,172362.84,0.0,C402578336,543266.37,715629.21
391,TRANSFER,47721.95,C368987822,47721.95,0.0,C1410391039,0.0,0.0
391,CASH_OUT,47721.95,C528875207,47721.95,0.0,C1681024448,39484.71,87206.65
391,TRANSFER,4559921.56,C785953522,4559921.56,0.0,C1331350711,0.0,0.0
391,CASH_OUT,4559921.56,C1705309294,4559921.56,0.0,C560881857,2781040.95,7340962.51
391,TRANSFER,235763.38,C38292810,235763.38,0.0,C2083984370,0.0,0.0
391,CASH_OUT,235763.38,C848033794,235763.38,0.0,C555566850,11417.85,247181.23
391,TRANSFER,1309940.05,C291081099,1309940.05,0.0,C1496286083,0.0,0.0
391,CASH_OUT,1309940.05,C27246630,1309940.05,0.0,C921559397,0.0,1309940.05
391,TRANSFER,495773.64,C1248328274,495773.64,0.0,C917413885,0.0,0.0
391,CASH_OUT,495773.64,C1270013623,495773.64,0.0,C326670193,269095.07,764868.71
