step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
541,TRANSFER,3297243.38,C411433616,3297243.38,0.0,C1948800216,0.0,0.0
541,CASH_OUT,3297243.38,C1395197193,3297243.38,0.0,C1975481357,22757.65,3320001.02
541,TRANSFER,1.0E7,C127338416,1.262941741E7,2629417.41,C10331994,0.0,0.0
541,CASH_OUT,1.0E7,C430326245,1.0E7,0.0,C264263365,0.0,1.0E7
541,TRANSFER,2629417.41,C784365883,2629417.41,0.0,C56816688,0.0,0.0
541,CASH_OUT,2629417.41,C903487655,2629417.41,0.0,C1853529603,0.0,2629417.41
541,TRANSFER,108755.28,C172956459,108755.28,0.0,C249062179,0.0,0.0
541,CASH_OUT,108755.28,C558746350,108755.28,0.0,C48282627,27775.23,136530.51
541,TRANSFER,107320.81,C216622685,107320.81,0.0,C937316720,0.0,0.0
541,CASH_OUT,107320.81,C1750249599,107320.81,0.0,C1535674446,289571.44,396892.25
541,TRANSFER,5512595.16,C866940482,5512595.16,0.0,C439777309,0.0,0.0
541,CASH_OUT,5512595.16,C1173792039,5512595.16,0.0,C1068264990,201581.65,5714176.82
