step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
610,CASH_OUT,343570.2,C1776728430,36756.0,0.0,C1976606572,281253.03,624823.23
610,CASH_OUT,218997.38,C1210788394,170.0,0.0,C1793966569,448263.18,667260.56
610,CASH_IN,137867.59,C1652274244,0.0,137867.59,C863330658,1666080.39,1528212.8
610,CASH_IN,200653.98,C1194512548,137867.59,338521.58,C1382463436,596708.96,396054.98
610,CASH_IN,73474.69,C457391333,338521.58,411996.27,C730372820,2204666.58,2266011.38
610,CASH_IN,362274.64,C170409949,411996.27,774270.91,C137562171,1608564.75,1246290.11
610,CASH_IN,243403.14,C894333768,774270.91,1017674.05,C748438949,379821.64,136418.5
610,CASH_IN,16871.84,C1680351925,1017674.05,1034545.89,C1554481698,286150.91,269279.07
610,CASH_IN,213044.55,C1720622785,1034545.89,1247590.45,C407602181,1801683.82,1588639.27
610,CASH_IN,108687.59,C756257562,1247590.45,1356278.03,C559593023,1107249.64,998562.06
610,CASH_IN,63122.1,C1795256771,1356278.03,1419400.13,C2043216345,351794.5,288672.4
610,CASH_IN,16628.26,C1310317468,1419400.13,1436028.39,C2023271919,1560796.72,1544168.46
610,CASH_IN,168777.71,C1551051784,1436028.39,1604806.11,C1438139429,215039.68,46261.97
610,CASH_IN,128978.31,C1833566175,1604806.11,1733784.42,C672991117,4826134.05,4697155.74
610,CASH_IN,130358.34,C220599516,1733784.42,1864142.75,C263485449,246109.98,115751.65
610,CASH_IN,37492.1,C233044959,1864142.75,1901634.85,C2102413302,737762.15,700270.05
610,CASH_IN,59175.0,C1219859719,1901634.85,1960809.85,C1142258218,2912734.32,2853559.32
610,CASH_IN,92078.81,C1780497609,1960809.85,2052888.66,C1831836587,3326859.18,3234780.37
610,CASH_IN,175696.97,C1461540261,2052888.66,2228585.62,C134315914,402217.17,226520.2
610,CASH_IN,192249.54,C1169318298,2228585.62,2420835.16,C1560262476,5027450.82,4835201.28
610,CASH_IN,367251.49,C567003526,2420835.16,2788086.66,C1848724112,4778473.42,4411221.93
610,CASH_IN,8028.9,C1256615682,2788086.66,2796115.56,C1070826164,196190.34,188161.44
610,CASH_IN,193999.76,C2011933574,2796115.56,2990115.32,C1366648760,214040.35,20040.59
610,CASH_IN,10217.17,C553892432,2990115.32,3000332.5,C1911222,22523.43,12306.26
610,CASH_IN,44156.05,C1585172495,3000332.5,3044488.55,C1096136117,320816.07,276660.02
610,CASH_IN,333606.2,C664550077,3044488.55,3378094.75,C751509551,469980.74,136374.55
610,CASH_IN,458109.5,C226562643,3378094.75,3836204.24,C962108039,725173.3,267063.8
610,CASH_IN,18654.21,C837609609,3836204.24,3854858.45,C2131725123,99873.57,81219.36
610,CASH_IN,68298.06,C832027923,3854858.45,3923156.51,C174217117,193372.32,125074.25
610,CASH_IN,119468.55,C1998073934,3923156.51,4042625.07,C100493412,319351.95,199883.4
610,CASH_IN,95709.19,C1921951604,4042625.07,4138334.25,C1995235803,787329.71,691620.52
610,CASH_IN,323323.68,C611365132,4138334.25,4461657.93,C705746843,622037.6,298713.92
610,CASH_IN,37783.81,C671350708,4461657.93,4499441.74,C214185760,1332040.08,1294256.28
610,CASH_IN,111642.4,C506409146,4499441.74,4611084.14,C487055947,6754598.27,6642955.87
610,CASH_IN,467271.42,C421363980,4611084.14,5078355.57,C175125997,474980.04,7708.62
610,CASH_IN,277475.47,C952417266,5078355.57,5355831.03,C2034025216,1038906.65,761431.19
610,CASH_IN,108296.49,C260902145,5355831.03,5464127.52,C1261310468,238711.11,130414.63
610,CASH_IN,398291.04,C1749042858,5464127.52,5862418.56,C1517242391,2219066.26,1820775.22
610,CASH_IN,252393.9,C488685391,5862418.56,6114812.46,C48441589,838361.34,585967.44
610,CASH_IN,344033.84,C10914866,6114812.46,6458846.3,C1882862416,7748535.79,7404501.95
610,CASH_IN,140693.37,C1730444322,6458846.3,6599539.66,C649699940,8681430.91,8540737.55
610,CASH_IN,297288.65,C221971322,6599539.66,6896828.31,C6519193,1062269.72,764981.07
610,CASH_IN,5131.3,C368643925,6896828.31,6901959.6,C382542890,2627671.96,2622540.67
610,CASH_IN,278713.06,C562742980,6901959.6,7180672.66,C502478015,3867881.15,3589168.09
610,CASH_IN,252861.6,C1703635899,7180672.66,7433534.26,C1872392673,305217.08,52355.48
610,CASH_IN,61902.86,C821986467,7433534.26,7495437.12,C741609062,2281098.31,2219195.45
610,CASH_IN,341299.34,C1830860366,7495437.12,7836736.46,C1586417122,2168619.16,1827319.82
610,CASH_IN,70340.47,C451670472,7836736.46,7907076.93,C1228949374,134187.02,63846.54
610,CASH_IN,65630.18,C612599709,7907076.93,7972707.11,C336705784,218962.59,153332.41
610,CASH_IN,32899.89,C1612497970,7972707.11,8005606.99,C1730041623,1047826.08,1014926.2
610,CASH_IN,359603.67,C140942521,8005606.99,8365210.66,C2054001406,463705.88,104102.21
610,CASH_IN,266176.74,C1304844748,8365210.66,8631387.4,C1795824617,5276721.37,5010544.64
610,CASH_IN,80869.41,C1967227014,8631387.4,8712256.81,C2100567472,340089.03,259219.62
610,CASH_IN,21836.3,C1945823048,8712256.81,8734093.11,C1167854925,122238.2,100401.9
610,CASH_IN,424847.63,C1338322650,8734093.11,9158940.75,C99508354,1353588.03,928740.4
610,CASH_IN,240149.36,C816977623,9158940.75,9399090.1,C1454728814,572939.75,332790.39
610,CASH_IN,155206.19,C1234101751,9399090.1,9554296.29,C1346266252,3066868.69,2911662.51
610,CASH_IN,170665.39,C1835698985,9554296.29,9724961.68,C567459148,1006036.52,835371.13
610,CASH_IN,37348.82,C197118880,9724961.68,9762310.5,C370781574,548252.99,510904.17
610,CASH_IN,150534.71,C723214510,9762310.5,9912845.21,C324385936,609736.05,459201.33
610,CASH_IN,334040.25,C361007463,9912845.21,1.024688546E7,C699397511,1065208.85,731168.6
610,CASH_IN,235446.1,C747531069,1.024688546E7,1.048233156E7,C1587586404,279967.99,44521.89
610,CASH_IN,109852.08,C1503221703,1.048233156E7,1.059218364E7,C1348751761,483450.87,373598.79
610,CASH_IN,340841.21,C704074314,1.059218364E7,1.093302485E7,C1615742938,768059.45,427218.24
610,CASH_IN,64914.95,C411642274,1.093302485E7,1.09979398E7,C874951728,1221084.89,1156169.94
610,CASH_IN,455195.55,C1199664653,1.09979398E7,1.145313534E7,C1532422463,724275.4,269079.86
610,CASH_IN,80165.86,C1412771413,1.145313534E7,1.15333012E7,C1883911112,2175718.38,2095552.52
610,CASH_IN,50010.63,C1203983259,1.15333012E7,1.158331184E7,C797205646,1.074950226E7,1.069949163E7
610,CASH_IN,224648.76,C383166200,1.158331184E7,1.18079606E7,C1365642125,1838134.01,1613485.25
610,CASH_IN,233733.26,C1516978985,1.18079606E7,1.204169385E7,C253516294,1153110.4,919377.14
610,CASH_IN,167445.31,C659659191,1.204169385E7,1.220913917E7,C1553791128,171161.78,3716.47
610,CASH_IN,115878.62,C2052282701,1.220913917E7,1.232501778E7,C173979909,230115.38,114236.76
610,CASH_IN,189617.11,C1502724505,1.232501778E7,1.251463489E7,C42519721,5199559.12,5009942.01
610,CASH_OUT,351237.14,C1499702153,52112.0,0.0,C1713232439,336974.22,688211.36
610,CASH_IN,157377.67,C1926501683,36292.0,193669.67,C1362097053,0.0,0.0
610,CASH_IN,57754.21,C304984853,1006.0,58760.21,C1285649899,0.0,0.0
610,CASH_OUT,244237.13,C1172776384,142.0,0.0,C1257120506,2201275.65,2445512.78
610,CASH_OUT,98470.49,C31242526,29798.0,0.0,C1543107688,387581.5,486051.99
610,CASH_OUT,190226.44,C1400064411,5387.0,0.0,C741922672,552271.33,742497.77
610,CASH_IN,10129.97,C750386683,31318.0,41447.97,C688440703,1396986.85,1386856.88
610,PAYMENT,1244.45,C1342964873,41447.97,40203.52,M888947679,0.0,0.0
610,CASH_IN,361562.87,C2106256202,4589.0,366151.87,C1215830207,0.0,0.0
610,CASH_OUT,269363.96,C515872549,366151.87,96787.91,C1961219661,933128.14,1202492.1
610,PAYMENT,1295.6,C774369335,105406.0,104110.4,M2014559383,0.0,0.0
610,PAYMENT,658.05,C1391056996,321798.0,321139.95,M806185891,0.0,0.0
610,PAYMENT,26748.43,C557487069,321139.95,294391.51,M1143497833,0.0,0.0
610,PAYMENT,2070.22,C1478405744,5059.0,2988.78,M60135075,0.0,0.0
610,PAYMENT,5363.17,C1992575351,2988.78,0.0,M1900572906,0.0,0.0
610,PAYMENT,5589.85,C1544043933,0.0,0.0,M1938266161,0.0,0.0
