step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
467,TRANSFER,171623.1,C1057975418,171623.1,0.0,C864888723,0.0,0.0
467,CASH_OUT,171623.1,C859067773,171623.1,0.0,C936547996,76632.01,248255.12
467,TRANSFER,5937.19,C904059459,5937.19,0.0,C1237495348,0.0,0.0
467,CASH_OUT,5937.19,C1719825701,5937.19,0.0,C1058945845,36171.27,42108.46
467,TRANSFER,2108440.98,C581609779,2108440.98,0.0,C224105862,0.0,0.0
467,CASH_OUT,2108440.98,C858034086,2108440.98,0.0,C233159904,0.0,2108440.98
467,TRANSFER,269722.42,C280460099,269722.42,0.0,C1478799121,0.0,0.0
467,CASH_OUT,269722.42,C1709776685,269722.42,0.0,C1845662039,24817.83,294540.26
467,TRANSFER,636942.02,C747042147,636942.02,0.0,C310235538,0.0,0.0
467,CASH_OUT,636942.02,C1873382948,636942.02,0.0,C916193312,46336.09,683278.11
467,TRANSFER,144283.42,C1294019179,144283.42,0.0,C63457750,0.0,0.0
467,CASH_OUT,144283.42,C1478536822,144283.42,0.0,C1266929646,0.0,144283.42
