step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
635,TRANSFER,1387048.31,C1020800306,1387048.31,0.0,C2090609585,0.0,0.0
635,CASH_OUT,1387048.31,C1387295459,1387048.31,0.0,C1232695275,3551644.77,4938693.07
635,TRANSFER,568918.32,C1564763592,568918.32,0.0,C516990655,0.0,0.0
635,CASH_OUT,568918.32,C139275925,568918.32,0.0,C651397987,0.0,568918.32
635,TRANSFER,580010.03,C1797123067,580010.03,0.0,C1963008787,0.0,0.0
635,CASH_OUT,580010.03,C764461588,580010.03,0.0,C229248681,41887.5,621897.52
635,TRANSFER,1363674.48,C1873557326,1363674.48,0.0,C1002151702,0.0,0.0
635,CASH_OUT,1363674.48,C1928734777,1363674.48,0.0,C31164156,0.0,1363674.48
635,TRANSFER,438394.67,C1982875567,438394.67,0.0,C458044692,0.0,0.0
635,CASH_OUT,438394.67,C1562094367,438394.67,0.0,C126693066,0.0,438394.67
635,TRANSFER,13128.49,C1401151925,13128.49,0.0,C690360356,0.0,0.0
635,CASH_OUT,13128.49,C276282396,13128.49,0.0,C1882040140,293704.01,306832.5
635,TRANSFER,182739.36,C1687063682,182739.36,0.0,C451391923,0.0,0.0
635,CASH_OUT,182739.36,C1691189343,182739.36,0.0,C654896050,2520763.27,2703502.63
635,TRANSFER,344673.46,C672095034,344673.46,0.0,C1541306928,0.0,0.0
635,CASH_OUT,344673.46,C87393659,344673.46,0.0,C1571788325,0.0,344673.46
