step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
60,TRANSFER,1026208.84,C1813387968,1026208.84,0.0,C106857650,0.0,0.0
60,CASH_OUT,1026208.84,C518197295,1026208.84,0.0,C1560262585,353447.51,1379656.35
60,TRANSFER,40486.25,C46706219,40486.25,0.0,C1894539182,0.0,0.0
60,CASH_OUT,40486.25,C1413149184,40486.25,0.0,C713338583,4716889.9,4757376.15
60,TRANSFER,89014.32,C1517105060,89014.32,0.0,C621322132,0.0,0.0
60,CASH_OUT,89014.32,C2128547053,89014.32,0.0,C2076906949,330651.68,419666.0
60,TRANSFER,45807.51,C958487787,45807.51,0.0,C218393296,0.0,0.0
60,CASH_OUT,45807.51,C981996349,45807.51,0.0,C1099066639,267824.05,313631.56
60,TRANSFER,742973.53,C153820103,742973.53,0.0,C1530694083,0.0,0.0
60,CASH_OUT,742973.53,C261473899,742973.53,0.0,C897961171,0.0,742973.53
60,TRANSFER,581421.85,C1021314422,581421.85,0.0,C2062695733,0.0,0.0
60,CASH_OUT,581421.85,C1175189548,581421.85,0.0,C340833561,407848.96,989270.81
