step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
489,TRANSFER,101081.12,C289774611,101081.12,0.0,C359505480,0.0,0.0
489,CASH_OUT,101081.12,C1510063116,101081.12,0.0,C772067797,1031759.71,1132840.83
489,TRANSFER,934314.89,C984959096,934314.89,0.0,C134109335,0.0,0.0
489,CASH_OUT,934314.89,C2041261993,934314.89,0.0,C174559228,0.0,934314.89
489,TRANSFER,7515624.63,C1144230283,7515624.63,0.0,C1501063702,0.0,0.0
489,CASH_OUT,7515624.63,C319141085,7515624.63,0.0,C1942668370,0.0,7515624.63
489,TRANSFER,107128.17,C65259597,107128.17,0.0,C355360625,0.0,0.0
489,CASH_OUT,107128.17,C596998655,107128.17,0.0,C1550443264,29150.7,136278.86
489,TRANSFER,177925.98,C2071075791,177925.98,0.0,C2019441541,0.0,0.0
489,CASH_OUT,177925.98,C1173355296,177925.98,0.0,C265276524,70857.67,248783.65
489,TRANSFER,1189986.88,C1481892464,1189986.88,0.0,C1868266376,0.0,0.0
489,CASH_OUT,1189986.88,C1342251524,1189986.88,0.0,C322342819,0.0,1189986.88
489,TRANSFER,4241.44,C1002895272,4241.44,0.0,C2080434931,0.0,0.0
489,CASH_OUT,4241.44,C21638411,4241.44,0.0,C1781045188,256363.03,260604.47
