step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
482,TRANSFER,732198.35,C1898408959,732198.35,0.0,C38559733,0.0,0.0
482,CASH_OUT,732198.35,C2105445146,732198.35,0.0,C10585515,673285.12,1405483.47
482,TRANSFER,75659.33,C807173004,75659.33,0.0,C1577384296,0.0,0.0
482,CASH_OUT,75659.33,C1659770923,75659.33,0.0,C381855260,850226.66,925885.99
482,TRANSFER,132438.82,C677179162,132438.82,0.0,C520559752,0.0,0.0
482,CASH_OUT,132438.82,C561223504,132438.82,0.0,C212208463,0.0,132438.82
482,TRANSFER,1059347.56,C1918912745,1059347.56,0.0,C1999367128,0.0,0.0
482,CASH_OUT,1059347.56,C1625110990,1059347.56,0.0,C1705027319,234543.3,1293890.85
482,TRANSFER,296186.51,C792080112,296186.51,0.0,C1606793865,0.0,0.0
482,CASH_OUT,296186.51,C306373969,296186.51,0.0,C1858951589,668223.65,964410.16
482,TRANSFER,1451083.08,C1888769481,1451083.08,0.0,C1653981424,0.0,0.0
482,CASH_OUT,1451083.08,C727140107,1451083.08,0.0,C1279293168,0.0,1451083.08
482,TRANSFER,37831.15,C1162461767,37831.15,0.0,C1883074444,0.0,0.0
482,CASH_OUT,37831.15,C1939829449,37831.15,0.0,C1329996187,918489.62,956320.77
482,TRANSFER,24382.08,C561470318,24382.08,0.0,C1565320699,0.0,0.0
482,CASH_OUT,24382.08,C805912404,24382.08,0.0,C2095346026,6866.91,31248.99
