step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
536,TRANSFER,116974.87,C2132571279,116974.87,0.0,C1626661706,0.0,0.0
536,CASH_OUT,116974.87,C723208527,116974.87,0.0,C2063324566,735380.64,852355.51
536,TRANSFER,624686.04,C1401632766,624686.04,0.0,C1786081115,0.0,0.0
536,CASH_OUT,624686.04,C1226035706,624686.04,0.0,C1526048317,162545.17,787231.2
536,TRANSFER,232565.37,C1429695579,232565.37,0.0,C1381280025,0.0,0.0
536,CASH_OUT,232565.37,C605492867,232565.37,0.0,C64627863,0.0,232565.37
536,TRANSFER,1567549.99,C774500664,1567549.99,0.0,C996012482,0.0,0.0
536,CASH_OUT,1567549.99,C2036496646,1567549.99,0.0,C38219456,7935074.82,9502624.81
536,TRANSFER,844213.81,C219417445,844213.81,0.0,C391747525,0.0,0.0
536,CASH_OUT,844213.81,C1857315735,844213.81,0.0,C541525278,0.0,844213.81
536,TRANSFER,285382.07,C1799496993,285382.07,0.0,C6772429,0.0,0.0
536,CASH_OUT,285382.07,C2026773227,285382.07,0.0,C1098688796,0.0,285382.07
