step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
297,CASH_OUT,182320.92,C1251316752,113784.0,0.0,C1543395781,2445778.44,2628099.36
297,TRANSFER,122281.64,C181697846,6232.0,0.0,C2119826012,805296.55,927578.19
297,PAYMENT,13358.78,C775585282,175.0,0.0,M1721089538,0.0,0.0
297,PAYMENT,4239.78,C13009876,42619.0,38379.22,M701653815,0.0,0.0
297,CASH_IN,112273.24,C1424347745,171018.0,283291.24,C1993878862,232395.41,120122.17
297,PAYMENT,20221.15,C533402449,11508.0,0.0,M732425055,0.0,0.0
297,PAYMENT,31135.48,C290909895,10605.0,0.0,M1801080918,0.0,0.0
297,PAYMENT,39486.03,C743213047,10904.0,0.0,M941980722,0.0,0.0
297,PAYMENT,939.37,C505646375,11980.0,11040.63,M667072085,0.0,0.0
297,CASH_OUT,410730.6,C1870265957,9091.0,0.0,C1447423436,755642.45,1166373.05
297,CASH_OUT,259858.46,C2091830100,11020.0,0.0,C261031864,0.0,259858.46
297,CASH_OUT,188044.38,C2129013587,12384.0,0.0,C1480610386,3572911.43,3760955.8
297,PAYMENT,72402.41,C1285839556,0.0,0.0,M1812864995,0.0,0.0
297,CASH_IN,169826.87,C1718656349,52116.0,221942.87,C1284823131,849996.59,680169.72
297,CASH_OUT,262046.99,C688103027,221942.87,0.0,C186790361,599191.28,861238.27
297,CASH_OUT,157030.13,C1201636333,0.0,0.0,C972398725,342424.56,499454.7
297,CASH_OUT,7015.99,C1542618618,0.0,0.0,C288384935,29208.05,36224.04
297,CASH_OUT,251364.34,C965380524,0.0,0.0,C405814547,1818812.03,2070176.37
297,CASH_OUT,18460.66,C214923496,0.0,0.0,C986998590,132900.58,151361.24
297,CASH_OUT,434763.26,C938738295,0.0,0.0,C2059445748,657467.34,1092230.6
297,CASH_OUT,165660.27,C2141304030,0.0,0.0,C241939625,3105582.02,3271242.29
297,CASH_OUT,362511.01,C302749039,0.0,0.0,C924858841,900015.71,1262526.71
297,CASH_OUT,140122.22,C1710532606,0.0,0.0,C2091606625,178809.91,318932.13
297,CASH_OUT,224418.17,C1921312397,0.0,0.0,C316797157,1328350.06,1552768.23
297,CASH_OUT,138797.7,C15838023,0.0,0.0,C748329563,1181081.72,1319879.42
297,CASH_OUT,113337.89,C1310713563,0.0,0.0,C934526907,4385406.03,4498743.92
297,CASH_OUT,140360.65,C244609969,0.0,0.0,C1327883840,1646154.06,1786514.7
297,CASH_OUT,112808.34,C1534151776,0.0,0.0,C903490106,363673.0,476481.34
297,CASH_OUT,28976.2,C1448574938,0.0,0.0,C844891686,1401321.17,1430297.37
297,CASH_OUT,166541.34,C1741648629,0.0,0.0,C104238551,1127376.04,1293917.39
297,CASH_OUT,57517.19,C1248562246,15924.0,0.0,C2065447449,90759.16,148276.36
297,CASH_IN,19967.86,C464046887,26807.0,46774.86,C1838234415,0.0,0.0
297,PAYMENT,23014.76,C1986842151,4636.0,0.0,M1781023429,0.0,0.0
297,CASH_IN,220404.22,C2092431994,16942.0,237346.22,C1570945653,0.0,0.0
297,PAYMENT,8092.35,C555476792,21248.0,13155.65,M823531722,0.0,0.0
297,CASH_OUT,148309.46,C419453511,40996.0,0.0,C673893026,0.0,148309.46
297,DEBIT,3680.25,C1512507191,18677.0,14996.75,C1347852134,21404.52,25084.78
297,CASH_IN,140118.66,C612047212,11944.0,152062.66,C370301870,0.0,0.0
297,CASH_OUT,30617.09,C631936353,14985.0,0.0,C163843242,2831.93,33449.02
297,PAYMENT,33056.05,C1055076849,0.0,0.0,M1545574309,0.0,0.0
297,PAYMENT,27906.81,C550716723,0.0,0.0,M1361300949,0.0,0.0
297,PAYMENT,28571.25,C1986532025,0.0,0.0,M1458176366,0.0,0.0
297,PAYMENT,30820.87,C1814703197,0.0,0.0,M589826408,0.0,0.0
297,PAYMENT,2831.82,C367209070,0.0,0.0,M319076557,0.0,0.0
297,PAYMENT,12264.72,C779171380,0.0,0.0,M1299257819,0.0,0.0
297,PAYMENT,12061.19,C1104017985,0.0,0.0,M2000281701,0.0,0.0
297,PAYMENT,28099.35,C1348384800,0.0,0.0,M354737201,0.0,0.0
297,PAYMENT,25823.58,C991245094,0.0,0.0,M60278505,0.0,0.0
297,PAYMENT,11215.64,C640545027,0.0,0.0,M366703779,0.0,0.0
297,PAYMENT,35781.87,C130410813,0.0,0.0,M978896802,0.0,0.0
297,PAYMENT,26368.55,C1932823555,30040.0,3671.45,M1023705258,0.0,0.0
297,CASH_OUT,257279.82,C362814006,30299.0,0.0,C1854963341,37866.98,295146.8
297,PAYMENT,11782.1,C1765391095,117871.0,106088.9,M1044019015,0.0,0.0
297,CASH_OUT,35513.28,C664969722,10174.0,0.0,C946655622,178714.01,214227.29
297,CASH_OUT,124824.26,C843476626,0.0,0.0,C799199185,287843.31,412667.57
297,CASH_OUT,195332.25,C369919023,31322.0,0.0,C648711679,158436.62,353768.87
297,PAYMENT,54347.6,C2069977574,71284.0,16936.4,M1233029633,0.0,0.0
297,CASH_OUT,97478.84,C1213030210,67497.0,0.0,C1283825789,0.0,97478.84
297,PAYMENT,19661.85,C982685592,19366.0,0.0,M1263359813,0.0,0.0
297,CASH_OUT,249724.84,C1985933999,0.0,0.0,C1264633257,5335960.95,5585685.79
297,CASH_OUT,107882.61,C1414202473,758.0,0.0,C2049206138,0.0,107882.61
297,CASH_OUT,682569.43,C2060150575,0.0,0.0,C766461867,715103.18,1397672.61
297,CASH_IN,126634.81,C1528684620,497528.0,624162.81,C1246034067,413249.14,286614.33
297,PAYMENT,32472.48,C1515694602,624162.81,591690.32,M1454609765,0.0,0.0
297,CASH_OUT,62399.98,C2002809475,15844.0,0.0,C1308148519,420063.4,482463.38
297,CASH_IN,162257.78,C1137435555,0.0,162257.78,C372981376,273920.71,111662.93
297,CASH_OUT,47651.35,C615188010,489.0,0.0,C1719052012,2617781.83,2665433.18
297,CASH_IN,426302.87,C1853470567,4018.0,430320.87,C2060596478,0.0,0.0
297,CASH_OUT,160194.5,C452535361,1452.0,0.0,C1253912198,0.0,160194.5
297,PAYMENT,23953.63,C112396870,0.0,0.0,M2060834540,0.0,0.0
297,PAYMENT,39250.03,C1505006686,0.0,0.0,M180123653,0.0,0.0
297,PAYMENT,13988.04,C339976750,0.0,0.0,M1089828092,0.0,0.0
297,PAYMENT,3183.97,C1033772760,0.0,0.0,M1410016574,0.0,0.0
297,PAYMENT,8250.69,C1565568835,0.0,0.0,M912876161,0.0,0.0
297,PAYMENT,28833.12,C2068632138,0.0,0.0,M1986210504,0.0,0.0
