step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
475,TRANSFER,1064995.85,C932045964,1064995.85,0.0,C69741433,0.0,0.0
475,CASH_OUT,1064995.85,C1191482277,1064995.85,0.0,C174516315,0.0,1064995.85
475,TRANSFER,876753.11,C1483122432,876753.11,0.0,C1940362937,0.0,0.0
475,CASH_OUT,876753.11,C1127304441,876753.11,0.0,C1403814902,0.0,876753.11
475,TRANSFER,20111.45,C644302607,20111.45,0.0,C457206167,0.0,0.0
475,CASH_OUT,20111.45,C1538717187,20111.45,0.0,C685749303,1431418.64,1451530.08
475,TRANSFER,71511.19,C5272295,71511.19,0.0,C1553362573,0.0,0.0
475,CASH_OUT,71511.19,C743231238,71511.19,0.0,C488128368,0.0,71511.19
475,TRANSFER,9511.69,C806333119,9511.69,0.0,C922111429,0.0,0.0
475,CASH_OUT,9511.69,C1550140499,9511.69,0.0,C119015629,745613.01,755124.7
475,TRANSFER,11424.36,C1596047986,11424.36,0.0,C1251374638,0.0,0.0
475,CASH_OUT,11424.36,C358552175,11424.36,0.0,C11759889,155495.9,166920.26
475,TRANSFER,29611.08,C1481115689,29611.08,0.0,C370888897,0.0,0.0
475,CASH_OUT,29611.08,C779716783,29611.08,0.0,C1919160151,723084.29,752695.37
