step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
256,CASH_OUT,215965.21,C1308820650,12708.0,0.0,C426416592,1.290902581E7,1.312499102E7
256,PAYMENT,408.07,C1735954344,0.0,0.0,M2126724486,0.0,0.0
256,CASH_OUT,187301.31,C1282137089,5574.0,0.0,C1087248152,53974.0,241275.31
256,CASH_OUT,233649.66,C446408562,72212.0,0.0,C796841839,45921.49,279571.15
256,CASH_OUT,215328.57,C960331334,21454.0,0.0,C299107282,3005169.56,3220498.13
256,CASH_OUT,245133.2,C1593138154,77416.0,0.0,C1441090508,1638891.81,1884025.0
256,PAYMENT,7405.96,C1282154465,0.0,0.0,M193696041,0.0,0.0
256,PAYMENT,6106.56,C1503002960,0.0,0.0,M768093059,0.0,0.0
256,PAYMENT,10645.64,C33008332,0.0,0.0,M1445093634,0.0,0.0
256,PAYMENT,3571.33,C1062696471,0.0,0.0,M1404028493,0.0,0.0
256,PAYMENT,6399.47,C1865594686,0.0,0.0,M710799787,0.0,0.0
256,PAYMENT,7824.71,C784256313,0.0,0.0,M59697933,0.0,0.0
256,PAYMENT,780.67,C2038376197,0.0,0.0,M1021989160,0.0,0.0
256,PAYMENT,6745.01,C1684374665,0.0,0.0,M281533835,0.0,0.0
256,PAYMENT,2479.2,C268474265,0.0,0.0,M2114844576,0.0,0.0
256,PAYMENT,5377.61,C906257700,0.0,0.0,M402775530,0.0,0.0
256,PAYMENT,13561.52,C204025132,0.0,0.0,M487091198,0.0,0.0
256,PAYMENT,12620.47,C145756222,0.0,0.0,M516452943,0.0,0.0
256,PAYMENT,1264.55,C1540189431,0.0,0.0,M88390635,0.0,0.0
256,PAYMENT,17024.96,C234711709,0.0,0.0,M1350183783,0.0,0.0
256,PAYMENT,1156.07,C1616928587,0.0,0.0,M1088109391,0.0,0.0
256,PAYMENT,3459.7,C638847051,0.0,0.0,M666119933,0.0,0.0
256,PAYMENT,8911.23,C1171044167,0.0,0.0,M1557458418,0.0,0.0
256,PAYMENT,8892.85,C1518661747,0.0,0.0,M1556213272,0.0,0.0
256,PAYMENT,14701.39,C2081889352,0.0,0.0,M131581253,0.0,0.0
256,PAYMENT,78.47,C2049817252,0.0,0.0,M701442775,0.0,0.0
256,PAYMENT,14135.56,C1837008634,0.0,0.0,M1421515773,0.0,0.0
256,PAYMENT,4412.58,C1129706324,0.0,0.0,M329052283,0.0,0.0
256,PAYMENT,22730.98,C172813732,0.0,0.0,M178907747,0.0,0.0
256,PAYMENT,9188.65,C1720350513,0.0,0.0,M308370611,0.0,0.0
256,PAYMENT,16559.99,C2142089878,60809.0,44249.01,M974300658,0.0,0.0
256,CASH_OUT,27492.75,C261389950,1053.0,0.0,C538889672,526079.59,553572.34
256,CASH_OUT,161753.53,C386416635,209.0,0.0,C686294126,1057807.31,1219560.84
256,PAYMENT,8350.02,C94570126,109928.0,101577.98,M716250877,0.0,0.0
256,CASH_OUT,12318.79,C108716635,7971.0,0.0,C1706691792,1260268.29,1272587.08
256,TRANSFER,908521.68,C1356591752,38840.0,0.0,C591166316,283049.47,1191571.15
256,CASH_OUT,147342.94,C1305549163,50330.0,0.0,C1659332525,244982.3,392325.25
256,CASH_OUT,26507.39,C1874178266,3996.0,0.0,C2141799452,200122.96,226630.36
256,CASH_OUT,548724.88,C1041039181,176495.0,0.0,C855823218,904752.62,1453477.49
256,PAYMENT,20045.73,C835454390,222380.0,202334.27,M1955809445,0.0,0.0
256,PAYMENT,2412.71,C920782221,202334.27,199921.57,M1867346571,0.0,0.0
256,PAYMENT,9028.59,C1048394593,199921.57,190892.97,M1355123307,0.0,0.0
256,CASH_OUT,372055.82,C1991058323,10958.0,0.0,C2061937889,1844767.21,2216823.02
256,CASH_IN,345328.15,C1928384231,346495.0,691823.15,C364497888,0.0,0.0
256,CASH_OUT,314645.2,C629233131,146.0,0.0,C471361855,0.0,314645.2
256,CASH_OUT,113972.33,C1500186082,102207.0,0.0,C959107111,342325.09,456297.42
256,CASH_OUT,198819.76,C1178932455,20026.0,0.0,C1824666245,645943.81,844763.57
256,PAYMENT,6777.49,C842427710,99092.0,92314.51,M498555038,0.0,0.0
256,CASH_IN,192883.65,C477235935,172296.0,365179.65,C1073540419,3331786.13,3138902.48
256,PAYMENT,4825.1,C1929303962,365179.65,360354.55,M1939868518,0.0,0.0
256,CASH_OUT,207664.67,C1416941092,1136.0,0.0,C643379540,88340.42,296005.09
256,PAYMENT,13675.7,C1482429063,0.0,0.0,M1545231377,0.0,0.0
256,TRANSFER,552771.98,C789747663,98598.0,0.0,C1856661387,103691.51,656463.49
256,PAYMENT,17452.1,C1575315943,15228.0,0.0,M1704296694,0.0,0.0
256,CASH_IN,164043.17,C1809953409,9131.0,173174.17,C1566440666,0.0,0.0
256,CASH_OUT,244998.71,C1349975261,589779.0,344780.29,C202933685,31469.78,276468.49
256,CASH_IN,356721.54,C648678757,20005.0,376726.54,C724226481,643338.79,286617.25
256,PAYMENT,9543.4,C1869720438,376726.54,367183.15,M157444515,0.0,0.0
256,CASH_IN,496208.37,C1846930502,99356.0,595564.37,C1078573481,0.0,0.0
256,CASH_OUT,407472.34,C413275588,613.0,0.0,C706378216,0.0,407472.34
256,PAYMENT,3429.82,C2053781437,0.0,0.0,M1616864802,0.0,0.0
256,PAYMENT,6258.55,C560578995,24950.0,18691.45,M703462511,0.0,0.0
256,CASH_OUT,201.89,C34726192,18691.45,18489.57,C705762640,812354.35,812556.24
256,CASH_OUT,45470.16,C434432294,114002.0,68531.84,C440186002,1445005.11,1490475.28
256,CASH_IN,58332.51,C1995429872,144931.0,203263.51,C2021977196,139674.77,81342.26
256,CASH_OUT,237288.47,C807883718,17656.0,0.0,C1887017839,0.0,237288.47
256,CASH_OUT,68701.01,C1026702483,50572.0,0.0,C907517550,389329.16,458030.17
256,CASH_OUT,503343.34,C60907466,110326.0,0.0,C384762850,0.0,503343.34
256,CASH_IN,55384.47,C200886297,54827.0,110211.47,C342403242,120728.83,65344.36
256,PAYMENT,9516.81,C30049219,632.0,0.0,M758182349,0.0,0.0
256,PAYMENT,12615.97,C619095214,96695.0,84079.03,M1696500139,0.0,0.0
256,TRANSFER,613551.79,C815782480,10151.0,0.0,C2027870630,3072799.97,3686351.77
256,PAYMENT,8245.25,C445377303,0.0,0.0,M198836028,0.0,0.0
256,CASH_IN,242932.12,C446393405,228752.0,471684.12,C815059622,0.0,0.0
256,CASH_OUT,480989.74,C1419274340,20422.0,0.0,C1179839414,530049.8,1011039.55
256,PAYMENT,11581.56,C286192307,0.0,0.0,M1433067441,0.0,0.0
256,TRANSFER,402111.32,C349289381,525.0,0.0,C1225676282,0.0,402111.32
256,PAYMENT,8829.58,C52247059,6394.0,0.0,M1700846505,0.0,0.0
256,PAYMENT,396.01,C1718884323,41044.0,40647.99,M2137101339,0.0,0.0
256,PAYMENT,1608.23,C365356102,41655.0,40046.77,M1981339844,0.0,0.0
256,PAYMENT,13178.78,C815071979,125593.0,112414.22,M1135057326,0.0,0.0
256,PAYMENT,5893.51,C1642176840,820.0,0.0,M1359977288,0.0,0.0
256,CASH_OUT,240492.58,C1234524632,0.0,0.0,C320691203,4382049.1,4622541.69
256,CASH_OUT,210133.59,C914408365,31173.0,0.0,C20209297,0.0,210133.59
256,CASH_OUT,155235.68,C1518854100,99808.0,0.0,C2133672909,113152.91,520997.76
256,PAYMENT,7692.9,C2013256215,20639.0,12946.1,M348587689,0.0,0.0
256,CASH_OUT,274778.78,C619323959,12946.1,0.0,C879196142,383419.71,658198.5
256,CASH_OUT,110714.25,C1089937409,31510.0,0.0,C2007834415,127986.71,238700.96
256,PAYMENT,4939.94,C1238459754,12612.0,7672.06,M1703923895,0.0,0.0
256,TRANSFER,1126997.8,C268545451,241554.0,0.0,C857625394,0.0,1126997.8
256,PAYMENT,15582.02,C1762615426,5542.0,0.0,M725066492,0.0,0.0
256,CASH_OUT,390969.0,C816239941,2400.0,0.0,C575880269,0.0,390969.0
256,PAYMENT,12385.06,C760695311,53354.0,40968.94,M1062085719,0.0,0.0
256,CASH_OUT,108642.75,C695750912,40968.94,0.0,C87606964,3417645.08,3526287.83
256,PAYMENT,705.49,C796046743,20040.0,19334.51,M945984836,0.0,0.0
256,TRANSFER,214021.04,C1992323715,9988.0,0.0,C519213476,0.0,214021.04
256,PAYMENT,301.7,C492559626,12696.0,12394.3,M666832187,0.0,0.0
256,CASH_OUT,166503.8,C198931517,32013.0,0.0,C725486570,247084.3,413588.1
256,PAYMENT,12844.1,C2130336687,905484.0,892639.9,M1032485623,0.0,0.0
256,PAYMENT,4875.22,C1652784808,70974.0,66098.78,M849970265,0.0,0.0
256,CASH_OUT,50012.38,C513971840,30046.0,0.0,C1157945563,2757491.41,2807503.79
256,CASH_OUT,432889.07,C1888557665,19292.0,0.0,C1268779855,218989.09,651878.16
256,CASH_OUT,198663.19,C152980709,2622.0,0.0,C1514183984,86190.63,284853.82
256,CASH_OUT,152804.87,C2003536595,18995.0,0.0,C724374777,0.0,152804.87
256,TRANSFER,441463.46,C2113344552,81296.0,0.0,C815125169,3432642.57,3874106.03
256,CASH_OUT,337815.13,C97340389,0.0,0.0,C2105591194,877680.83,1215495.95
256,PAYMENT,5989.4,C2119128797,55949.0,49959.6,M1440310997,0.0,0.0
256,CASH_OUT,229597.34,C273313298,10828.0,0.0,C1582008681,12162.56,241759.9
256,PAYMENT,9562.81,C2142735773,50956.0,41393.19,M2076890376,0.0,0.0
256,CASH_OUT,48313.38,C1706818410,41393.19,0.0,C832768251,195085.06,243398.44
256,PAYMENT,8111.97,C641868593,31873.0,23761.03,M1708824833,0.0,0.0
256,PAYMENT,5708.46,C1217749543,30518.0,24809.54,M1926209780,0.0,0.0
256,PAYMENT,14138.35,C1168334391,24809.54,10671.18,M1946211603,0.0,0.0
256,TRANSFER,592649.73,C392631790,11013.0,0.0,C516157311,56053.53,648703.25
256,PAYMENT,14296.96,C413196278,0.0,0.0,M1202546739,0.0,0.0
256,TRANSFER,114246.99,C905414040,28935.0,0.0,C1037558717,2283623.28,2397870.27
256,CASH_OUT,123878.02,C437272237,34723.0,0.0,C1225799175,509232.34,633110.36
256,CASH_OUT,288984.05,C72424822,253745.0,0.0,C554298063,1916430.98,2205415.03
256,CASH_OUT,239994.48,C680595775,131449.0,0.0,C301390506,15445.2,255439.68
256,PAYMENT,2251.03,C558078704,41135.0,38883.97,M985480483,0.0,0.0
256,CASH_OUT,107397.73,C906706351,100.0,0.0,C928036459,0.0,107397.73
256,PAYMENT,6312.05,C372497080,414383.0,408070.95,M723142292,0.0,0.0
256,CASH_OUT,215373.61,C2015179505,367188.0,151814.39,C480512840,3515152.14,3730525.75
256,CASH_OUT,11133.55,C387227160,8382.0,0.0,C1660272029,8200.2,19333.76
256,TRANSFER,67860.02,C536506456,0.0,0.0,C486477344,142506.23,210366.26
256,CASH_OUT,307442.59,C1714269141,40275.0,0.0,C872042294,5038373.18,5345815.77
256,CASH_OUT,152625.49,C2000066395,19180.0,0.0,C810145577,480486.67,633112.17
256,CASH_OUT,51408.86,C1155609595,40520.0,0.0,C1550210515,375612.98,427021.84
256,PAYMENT,15730.04,C148235151,4015.0,0.0,M61702723,0.0,0.0
256,CASH_OUT,161207.54,C1080185122,0.0,0.0,C1386240071,551023.59,712231.13
256,CASH_OUT,299454.49,C231857214,110154.0,0.0,C1536768134,453920.03,753374.52
256,CASH_OUT,122194.14,C708808592,8638.0,0.0,C746503655,1421464.53,1543658.66
256,PAYMENT,3423.51,C1164947214,0.0,0.0,M391519680,0.0,0.0
256,CASH_OUT,137787.38,C350552888,23986.0,0.0,C424350714,0.0,137787.38
256,TRANSFER,207727.32,C1114660155,6622.0,0.0,C1836441002,1876427.06,2084154.37
256,CASH_IN,234136.34,C2061475236,131048.0,365184.34,C30689770,1979886.19,1745749.86
256,TRANSFER,225185.73,C1572874018,185.0,0.0,C71579041,0.0,225185.73
256,PAYMENT,23616.52,C1635783521,0.0,0.0,M567874543,0.0,0.0
256,PAYMENT,8737.72,C669882573,0.0,0.0,M2068337189,0.0,0.0
256,PAYMENT,12361.65,C447896886,202346.0,189984.35,M1931305956,0.0,0.0
256,PAYMENT,1488.63,C947762874,60209.0,58720.37,M27071210,0.0,0.0
256,PAYMENT,14066.98,C164537346,58720.37,44653.39,M290776220,0.0,0.0
256,PAYMENT,28889.77,C1145657450,44653.39,15763.62,M766122059,0.0,0.0
256,CASH_OUT,429822.23,C1362646856,106598.0,0.0,C822216181,0.0,429822.23
256,PAYMENT,4739.9,C1736325623,26092.0,21352.1,M1778034554,0.0,0.0
256,CASH_OUT,203437.66,C342856270,253.0,0.0,C555188991,35688.13,239125.8
256,PAYMENT,6295.57,C134088092,29846.0,23550.43,M291058965,0.0,0.0
256,PAYMENT,3991.09,C765755699,41576.0,37584.91,M1160878891,0.0,0.0
256,CASH_OUT,99861.01,C840213748,291541.0,191679.99,C1372308195,1676.87,101537.88
256,PAYMENT,2818.14,C1782439486,21519.0,18700.86,M1670997843,0.0,0.0
256,PAYMENT,4370.85,C716718280,18700.86,14330.01,M1033658991,0.0,0.0
256,PAYMENT,5588.15,C970233804,14330.01,8741.86,M299879514,0.0,0.0
256,CASH_IN,222336.2,C2030657705,135585.0,357921.2,C457055521,3068097.8,2845761.6
256,CASH_IN,2716.51,C668527357,40674.0,43390.51,C1724534111,2391382.49,2388665.99
256,CASH_IN,432871.55,C976184125,818.0,433689.55,C876264966,0.0,0.0
256,CASH_OUT,175925.05,C1442694462,416.0,0.0,C1693181403,781828.17,957753.22
256,CASH_OUT,2700.77,C1732504320,10397.0,7696.23,C1083032803,28819.3,31520.07
256,TRANSFER,822023.05,C128743959,468.0,0.0,C1939166937,1398371.03,2220394.08
256,CASH_IN,321652.42,C1188812628,358.0,322010.42,C822405905,0.0,0.0
256,CASH_OUT,72591.33,C2108960388,322010.42,249419.08,C1574200706,85242.1,157833.43
256,CASH_OUT,265151.14,C89641433,115066.0,0.0,C66399895,493551.16,758702.3
256,TRANSFER,958770.19,C1640988582,0.0,0.0,C1522245593,2973743.62,3932513.81
256,CASH_IN,125910.28,C2041996732,12815.0,138725.28,C842320638,1468388.7,1342478.42
256,TRANSFER,89241.7,C631940096,43335.0,0.0,C2025870549,1070876.46,1160118.16
256,PAYMENT,14938.98,C508063861,0.0,0.0,M73408085,0.0,0.0
256,CASH_IN,27707.84,C1311838432,79230.0,106937.84,C1607052732,229723.54,202015.7
256,TRANSFER,579726.69,C1045116802,192782.0,0.0,C1163566794,144038.26,723764.94
256,CASH_OUT,86520.19,C1667052518,40635.0,0.0,C106849270,249768.74,336288.93
256,PAYMENT,12821.15,C1732975470,34278.0,21456.85,M557556087,0.0,0.0
256,TRANSFER,224567.2,C1177253365,51591.0,0.0,C1617106715,3454076.32,3678643.51
256,PAYMENT,328.07,C1281600725,92070.0,91741.93,M1934384732,0.0,0.0
256,TRANSFER,1164212.41,C260073819,20077.0,0.0,C935879038,322334.41,1486546.83
256,CASH_OUT,21699.4,C312029571,0.0,0.0,C225326227,1.163347382E7,1.165517322E7
256,CASH_OUT,240420.39,C1137517057,0.0,0.0,C277292510,887103.26,1127523.64
256,CASH_OUT,112551.01,C1390557850,0.0,0.0,C845431770,189936.39,302487.4
256,CASH_OUT,89940.61,C1579436844,0.0,0.0,C2009434310,283600.46,373541.08
256,CASH_OUT,70868.09,C90864706,30985.0,0.0,C301947310,0.0,70868.09
256,PAYMENT,204.75,C790465476,0.0,0.0,M1818772055,0.0,0.0
256,CASH_OUT,8943.73,C275319261,115502.0,106558.27,C2006432611,491531.21,500474.94
256,CASH_OUT,303588.67,C1186463742,530061.0,226472.33,C121243784,1589078.31,1892666.98
256,CASH_OUT,96007.21,C95883079,6158.0,0.0,C604538863,0.0,96007.21
256,DEBIT,16266.06,C727949148,1146.0,0.0,C2041307186,50858.83,67124.89
256,CASH_OUT,238128.46,C1939627020,0.0,0.0,C2067285940,2381039.02,2619167.48
256,PAYMENT,14906.51,C179111310,5631.0,0.0,M928902827,0.0,0.0
256,PAYMENT,12349.55,C15933027,0.0,0.0,M295587405,0.0,0.0
256,PAYMENT,1805.83,C1946003589,31790.0,29984.17,M730675431,0.0,0.0
256,PAYMENT,1940.74,C865418227,29984.17,28043.43,M1343944682,0.0,0.0
256,CASH_OUT,11247.11,C1312670956,16666.0,5418.89,C318645506,304673.69,315920.81
256,CASH_OUT,81728.81,C204838860,29854.0,0.0,C1937196092,3603960.11,3685688.92
256,CASH_IN,209468.84,C384134938,9906.0,219374.84,C2032657333,253014.56,43545.72
256,CASH_OUT,9848.13,C298282891,90169.0,80320.87,C970576452,0.0,9848.13
256,CASH_OUT,191238.05,C838714363,536.0,0.0,C437607419,1.065277114E7,1.084400919E7
