step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
172,TRANSFER,1116508.49,C662766800,1116508.49,0.0,C18004144,0.0,0.0
172,CASH_OUT,1116508.49,C45204109,1116508.49,0.0,C500640535,4052464.84,5168973.32
172,TRANSFER,70072.66,C739431473,70072.66,0.0,C1097630164,0.0,0.0
172,CASH_OUT,70072.66,C1634834967,70072.66,0.0,C1403933655,519712.34,589784.99
172,TRANSFER,800024.12,C1324987757,800024.12,0.0,C704140771,0.0,0.0
172,CASH_OUT,800024.12,C1112585109,800024.12,0.0,C414783966,108216.94,908241.06
172,TRANSFER,976830.22,C2027508914,976830.22,0.0,C1907001338,0.0,0.0
172,CASH_OUT,976830.22,C362141852,976830.22,0.0,C171474212,0.0,976830.22
172,TRANSFER,692984.55,C548545362,692984.55,0.0,C373573022,0.0,0.0
172,CASH_OUT,692984.55,C1799581690,692984.55,0.0,C1865178469,758852.8,1451837.35
