step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
46,PAYMENT,7106.76,C2065201561,30987.0,23880.24,M439609099,0.0,0.0
46,DEBIT,2915.18,C1994426138,255.0,0.0,C1640600787,59320.26,62235.44
46,CASH_OUT,1518.81,C144861960,54641.0,53122.19,C1058704800,253252.23,254771.04
46,CASH_OUT,137999.9,C810426164,53122.19,0.0,C1815905527,525543.63,663543.52
46,PAYMENT,1866.4,C893435273,50323.0,48456.6,M1206527084,0.0,0.0
46,PAYMENT,480.76,C1552674226,61787.0,61306.24,M486338216,0.0,0.0
46,PAYMENT,5110.37,C752919627,61306.24,56195.87,M985607423,0.0,0.0
46,PAYMENT,3344.01,C962240615,1223.0,0.0,M1118343242,0.0,0.0
46,TRANSFER,206346.67,C1799599784,10041.0,0.0,C731736418,415666.85,622013.52
46,PAYMENT,7962.0,C685287403,0.0,0.0,M1156412175,0.0,0.0
46,CASH_IN,2476.79,C1111589144,70050.0,72526.79,C1076830436,0.0,0.0
46,PAYMENT,4456.11,C876710158,72526.79,68070.68,M1506510738,0.0,0.0
46,CASH_OUT,159235.54,C1980883631,368.0,0.0,C971751171,0.0,159235.54
46,CASH_OUT,185028.73,C941024308,76.0,0.0,C30110343,325194.25,510222.98
46,PAYMENT,9267.85,C10949569,200366.0,191098.15,M97903440,0.0,0.0
46,PAYMENT,11817.19,C2083028447,102555.0,90737.81,M1938821418,0.0,0.0
46,PAYMENT,3284.67,C1259421058,5068.0,1783.33,M1635027155,0.0,0.0
46,PAYMENT,2196.72,C1577961383,1783.33,0.0,M770147341,0.0,0.0
46,PAYMENT,3687.98,C1868058910,51225.0,47537.02,M716144182,0.0,0.0
46,DEBIT,1358.97,C439329851,120145.0,118786.03,C1740953234,176480.44,177839.41
46,TRANSFER,51301.32,C200903839,118786.03,67484.71,C306372946,482224.64,642728.95
46,PAYMENT,3296.12,C646249567,34151.0,30854.88,M1997240439,0.0,0.0
46,CASH_OUT,76341.91,C274859217,30854.88,0.0,C1931378286,128404.69,204746.6
46,DEBIT,3575.87,C1463349046,180094.0,176518.13,C1785200101,459275.96,462851.83
46,PAYMENT,10995.94,C1457493898,7266.0,0.0,M2050725350,0.0,0.0
46,PAYMENT,1544.36,C2055164668,89233.0,87688.64,M1781416922,0.0,0.0
46,PAYMENT,3066.75,C1088940754,60300.0,57233.25,M1725285261,0.0,0.0
46,PAYMENT,261.28,C1723700505,57233.25,56971.97,M2123704967,0.0,0.0
46,PAYMENT,7372.33,C31194877,108063.0,100690.67,M1239063776,0.0,0.0
46,PAYMENT,3026.19,C1137036703,10933.0,7906.81,M340985458,0.0,0.0
46,PAYMENT,1123.31,C1252077075,235978.0,234854.69,M1468106299,0.0,0.0
46,CASH_OUT,102581.48,C985993313,167572.0,64990.52,C2124042212,0.0,102581.48
46,CASH_OUT,84647.21,C917107165,4565.0,0.0,C1996455751,3392381.99,3477029.19
46,DEBIT,3216.48,C1966833837,22955.0,19738.52,C1981038803,190106.47,193322.96
46,PAYMENT,4261.23,C785412207,9859.0,5597.77,M1006910412,0.0,0.0
46,PAYMENT,6333.19,C1171915400,5541.0,0.0,M1825426550,0.0,0.0
46,PAYMENT,9499.17,C1102285448,11762.0,2262.83,M1551110953,0.0,0.0
46,CASH_OUT,14598.42,C1236239469,694.0,0.0,C1231063648,53305.5,67903.92
46,PAYMENT,4257.11,C1266896722,1259.0,0.0,M372861792,0.0,0.0
46,PAYMENT,7649.25,C1789452245,0.0,0.0,M1603383809,0.0,0.0
46,CASH_OUT,398252.99,C238653310,511.0,0.0,C1991064052,0.0,398252.99
46,CASH_OUT,81518.57,C1401329586,10642.0,0.0,C998363857,0.0,81518.57
