step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
527,PAYMENT,2787.85,C971314877,20186.0,17398.15,M2069003355,0.0,0.0
527,PAYMENT,488.06,C1046432521,99730.0,99241.94,M128136902,0.0,0.0
527,CASH_IN,71060.72,C383948913,11942.0,83002.72,C1341771291,0.0,0.0
527,PAYMENT,3569.64,C2126155346,36119.0,32549.36,M989435279,0.0,0.0
527,PAYMENT,61.07,C619876624,69313.0,69251.93,M651277551,0.0,0.0
527,CASH_OUT,95665.23,C204699257,10045.0,0.0,C802261166,570356.75,666021.99
527,CASH_OUT,176236.62,C2047926173,148558.0,0.0,C431798588,137150.36,313386.99
527,PAYMENT,3783.38,C1247456222,447.0,0.0,M1627850934,0.0,0.0
527,PAYMENT,6291.1,C1989159505,20943.0,14651.9,M167833385,0.0,0.0
527,DEBIT,2392.17,C354132460,14837.0,12444.83,C550616897,7624.89,10017.06
527,PAYMENT,2318.26,C1283475777,212.0,0.0,M993337378,0.0,0.0
527,PAYMENT,11852.93,C918682058,0.0,0.0,M2124233279,0.0,0.0
527,CASH_OUT,221824.89,C806989548,715.0,0.0,C1924817467,0.0,221824.89
527,CASH_OUT,236503.71,C582991101,0.0,0.0,C5817341,241175.54,477679.25
527,PAYMENT,5981.92,C453582537,41826.0,35844.08,M206734165,0.0,0.0
527,PAYMENT,9453.82,C1900098301,35844.08,26390.27,M784736380,0.0,0.0
527,CASH_IN,53580.94,C2112523323,42088.0,95668.94,C1935189093,0.0,0.0
527,PAYMENT,7929.7,C1706750200,51403.0,43473.3,M496296040,0.0,0.0
527,PAYMENT,6574.37,C38725222,184823.0,178248.63,M728512832,0.0,0.0
527,PAYMENT,26764.04,C425927141,178248.63,151484.59,M592315649,0.0,0.0
527,PAYMENT,9597.72,C1447471832,11120.0,1522.28,M472530793,0.0,0.0
527,CASH_IN,149613.85,C482756864,69860.0,219473.85,C299653866,965927.47,816313.62
527,PAYMENT,4561.15,C1341333908,31600.0,27038.85,M746607320,0.0,0.0
527,PAYMENT,46199.45,C1637675350,27038.85,0.0,M1329343020,0.0,0.0
527,PAYMENT,4219.65,C420826590,30076.0,25856.35,M925747894,0.0,0.0
527,DEBIT,395.76,C826121028,112848.0,112452.24,C536768224,6702293.29,6702689.06
527,PAYMENT,795.88,C528398853,16656.0,15860.12,M750157705,0.0,0.0
527,PAYMENT,7784.75,C1972857043,13513.0,5728.25,M682437278,0.0,0.0
527,PAYMENT,14138.47,C1122571036,5728.25,0.0,M1572632319,0.0,0.0
527,PAYMENT,1405.97,C321080427,877.0,0.0,M1385921867,0.0,0.0
527,TRANSFER,626073.59,C1482745335,0.0,0.0,C1628934827,9554610.42,1.018068401E7
527,PAYMENT,8408.86,C1716874122,277.0,0.0,M1872507711,0.0,0.0
527,PAYMENT,2950.69,C1726249634,504722.0,501771.31,M972322004,0.0,0.0
527,PAYMENT,36952.44,C1949323611,501771.31,464818.87,M2050724137,0.0,0.0
527,PAYMENT,23833.76,C1070581158,464818.87,440985.11,M629625951,0.0,0.0
527,CASH_OUT,141900.84,C1405842237,20982.0,0.0,C1411311397,0.0,141900.84
527,PAYMENT,5322.46,C1977553588,11665.0,6342.54,M888937308,0.0,0.0
527,PAYMENT,5036.57,C726045744,9061.0,4024.43,M589056254,0.0,0.0
527,PAYMENT,19721.24,C777757851,49705.0,29983.76,M2057923831,0.0,0.0
527,PAYMENT,4447.65,C1708232838,11625.0,7177.35,M617312122,0.0,0.0
527,PAYMENT,6779.26,C1472690180,21056.0,14276.74,M1714976991,0.0,0.0
527,CASH_OUT,342383.71,C251957566,14276.74,0.0,C24897688,6296033.69,6638417.39
527,PAYMENT,5831.33,C1884000027,5553.0,0.0,M480304718,0.0,0.0
527,PAYMENT,755.28,C964408197,0.0,0.0,M308103413,0.0,0.0
527,PAYMENT,17750.31,C1044524786,60919.0,43168.69,M613078490,0.0,0.0
527,PAYMENT,3408.39,C1074380117,10023.0,6614.61,M954949441,0.0,0.0
527,PAYMENT,414.58,C401724176,22153.0,21738.42,M1697116209,0.0,0.0
527,TRANSFER,1094419.89,C1749621461,1094419.89,0.0,C1910771897,0.0,0.0
527,CASH_OUT,1094419.89,C171594186,1094419.89,0.0,C31581400,6352690.24,7447110.13
527,PAYMENT,5716.38,C332032718,11040.0,5323.62,M1236707070,0.0,0.0
527,PAYMENT,4399.39,C1762230959,12070.0,7670.61,M828717637,0.0,0.0
527,CASH_OUT,105870.57,C1899604669,1076.0,0.0,C2107133773,31045.48,136916.05
527,PAYMENT,3154.7,C222589746,20627.0,17472.3,M679314639,0.0,0.0
527,PAYMENT,27502.53,C810693783,17472.3,0.0,M209853538,0.0,0.0
527,PAYMENT,9892.03,C586232611,12.0,0.0,M1726910542,0.0,0.0
527,PAYMENT,1654.94,C1203365512,49951.0,48296.06,M1531220753,0.0,0.0
527,CASH_OUT,357377.9,C1887951729,48296.06,0.0,C1104200759,1.369762518E7,1.405500307E7
527,PAYMENT,4502.32,C1660504527,110030.0,105527.68,M1786543806,0.0,0.0
527,PAYMENT,31880.03,C366978299,105527.68,73647.64,M1531820386,0.0,0.0
527,PAYMENT,7292.68,C1943155957,73647.64,66354.97,M2052210111,0.0,0.0
527,PAYMENT,5355.48,C314750578,11695.0,6339.52,M611490785,0.0,0.0
527,PAYMENT,16173.88,C1189443078,43812.0,27638.12,M766579872,0.0,0.0
527,PAYMENT,34359.45,C717702722,27638.12,0.0,M450526568,0.0,0.0
527,PAYMENT,37606.82,C2002943347,0.0,0.0,M1389589291,0.0,0.0
527,PAYMENT,27590.91,C1110887013,0.0,0.0,M189718134,0.0,0.0
527,PAYMENT,11002.53,C1872995209,0.0,0.0,M648077181,0.0,0.0
527,PAYMENT,12693.03,C1387351086,0.0,0.0,M804357472,0.0,0.0
527,PAYMENT,730.49,C1572656380,0.0,0.0,M2101846785,0.0,0.0
527,PAYMENT,6964.99,C634339515,0.0,0.0,M112597991,0.0,0.0
527,PAYMENT,4414.32,C1033250041,0.0,0.0,M2106181601,0.0,0.0
527,PAYMENT,540.63,C572295795,0.0,0.0,M339989748,0.0,0.0
527,PAYMENT,6232.89,C419339113,0.0,0.0,M737931608,0.0,0.0
527,PAYMENT,30058.42,C1844619590,0.0,0.0,M1738290296,0.0,0.0
527,PAYMENT,5132.51,C198565425,0.0,0.0,M2135985954,0.0,0.0
527,PAYMENT,27192.25,C118530327,0.0,0.0,M19495545,0.0,0.0
527,PAYMENT,35207.41,C606607419,0.0,0.0,M1610267139,0.0,0.0
527,PAYMENT,2615.52,C1575006450,0.0,0.0,M399569797,0.0,0.0
527,PAYMENT,13172.13,C1943914628,0.0,0.0,M2038255198,0.0,0.0
527,PAYMENT,6224.64,C557979299,0.0,0.0,M824088021,0.0,0.0
527,PAYMENT,7461.68,C739963546,0.0,0.0,M1057375993,0.0,0.0
527,PAYMENT,2818.11,C239122612,0.0,0.0,M1270162580,0.0,0.0
527,PAYMENT,59.06,C817926490,0.0,0.0,M1039935541,0.0,0.0
527,PAYMENT,19165.81,C921874982,0.0,0.0,M1409397224,0.0,0.0
527,PAYMENT,10306.57,C1618976883,535.0,0.0,M1008632265,0.0,0.0
527,CASH_OUT,228437.04,C526280686,0.0,0.0,C1116252053,2109639.7,2338076.74
527,PAYMENT,3628.53,C1175001884,756.0,0.0,M1533560726,0.0,0.0
527,PAYMENT,2180.06,C330335739,0.0,0.0,M2134765940,0.0,0.0
527,DEBIT,4503.11,C1902298228,52932.0,48428.89,C507948371,62708.74,67211.86
527,PAYMENT,179.13,C1756326201,11642.0,11462.87,M2141697674,0.0,0.0
527,PAYMENT,5299.56,C1862360667,8054.0,2754.44,M136804011,0.0,0.0
527,PAYMENT,1245.78,C458371127,44510.0,43264.22,M1493423665,0.0,0.0
527,PAYMENT,12016.28,C1016445132,11989.0,0.0,M255071195,0.0,0.0
527,PAYMENT,6721.93,C99441026,427.0,0.0,M1117300048,0.0,0.0
527,CASH_OUT,82852.2,C1406805527,59266.0,0.0,C1117738929,495512.39,578364.59
527,PAYMENT,10903.38,C2086620540,0.0,0.0,M328280636,0.0,0.0
527,PAYMENT,8380.39,C346337083,26094.0,17713.61,M382523686,0.0,0.0
527,TRANSFER,248627.28,C276714030,301025.0,52397.72,C315238737,13145.59,261772.87
527,CASH_OUT,2391.82,C178543319,52397.72,50005.91,C1606293687,52068.94,54460.76
527,PAYMENT,2728.44,C994636239,507896.0,505167.56,M1270684265,0.0,0.0
527,PAYMENT,11252.18,C699452946,12280.0,1027.82,M32135953,0.0,0.0
527,PAYMENT,6651.71,C2102400106,1539.0,0.0,M1578969083,0.0,0.0
527,CASH_OUT,315571.27,C1903342196,0.0,0.0,C1796415328,1460774.8,1776346.08
527,CASH_OUT,16754.3,C571690392,0.0,0.0,C785533375,225030.08,241784.38
527,CASH_OUT,200358.21,C1595797236,0.0,0.0,C1160301797,1979121.26,2179479.47
527,CASH_OUT,196604.81,C1753757715,0.0,0.0,C1191692378,9418789.72,9615394.52
527,CASH_OUT,72064.4,C202233444,0.0,0.0,C1707550834,307153.01,379217.41
527,CASH_OUT,55831.44,C877278704,0.0,0.0,C1378764446,248634.93,304466.37
527,CASH_OUT,26440.02,C76548035,0.0,0.0,C1850469971,2.870753724E7,2.873397726E7
527,CASH_OUT,72840.44,C762441698,0.0,0.0,C1845960476,1064852.15,1137692.59
527,CASH_OUT,326250.18,C1328394974,0.0,0.0,C919090463,6664181.68,6990431.87
527,CASH_OUT,90243.42,C707652478,0.0,0.0,C444575348,4746738.04,4836981.47
527,CASH_OUT,72838.6,C772231143,0.0,0.0,C830034370,146848.99,219687.59
527,CASH_OUT,71357.62,C204192570,0.0,0.0,C746625190,439998.72,511356.34
527,CASH_OUT,18301.76,C783434531,0.0,0.0,C430448465,221819.45,240121.22
527,CASH_OUT,205914.39,C1795238800,0.0,0.0,C997533143,224198.95,430113.33
527,CASH_OUT,279750.75,C2137864544,0.0,0.0,C1126794677,2824265.57,3104016.33
527,CASH_OUT,39621.45,C785301468,0.0,0.0,C1135108291,323478.97,363100.42
527,CASH_OUT,172404.8,C316234365,0.0,0.0,C8773947,913385.86,1085790.66
527,CASH_OUT,196220.02,C1885777437,0.0,0.0,C59296780,397722.89,593942.91
527,CASH_OUT,236291.43,C1716924232,0.0,0.0,C1630118810,405539.95,641831.38
527,CASH_OUT,121195.27,C1035815937,0.0,0.0,C1386977304,2635330.1,2756525.37
527,CASH_OUT,253843.38,C1701831545,0.0,0.0,C1048459319,2483896.01,2737739.39
527,CASH_OUT,38651.46,C549240719,0.0,0.0,C468443529,3230303.34,3268954.81
527,CASH_OUT,371.04,C2001201343,134.0,0.0,C920984770,1054850.01,1055221.05
527,PAYMENT,12016.28,C550338322,22924.0,10907.72,M983770201,0.0,0.0
527,PAYMENT,6202.81,C2141627461,87525.0,81322.19,M938260766,0.0,0.0
527,CASH_OUT,75927.41,C2089968926,81322.19,5394.78,C272466811,101745.65,177673.06
527,CASH_OUT,200368.85,C1596983097,5394.78,0.0,C81961305,1.371720267E7,1.391757152E7
527,CASH_OUT,268165.5,C368968726,0.0,0.0,C84979168,3668743.91,3936909.41
527,CASH_OUT,186787.01,C1200122878,0.0,0.0,C1997284436,297397.76,484184.77
527,CASH_OUT,148443.71,C685591684,0.0,0.0,C2053279330,419285.44,567729.15
527,CASH_OUT,38285.01,C1997250409,0.0,0.0,C135771065,7813309.42,7851594.43
527,CASH_OUT,146533.07,C305199914,0.0,0.0,C838814637,1584200.52,1684857.45
527,CASH_OUT,213776.39,C384017673,0.0,0.0,C583566517,1770661.56,1984437.95
527,CASH_OUT,106359.05,C1410884157,0.0,0.0,C852175440,139338.29,245697.34
527,CASH_OUT,510947.39,C2143510272,0.0,0.0,C270571740,7843146.7,8354094.09
527,CASH_OUT,363538.63,C1782514297,0.0,0.0,C778978725,462701.62,826240.25
527,CASH_OUT,69626.72,C1635727834,0.0,0.0,C451405337,1197111.47,1266738.19
527,CASH_OUT,137398.13,C1986115138,0.0,0.0,C1992153733,6248682.42,6386080.55
527,CASH_OUT,183413.41,C331341009,0.0,0.0,C1945332155,216725.65,400139.06
527,CASH_OUT,262680.62,C25241621,0.0,0.0,C1001823340,804969.15,1067649.76
527,CASH_OUT,215890.87,C430465046,0.0,0.0,C20731201,907243.06,1123133.94
527,CASH_OUT,311288.14,C1644172999,0.0,0.0,C1249193247,700353.02,1011641.16
527,CASH_OUT,129985.61,C255072002,0.0,0.0,C873997379,148744.7,278730.31
527,CASH_OUT,163539.61,C125654897,0.0,0.0,C939493863,1808694.53,1972234.14
527,CASH_OUT,144601.94,C1569668952,0.0,0.0,C926454364,769134.91,913736.85
527,CASH_OUT,22950.51,C1062976512,0.0,0.0,C1550593006,9335218.43,9358168.94
527,CASH_OUT,93388.13,C276308206,0.0,0.0,C968297084,597040.69,690428.81
527,PAYMENT,663.36,C2110995279,11926.0,11262.64,M1493352018,0.0,0.0
527,PAYMENT,576.53,C1004249806,43627.0,43050.47,M1786092043,0.0,0.0
527,TRANSFER,257860.6,C244899145,7881.0,0.0,C457143449,577770.77,835631.37
527,PAYMENT,8460.45,C1118048998,13610.0,5149.55,M604964270,0.0,0.0
527,PAYMENT,8813.6,C1651271398,19964.0,11150.4,M710319479,0.0,0.0
527,PAYMENT,13460.82,C1208457721,1179.0,0.0,M343529250,0.0,0.0
527,PAYMENT,6570.91,C363055133,0.0,0.0,M184570619,0.0,0.0
527,PAYMENT,8355.06,C2134690355,22920.0,14564.94,M631689777,0.0,0.0
527,PAYMENT,6662.6,C776865208,14564.94,7902.35,M667946240,0.0,0.0
527,CASH_IN,7348.21,C1050945179,29736.0,37084.21,C1007549660,89089.72,81741.51
527,PAYMENT,98.97,C754998308,56546.0,56447.03,M1941831673,0.0,0.0
527,PAYMENT,2949.63,C1411536003,100014.0,97064.37,M1261248610,0.0,0.0
527,PAYMENT,4463.17,C1692644447,57462.0,52998.83,M2025704717,0.0,0.0
527,CASH_OUT,18488.1,C1056770261,31137.0,12648.9,C1909102029,0.0,18488.1
