step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
547,CASH_OUT,166070.07,C1726179245,10855.0,0.0,C1560573396,1.443979624E7,1.460586631E7
547,CASH_IN,31168.68,C1601880375,31952.0,63120.68,C302027356,0.0,0.0
547,PAYMENT,14796.76,C1902289105,286245.0,271448.24,M1783146129,0.0,0.0
547,PAYMENT,10936.13,C392915578,34736.0,23799.87,M504455897,0.0,0.0
547,CASH_OUT,170936.03,C2056334818,23799.87,0.0,C31333191,268494.28,439430.31
547,CASH_OUT,13755.99,C1430413327,0.0,0.0,C2062562651,2743903.08,2757659.07
547,CASH_OUT,204406.77,C423028839,0.0,0.0,C1274179644,640536.68,844943.45
547,CASH_OUT,255720.74,C212092466,0.0,0.0,C1936029831,578129.76,833850.5
547,CASH_OUT,235351.96,C2133431417,0.0,0.0,C573206138,2486791.69,2722143.65
547,CASH_OUT,100531.16,C959304075,0.0,0.0,C477490247,6051208.87,6151740.03
547,PAYMENT,1473.53,C402023193,10242.0,8768.47,M969744899,0.0,0.0
547,PAYMENT,2361.77,C183821087,8768.47,6406.7,M1568852547,0.0,0.0
547,CASH_IN,170783.33,C2043188289,140.0,170923.33,C2107913031,442410.18,271626.85
547,PAYMENT,5318.0,C700808257,144445.0,139127.0,M75800189,0.0,0.0
547,CASH_IN,215089.3,C1335860348,21594.0,236683.3,C404261902,1250057.34,1034968.04
547,CASH_IN,5003.33,C1925739346,144206.0,149209.33,C1648593647,64989.04,59985.71
547,TRANSFER,594471.04,C1886207550,594471.04,0.0,C1120946694,0.0,0.0
547,CASH_OUT,594471.04,C1345990968,594471.04,0.0,C623395017,1788456.17,2382927.21
547,CASH_OUT,113339.47,C1668627263,80092.0,0.0,C870681701,0.0,113339.47
547,PAYMENT,2180.61,C1385596640,21466.0,19285.39,M1259589186,0.0,0.0
547,CASH_IN,235059.42,C1243715049,19285.39,254344.81,C154671667,1523186.6,1288127.19
547,CASH_IN,232993.28,C4715345,254344.81,487338.09,C440981795,5807626.1,5574632.82
547,CASH_IN,444633.3,C1719714879,487338.09,931971.39,C855085960,692803.91,248170.61
547,CASH_IN,368759.41,C867460979,931971.39,1300730.8,C1940343562,1780110.08,1411350.68
547,CASH_IN,244142.54,C1971069489,1300730.8,1544873.33,C1314481186,906609.63,662467.09
547,CASH_IN,157366.72,C1243519668,1544873.33,1702240.05,C1799937145,5109118.0,4951751.28
547,CASH_IN,408767.94,C710872820,1702240.05,2111008.0,C1684602471,1753711.93,1344943.98
547,CASH_IN,218018.96,C985688883,2111008.0,2329026.96,C1057573311,588568.58,370549.62
547,CASH_IN,158663.97,C783924208,2329026.96,2487690.93,C1650346469,2172847.31,2014183.34
547,CASH_IN,3139.54,C281829289,2487690.93,2490830.47,C1161914635,419012.01,415872.47
547,CASH_IN,331757.37,C1119280106,2490830.47,2822587.84,C1535686985,1.073825849E7,1.040650112E7
547,CASH_IN,179246.08,C2073475452,2822587.84,3001833.92,C928555178,1652256.98,1473010.9
547,CASH_IN,29503.14,C412351429,3001833.92,3031337.06,C1210771812,44770.75,15267.61
547,CASH_IN,69614.33,C1792069225,3031337.06,3100951.39,C706984708,2344900.74,2275286.41
547,CASH_IN,55065.79,C508375378,3100951.39,3156017.17,C1942502070,77186.12,22120.33
547,CASH_IN,249710.42,C1348351678,3156017.17,3405727.59,C200617442,285462.48,35752.06
547,CASH_IN,206806.45,C1460970147,3405727.59,3612534.04,C1760138825,333527.31,126720.87
547,CASH_IN,64262.33,C1004244398,3612534.04,3676796.37,C92398812,303071.55,238809.22
547,CASH_IN,434087.59,C1282141222,3676796.37,4110883.96,C734508862,500209.9,66122.31
547,CASH_IN,305177.57,C1830930643,4110883.96,4416061.52,C919604445,464481.57,159304.0
547,CASH_IN,138648.48,C533884526,4416061.52,4554710.01,C1673502859,626153.52,487505.04
547,CASH_IN,100049.89,C2021861063,4554710.01,4654759.9,C314011953,1.707443016E7,1.697438027E7
547,CASH_OUT,180415.56,C1805315885,47907.0,0.0,C1483372213,51568.74,231984.3
547,CASH_OUT,36586.41,C136234461,11494.0,0.0,C1665528086,8188.0,44774.42
547,PAYMENT,5215.1,C70482862,0.0,0.0,M1701298417,0.0,0.0
547,PAYMENT,2882.31,C1505274103,0.0,0.0,M662093360,0.0,0.0
547,PAYMENT,12524.72,C948391803,0.0,0.0,M1673294034,0.0,0.0
547,PAYMENT,7432.39,C2145354562,0.0,0.0,M1833579959,0.0,0.0
547,PAYMENT,3307.73,C1865700338,0.0,0.0,M1863226406,0.0,0.0
547,PAYMENT,1357.79,C1816715030,10379.0,9021.21,M1351858341,0.0,0.0
547,CASH_IN,171218.84,C494262918,12028.0,183246.84,C2135786636,30596.83,0.0
547,PAYMENT,6874.18,C104977066,183246.84,176372.66,M752557339,0.0,0.0
547,CASH_OUT,227896.05,C1631637173,20702.0,0.0,C1998750048,2.432602672E7,2.455392277E7
547,PAYMENT,7299.12,C1381140977,648574.0,641274.88,M1510917523,0.0,0.0
547,PAYMENT,25843.16,C776550412,30354.0,4510.84,M1226534422,0.0,0.0
547,TRANSFER,115162.8,C255884229,4510.84,0.0,C1705027319,1293890.85,1409053.65
547,PAYMENT,617.3,C592315875,508.0,0.0,M1151389918,0.0,0.0
547,PAYMENT,7170.1,C1448701314,21335.0,14164.9,M1523301087,0.0,0.0
547,CASH_OUT,94391.98,C167370104,20776.0,0.0,C779666653,0.0,94391.98
547,CASH_OUT,159391.98,C1268632249,0.0,0.0,C638110099,814298.75,973690.73
547,CASH_OUT,51800.2,C1454742325,0.0,0.0,C298907552,125691.94,177492.13
547,CASH_OUT,122950.52,C1362091646,99445.0,0.0,C1393871141,0.0,122950.52
547,CASH_OUT,363935.6,C377150270,60756.0,0.0,C1364843031,0.0,363935.6
547,CASH_OUT,395905.54,C865538890,100096.0,0.0,C1338518580,76209.28,472114.82
547,CASH_OUT,39272.92,C1233209918,10822.0,0.0,C1839290254,184120.96,223393.88
547,PAYMENT,4401.87,C1718792542,0.0,0.0,M638662021,0.0,0.0
547,PAYMENT,294.12,C764899150,0.0,0.0,M1845756024,0.0,0.0
547,PAYMENT,24942.62,C487568551,0.0,0.0,M849151902,0.0,0.0
547,PAYMENT,1250.53,C619111324,0.0,0.0,M1789862072,0.0,0.0
547,PAYMENT,2222.88,C182782918,0.0,0.0,M1344163059,0.0,0.0
547,PAYMENT,22837.23,C1140305775,0.0,0.0,M1347353929,0.0,0.0
547,PAYMENT,13423.49,C1918330813,0.0,0.0,M1343014096,0.0,0.0
547,PAYMENT,31656.94,C788436329,0.0,0.0,M167608650,0.0,0.0
547,PAYMENT,16555.15,C1079932231,0.0,0.0,M1984041944,0.0,0.0
547,PAYMENT,9385.49,C751670692,0.0,0.0,M1231005350,0.0,0.0
547,PAYMENT,1609.17,C2048394887,0.0,0.0,M480380623,0.0,0.0
547,PAYMENT,10684.62,C1543688266,0.0,0.0,M1750874106,0.0,0.0
547,PAYMENT,16093.18,C1388984392,0.0,0.0,M1582487712,0.0,0.0
547,PAYMENT,4264.74,C337171360,0.0,0.0,M502449470,0.0,0.0
547,PAYMENT,5018.52,C519677616,0.0,0.0,M1453783575,0.0,0.0
547,CASH_OUT,230396.02,C74557104,30758.0,0.0,C1177653570,334798.16,565194.18
547,CASH_OUT,156341.59,C262228021,5046.0,0.0,C1560576902,237368.45,393710.04
547,TRANSFER,82764.07,C1547608919,82764.07,0.0,C165280484,0.0,0.0
547,CASH_OUT,82764.07,C1026137221,82764.07,0.0,C1774300494,99601.89,182365.96
547,CASH_IN,4652.7,C887421366,12312.0,16964.7,C2102672919,0.0,0.0
547,CASH_OUT,62980.33,C822210559,244235.0,181254.67,C396888875,813253.95,876234.28
547,TRANSFER,63030.67,C411879059,181254.67,118224.0,C875310852,1819160.66,1882191.34
547,TRANSFER,344634.43,C1764801715,118224.0,0.0,C460239673,2878693.32,3223327.75
547,CASH_OUT,51597.54,C2055917930,30463.0,0.0,C1017247794,0.0,51597.54
547,CASH_OUT,156065.47,C1145743315,119702.0,0.0,C264085163,48277.61,204343.08
547,CASH_OUT,156020.19,C982272407,165514.0,9493.81,C1026551020,0.0,156020.19
547,PAYMENT,17959.71,C1454751569,9493.81,0.0,M2048402796,0.0,0.0
547,PAYMENT,8307.02,C1803379139,0.0,0.0,M870669770,0.0,0.0
547,TRANSFER,277128.83,C1221665744,19705.0,0.0,C486231056,319841.97,596970.8
547,PAYMENT,1963.0,C1935236323,114914.0,112951.0,M1940539442,0.0,0.0
547,CASH_IN,25749.56,C1790460032,130.0,25879.56,C1421057921,35702.08,9952.52
547,CASH_OUT,7249.68,C733356452,484.0,0.0,C1059890087,493432.13,500681.8
547,PAYMENT,846.98,C305254005,0.0,0.0,M872148953,0.0,0.0
547,PAYMENT,9345.16,C468649318,9480.0,134.84,M21937342,0.0,0.0
547,CASH_IN,934.37,C487626884,28149.0,29083.37,C250437363,228637.64,227703.27
547,CASH_IN,193834.66,C1912158680,11170.0,205004.66,C928789645,1759460.86,1565626.2
547,CASH_OUT,151603.79,C308201140,205004.66,53400.87,C1573732938,705779.52,857383.31
547,CASH_OUT,31124.28,C1719739149,30936.0,0.0,C306363589,912685.2,943809.48
547,PAYMENT,6230.85,C2144093153,202152.0,195921.15,M1195610681,0.0,0.0
547,CASH_IN,172803.16,C600610563,473399.0,646202.16,C1380830441,0.0,0.0
547,PAYMENT,7214.7,C1278890300,2061.0,0.0,M1366609937,0.0,0.0
547,CASH_IN,43815.71,C184373852,8280.0,52095.71,C423578195,343728.04,299912.33
547,PAYMENT,3368.5,C1297000591,30392.0,27023.5,M1407431595,0.0,0.0
547,PAYMENT,10386.64,C618661278,6204.0,0.0,M1148181740,0.0,0.0
547,CASH_OUT,81077.78,C2094865982,705.0,0.0,C1249303631,119619.78,200697.56
547,TRANSFER,75449.85,C846038245,0.0,0.0,C1849662025,596189.39,671639.24
547,TRANSFER,193732.13,C377859011,0.0,0.0,C1433304664,1298263.48,1491995.62
547,TRANSFER,2170281.07,C750226755,0.0,0.0,C1753106347,5.562903095E7,5.779931202E7
547,TRANSFER,267131.93,C940526085,0.0,0.0,C418441420,569439.39,836571.32
547,TRANSFER,1458496.82,C1721482061,0.0,0.0,C735437993,2568925.22,4027422.04
547,TRANSFER,804870.12,C1576787950,0.0,0.0,C1486654134,2095082.83,2899952.95
547,TRANSFER,756453.68,C1303809159,0.0,0.0,C1570784354,1099028.87,1855482.55
547,TRANSFER,630990.15,C254523478,0.0,0.0,C1196501521,3601136.17,4232126.33
547,TRANSFER,799071.94,C886127405,0.0,0.0,C1426243180,1309322.06,2108394.0
547,TRANSFER,553200.32,C936810230,0.0,0.0,C796194296,801932.1,1355132.42
547,TRANSFER,963161.25,C1325266495,0.0,0.0,C1755469409,6494734.21,7457895.46
547,TRANSFER,17390.86,C482741950,0.0,0.0,C563244457,70092.3,87483.16
547,TRANSFER,12918.41,C561206872,0.0,0.0,C408536992,1.020203087E7,1.021494928E7
547,TRANSFER,677231.42,C579929510,0.0,0.0,C85857459,3692278.98,4369510.4
547,TRANSFER,367452.74,C66864069,0.0,0.0,C1693440276,779766.69,1147219.42
