step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
312,DEBIT,1791.67,C1513250988,10825.0,9033.33,C1980045347,1324658.43,1326450.1
312,CASH_IN,332941.78,C274202851,205006.0,537947.78,C1557258595,2155096.04,1822154.26
312,PAYMENT,3114.61,C1669695151,7590.0,4475.39,M1239833376,0.0,0.0
312,PAYMENT,12734.57,C1602992,20934.0,8199.43,M1343697480,0.0,0.0
312,PAYMENT,5166.16,C526939675,135484.0,130317.84,M1688994189,0.0,0.0
312,PAYMENT,10724.25,C668618077,123445.0,112720.75,M1320595100,0.0,0.0
312,PAYMENT,3153.91,C313709055,41382.0,38228.09,M370543181,0.0,0.0
312,PAYMENT,13122.87,C1674775927,115701.0,102578.13,M418029023,0.0,0.0
312,PAYMENT,3079.44,C483625492,429768.0,426688.56,M984723361,0.0,0.0
312,PAYMENT,13168.12,C1098032437,72339.0,59170.88,M221957281,0.0,0.0
312,PAYMENT,6005.9,C221865016,14453.0,8447.1,M977411737,0.0,0.0
312,CASH_OUT,303355.51,C1858949097,8447.1,0.0,C1582400462,3.60599489E7,3.636330441E7
312,TRANSFER,416599.76,C894028117,10608.0,0.0,C1666889374,956471.93,1373071.69
312,PAYMENT,23960.08,C1930916704,18277.0,0.0,M1502289229,0.0,0.0
312,PAYMENT,19655.35,C1572709266,51510.0,31854.65,M650500625,0.0,0.0
312,PAYMENT,1938.81,C1853960666,21410.0,19471.19,M1877026866,0.0,0.0
312,PAYMENT,731.18,C1601222511,108084.0,107352.82,M1475214274,0.0,0.0
312,PAYMENT,6305.26,C814026500,51961.0,45655.74,M1447231902,0.0,0.0
312,PAYMENT,18469.04,C206708726,19850.0,1380.96,M886687317,0.0,0.0
312,TRANSFER,295396.69,C750519013,205308.0,0.0,C285434675,0.0,295396.69
312,PAYMENT,9630.95,C1648212253,10780.0,1149.05,M2114758403,0.0,0.0
312,PAYMENT,1810.42,C77409785,10387.0,8576.58,M1224387749,0.0,0.0
312,PAYMENT,584.52,C1191186934,13330.0,12745.48,M1546617514,0.0,0.0
312,PAYMENT,18076.28,C825265715,21394.0,3317.72,M749900596,0.0,0.0
312,PAYMENT,1362.61,C1811593461,18024.0,16661.39,M1264602610,0.0,0.0
312,PAYMENT,8540.49,C2123633595,21116.0,12575.51,M1174869102,0.0,0.0
312,PAYMENT,31356.74,C2013540683,12575.51,0.0,M826469476,0.0,0.0
312,PAYMENT,20328.99,C1863657532,0.0,0.0,M298837460,0.0,0.0
312,PAYMENT,34941.7,C1209532623,0.0,0.0,M1847583844,0.0,0.0
312,PAYMENT,84713.26,C680359251,0.0,0.0,M1174586579,0.0,0.0
312,PAYMENT,22498.43,C1318369956,0.0,0.0,M1597590486,0.0,0.0
312,PAYMENT,45824.77,C484285071,0.0,0.0,M1277813147,0.0,0.0
312,PAYMENT,12456.54,C662905632,0.0,0.0,M854703101,0.0,0.0
312,PAYMENT,6693.48,C1107842766,0.0,0.0,M1101943341,0.0,0.0
312,PAYMENT,32066.75,C2131419931,0.0,0.0,M1083937108,0.0,0.0
312,PAYMENT,14820.69,C1084559791,0.0,0.0,M1940462764,0.0,0.0
312,PAYMENT,17963.06,C1536375801,0.0,0.0,M1201541358,0.0,0.0
312,PAYMENT,1118.71,C803101147,0.0,0.0,M346647792,0.0,0.0
312,PAYMENT,34078.27,C1445450095,0.0,0.0,M1636413989,0.0,0.0
312,PAYMENT,12169.61,C1011101518,0.0,0.0,M1674910426,0.0,0.0
312,PAYMENT,7663.45,C194052966,0.0,0.0,M665157803,0.0,0.0
312,PAYMENT,6627.73,C973530446,0.0,0.0,M1900952350,0.0,0.0
312,PAYMENT,12249.65,C1917295714,11630.0,0.0,M2045569625,0.0,0.0
312,PAYMENT,1153.72,C1951227071,55921.0,54767.28,M1952128995,0.0,0.0
312,PAYMENT,10682.47,C984693126,10886.0,203.53,M605135531,0.0,0.0
312,PAYMENT,7078.01,C975678002,53052.0,45973.99,M372186770,0.0,0.0
312,TRANSFER,116309.78,C635529432,495834.0,379524.22,C94522821,327273.82,443583.6
312,PAYMENT,4.37,C206340661,6058.0,6053.63,M196988852,0.0,0.0
312,PAYMENT,10809.43,C1695058911,39831.0,29021.57,M1258395662,0.0,0.0
312,PAYMENT,8511.1,C590669425,29021.57,20510.47,M1183927756,0.0,0.0
312,PAYMENT,12331.12,C1734762674,7686.0,0.0,M551572920,0.0,0.0
312,TRANSFER,778698.43,C610478267,0.0,0.0,C90165268,2399970.58,3178669.01
312,TRANSFER,1115443.41,C1750138582,0.0,0.0,C941810152,1811741.5,2927184.91
312,CASH_OUT,161068.39,C1021800606,20218.0,0.0,C1341429382,257976.69,419045.08
312,TRANSFER,427458.4,C503885615,47186.0,0.0,C2059771886,252974.36,680432.76
312,PAYMENT,18415.94,C588475045,26208.0,7792.06,M1289393759,0.0,0.0
312,DEBIT,1083.05,C1270770906,236.0,0.0,C920672254,472676.24,473759.29
312,PAYMENT,2297.58,C269800277,14668.0,12370.42,M678090160,0.0,0.0
312,PAYMENT,786.54,C807065228,12370.42,11583.88,M150648041,0.0,0.0
312,PAYMENT,247.03,C1052917976,9147.0,8899.97,M1081853413,0.0,0.0
312,CASH_IN,118857.44,C640927184,8899.97,127757.41,C428369873,513035.96,394178.53
312,CASH_IN,424340.89,C2075353091,127757.41,552098.3,C2212183,850981.83,426640.94
312,CASH_IN,124425.0,C1473985325,552098.3,676523.3,C775612396,2619873.97,2495448.97
312,CASH_IN,126374.71,C1234274526,676523.3,802898.02,C1503837525,209752.73,83378.01
312,CASH_IN,42932.57,C1899288953,802898.02,845830.58,C1945268666,2225265.95,2182333.38
312,CASH_IN,305700.69,C300354596,845830.58,1151531.27,C1545664017,9219889.78,8914189.1
312,CASH_IN,202152.96,C527126374,1151531.27,1353684.23,C414346328,3.424801182E7,3.404585886E7
312,CASH_IN,184153.99,C1517937453,1353684.23,1537838.22,C1236985989,440543.97,256389.98
312,CASH_IN,96861.86,C231806474,1537838.22,1634700.09,C1095348234,237564.51,140702.65
312,CASH_IN,82171.39,C620670392,1634700.09,1716871.48,C424543992,198579.69,116408.29
312,CASH_IN,257633.0,C1638647358,1716871.48,1974504.48,C1937789148,411663.6,154030.6
312,CASH_IN,55498.45,C1960714669,1974504.48,2030002.93,C840027268,6894203.49,6838705.04
312,CASH_IN,224689.57,C1908017274,2030002.93,2254692.5,C440118696,1408412.87,1183723.3
312,CASH_IN,132786.11,C553187480,2254692.5,2387478.61,C1049312121,2151377.27,2018591.16
312,CASH_IN,4710.86,C526205071,2387478.61,2392189.47,C2048661494,2942256.87,2937546.01
312,CASH_IN,117125.35,C436980096,2392189.47,2509314.82,C1818110901,132765.99,15640.63
312,CASH_IN,115356.97,C995355491,2509314.82,2624671.79,C195548589,1535348.4,1419991.43
312,CASH_IN,163659.37,C1544091817,2624671.79,2788331.16,C2049732070,1104683.78,941024.41
312,CASH_IN,17875.67,C690258591,2788331.16,2806206.83,C1286365142,552216.01,534340.34
312,CASH_IN,674999.06,C1831279090,2806206.83,3481205.89,C823318040,1222788.64,547789.58
312,CASH_IN,154407.31,C1225523142,3481205.89,3635613.2,C2010405132,1.067040283E7,1.051599552E7
312,CASH_IN,278560.67,C1381866494,3635613.2,3914173.87,C1188213627,861821.53,583260.86
312,CASH_IN,18065.81,C1608571728,3914173.87,3932239.67,C887890182,90112.56,72046.75
312,CASH_IN,100157.73,C182297047,3932239.67,4032397.4,C1877077680,2641293.85,2541136.11
312,CASH_IN,160247.76,C482253445,4032397.4,4192645.16,C509967268,1023082.46,862834.7
312,CASH_IN,259880.79,C578969735,4192645.16,4452525.95,C1084640918,822096.34,562215.55
312,CASH_IN,281053.03,C2069956060,4452525.95,4733578.97,C1102315831,3171078.86,2890025.84
312,CASH_IN,269217.77,C475385982,4733578.97,5002796.74,C1663805289,745179.85,475962.09
312,CASH_IN,25884.4,C1951861699,5002796.74,5028681.15,C62466058,57281.54,31397.14
312,CASH_IN,72408.01,C1172364182,5028681.15,5101089.16,C1196464873,839501.51,767093.5
312,CASH_IN,147698.21,C912029971,5101089.16,5248787.37,C1203056408,206968.27,59270.06
312,CASH_IN,34962.85,C70818182,5248787.37,5283750.21,C417653416,274576.62,239613.77
312,CASH_IN,325051.61,C1224573905,5283750.21,5608801.82,C2115525002,2.151331097E7,2.118825936E7
312,CASH_IN,25509.26,C193121587,5608801.82,5634311.09,C138917188,74106.6,48597.33
312,CASH_IN,238503.56,C1581492657,5634311.09,5872814.64,C1165026288,771259.72,532756.16
312,CASH_IN,54819.85,C511176534,5872814.64,5927634.49,C68854831,5575191.29,5520371.44
312,CASH_IN,588493.76,C984613954,5927634.49,6516128.25,C1957859900,1314506.15,726012.39
312,CASH_IN,244001.6,C667336050,6516128.25,6760129.85,C1506547054,2500013.71,2256012.11
312,CASH_IN,617556.22,C1678476826,6760129.85,7377686.08,C277549648,2371116.34,1753560.12
312,CASH_IN,118983.12,C1168627858,7377686.08,7496669.2,C1708985915,1068569.39,949586.26
312,CASH_IN,10272.47,C2140096112,7496669.2,7506941.67,C381746852,3022657.69,3012385.22
312,CASH_IN,161531.93,C1831881182,7506941.67,7668473.6,C1118545123,920209.17,758677.25
312,CASH_IN,186428.37,C1429420340,7668473.6,7854901.97,C1385563289,1887600.83,1701172.46
312,CASH_IN,9683.15,C782960712,7854901.97,7864585.12,C382717785,4001076.0,3991392.86
312,CASH_IN,156625.89,C722630443,7864585.12,8021211.01,C1340915400,181943.38,25317.48
312,CASH_IN,248577.22,C1141093678,8021211.01,8269788.23,C2136573490,1017169.82,768592.6
312,CASH_IN,105741.96,C146136579,8269788.23,8375530.2,C675732681,8359881.77,8254139.81
312,CASH_IN,267082.53,C2116714005,8375530.2,8642612.73,C1391143299,592303.36,325220.82
312,CASH_IN,135630.17,C1178203604,8642612.73,8778242.9,C1552996224,1181989.87,1046359.7
312,CASH_IN,61883.18,C533365496,8778242.9,8840126.08,C34663932,269990.39,208107.21
312,PAYMENT,24513.25,C958993092,111868.0,87354.75,M350099746,0.0,0.0
312,PAYMENT,10430.84,C490789176,7194.0,0.0,M1448494378,0.0,0.0
312,CASH_OUT,97108.22,C664326678,11040.0,0.0,C1762613140,0.0,97108.22
