step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
84,TRANSFER,8380.79,C392060027,8380.79,0.0,C45705350,0.0,0.0
84,CASH_OUT,8380.79,C342648059,8380.79,0.0,C825022387,0.0,8380.79
84,TRANSFER,2627070.5,C98299573,2627070.5,0.0,C323116662,0.0,0.0
84,CASH_OUT,2627070.5,C771703338,2627070.5,0.0,C1350764838,463083.63,3090154.12
84,TRANSFER,39379.45,C1110566935,39379.45,0.0,C1210547818,0.0,0.0
84,CASH_OUT,39379.45,C743472915,39379.45,0.0,C165832169,188532.97,227912.43
84,TRANSFER,296349.8,C1660861590,296349.8,0.0,C852926396,0.0,0.0
84,CASH_OUT,296349.8,C1518895613,296349.8,0.0,C315643365,0.0,296349.8
84,TRANSFER,152331.26,C397720555,152331.26,0.0,C1006668962,0.0,0.0
84,CASH_OUT,152331.26,C942925545,152331.26,0.0,C1633587807,676868.23,829199.49
84,TRANSFER,1.0E7,C792651637,1.483021915E7,4830219.15,C397396936,0.0,0.0
84,CASH_OUT,1.0E7,C824646662,1.0E7,0.0,C1917849910,0.0,1.0E7
84,TRANSFER,4830219.15,C58626602,4830219.15,0.0,C1366192319,0.0,0.0
84,CASH_OUT,4830219.15,C610088962,4830219.15,0.0,C1925322228,0.0,4830219.15
84,TRANSFER,351912.04,C2080405171,351912.04,0.0,C1544738688,0.0,0.0
84,CASH_OUT,351912.04,C1976472089,351912.04,0.0,C920627879,196753.09,548665.13
