step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
485,TRANSFER,3351304.78,C1844195426,3351304.78,0.0,C832338176,0.0,0.0
485,CASH_OUT,3351304.78,C1558861751,3351304.78,0.0,C939990653,299999.02,3651303.79
485,TRANSFER,277485.25,C1505030258,277485.25,0.0,C275418011,0.0,0.0
485,CASH_OUT,277485.25,C1606328682,277485.25,0.0,C435666818,0.0,277485.25
485,TRANSFER,53107.96,C1398662623,53107.96,0.0,C840864986,0.0,0.0
485,CASH_OUT,53107.96,C1568950252,53107.96,0.0,C370224798,9062662.62,9115770.58
485,TRANSFER,2755588.11,C600644430,2755588.11,0.0,C1183535106,0.0,0.0
485,CASH_OUT,2755588.11,C164780972,2755588.11,0.0,C380842084,2758109.87,5513697.98
485,TRANSFER,1425802.24,C899490900,1425802.24,0.0,C1200745570,0.0,0.0
485,CASH_OUT,1425802.24,C1247391276,1425802.24,0.0,C2010547624,3978784.16,5404586.4
485,TRANSFER,471906.6,C17156930,471906.6,0.0,C1931513332,0.0,0.0
485,CASH_OUT,471906.6,C437383157,471906.6,0.0,C943161690,5930.71,477837.3
