step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
595,CASH_IN,176919.67,C10914191,196216.0,373135.67,C1330477291,260878.67,83959.0
595,CASH_OUT,148122.55,C1025751731,21593.0,0.0,C1793214261,163734.14,311856.7
595,CASH_OUT,78456.42,C91269034,10999.0,0.0,C1965723517,62796.23,141252.66
595,PAYMENT,8100.21,C720891573,0.0,0.0,M514453653,0.0,0.0
595,PAYMENT,7488.19,C1056913361,0.0,0.0,M1051888211,0.0,0.0
595,PAYMENT,8855.72,C732252534,496.0,0.0,M2052663759,0.0,0.0
595,TRANSFER,366790.11,C1038080234,7958.0,0.0,C771213975,756085.25,1122875.37
595,PAYMENT,7715.74,C395656464,0.0,0.0,M385493101,0.0,0.0
595,CASH_OUT,121960.61,C626949164,108485.0,0.0,C324762228,0.0,121960.61
595,CASH_OUT,42479.64,C1711663333,0.0,0.0,C350432050,307690.04,350169.68
595,PAYMENT,13903.67,C1489380488,82001.0,68097.33,M523814589,0.0,0.0
595,PAYMENT,13980.91,C1230075498,11614.0,0.0,M5963109,0.0,0.0
595,PAYMENT,5510.96,C1766947714,532.0,0.0,M805651771,0.0,0.0
595,CASH_OUT,301155.12,C1915066231,106.0,0.0,C2000174782,29169.03,330324.16
595,CASH_IN,35799.58,C625212803,4698.0,40497.58,C1368133536,1435253.47,1399453.89
595,PAYMENT,7460.11,C1202458562,21536.0,14075.89,M1562027665,0.0,0.0
595,PAYMENT,1698.77,C64625770,14075.89,12377.13,M969889399,0.0,0.0
595,CASH_OUT,176979.22,C515542163,12760.0,0.0,C582202465,5777348.91,5954328.13
595,TRANSFER,576380.91,C370970619,0.0,0.0,C2082101183,950197.5,1125221.91
595,TRANSFER,136893.36,C1173809182,0.0,0.0,C1329679942,472684.42,609577.78
595,TRANSFER,239695.05,C105476665,0.0,0.0,C2088223841,4519554.41,4759249.46
595,TRANSFER,433633.81,C1281206391,0.0,0.0,C1316338514,723218.6,1156852.4
595,TRANSFER,128421.97,C1045206352,0.0,0.0,C1268568248,3629742.91,3758164.88
595,TRANSFER,87472.7,C1275608223,0.0,0.0,C1352470005,209685.94,297158.65
595,TRANSFER,164052.63,C18696093,0.0,0.0,C1135246147,267233.14,431285.77
595,TRANSFER,372278.07,C547506649,0.0,0.0,C1185258812,2433575.37,2805853.44
595,TRANSFER,1343495.72,C2048831112,0.0,0.0,C1156645808,1522495.79,2865991.51
595,TRANSFER,487255.67,C2004851088,0.0,0.0,C2017068984,6014902.06,6502157.73
595,TRANSFER,296363.38,C481630541,0.0,0.0,C2016228504,695427.11,991790.48
595,CASH_OUT,136162.48,C787179395,1022.0,0.0,C200461692,0.0,136162.48
595,CASH_IN,338672.36,C563013176,10097.0,348769.36,C1433764105,72255.8,0.0
595,CASH_OUT,169848.63,C716589184,348769.36,178920.72,C1157330190,1722710.56,1892559.19
595,CASH_OUT,163104.47,C519918570,178920.72,15816.25,C2123742401,3566981.53,3730086.01
595,CASH_OUT,105841.4,C1801447625,30952.0,0.0,C635248877,399193.98,505035.37
595,PAYMENT,6763.11,C1035365564,0.0,0.0,M626835906,0.0,0.0
595,CASH_OUT,69606.08,C1363850368,5002.0,0.0,C1466927410,0.0,69606.08
595,CASH_IN,41563.81,C1162287040,115605.0,157168.81,C1127427255,7919382.23,7877818.42
595,CASH_OUT,248425.95,C1268404312,31439.0,0.0,C539599537,2692943.09,2941369.04
595,CASH_IN,134123.32,C143379000,5332.0,139455.32,C403316073,290953.77,156830.46
595,CASH_OUT,212584.46,C216105245,140615.0,0.0,C992379559,164286.69,376871.15
595,CASH_IN,231870.46,C1910861398,144432.0,376302.46,C138055414,0.0,0.0
595,CASH_OUT,81730.77,C1759836322,376302.46,294571.69,C1836075419,369432.42,451163.2
595,CASH_IN,1546.17,C1055405452,61442.0,62988.17,C336286695,9357.36,7811.2
595,CASH_OUT,114239.99,C1040298533,10847.0,0.0,C918097927,0.0,114239.99
595,CASH_IN,151830.1,C1682766957,10538.0,162368.1,C1074673345,0.0,0.0
595,CASH_OUT,252179.57,C732047790,20009.0,0.0,C1581408867,2522759.13,2774938.71
595,PAYMENT,2802.16,C1419328771,0.0,0.0,M1731869999,0.0,0.0
595,PAYMENT,1311.24,C1679166001,3504.0,2192.76,M1589878852,0.0,0.0
595,PAYMENT,5733.6,C1127215034,20870.0,15136.4,M1967813045,0.0,0.0
595,PAYMENT,23011.91,C559524527,5572.0,0.0,M1650196288,0.0,0.0
595,CASH_IN,231174.58,C1580572302,21911.0,253085.58,C420721730,3444785.57,3213610.99
595,CASH_IN,31914.94,C2018806564,6049.0,37963.94,C2008193487,1419593.66,1387678.72
595,TRANSFER,1020386.53,C338971219,51803.0,0.0,C854507328,90910.23,1111296.76
595,TRANSFER,249048.92,C690488938,195965.0,0.0,C1998488598,1606259.14,1855308.06
595,CASH_OUT,286.96,C1528507439,72349.0,72062.04,C441109151,2164226.84,2164513.8
595,CASH_OUT,31524.62,C122327491,34409.0,2884.38,C530966789,15083.98,46608.6
