step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
564,CASH_OUT,384589.15,C407307415,12490.0,0.0,C376843347,27498.98,412088.13
564,PAYMENT,6829.86,C689538123,20951.0,14121.14,M1882503652,0.0,0.0
564,CASH_OUT,151571.52,C309167437,14121.14,0.0,C7310079,8972034.44,9123605.96
564,CASH_OUT,126487.71,C850286635,0.0,0.0,C889302537,1935222.74,2061710.45
564,CASH_OUT,98861.67,C1475389929,0.0,0.0,C160841062,5990455.95,6089317.61
564,CASH_OUT,127691.34,C48157034,0.0,0.0,C1396297158,5616028.27,5743719.6
564,CASH_OUT,179400.08,C2095545233,0.0,0.0,C2139776233,1829160.68,2008560.76
564,CASH_OUT,263081.84,C1011358502,0.0,0.0,C1445220284,1.191567654E7,1.217875838E7
564,CASH_OUT,203170.13,C1856328359,0.0,0.0,C1077719044,1875291.13,2078461.27
564,CASH_OUT,90597.39,C436509592,0.0,0.0,C1307673399,132104.22,222701.62
564,CASH_OUT,93053.56,C1568166074,0.0,0.0,C178938502,99415.39,192468.96
564,CASH_OUT,27852.27,C555082008,0.0,0.0,C797258113,3549930.43,3577782.7
564,CASH_OUT,252069.86,C1709289463,0.0,0.0,C80537212,1420591.37,1672661.23
564,CASH_OUT,110612.64,C1527193736,0.0,0.0,C254190865,569285.99,679898.64
564,CASH_OUT,134375.08,C1147492050,0.0,0.0,C1192829636,643234.7,777609.78
564,CASH_OUT,5743.68,C1249276519,0.0,0.0,C1928729284,13112.36,18856.04
564,CASH_OUT,94580.9,C578872009,0.0,0.0,C837919413,200253.66,294834.55
564,CASH_OUT,498789.23,C1088525681,0.0,0.0,C1791681406,4927561.46,5426350.69
564,CASH_OUT,225097.62,C786208889,0.0,0.0,C710917456,6499415.29,6724512.9
564,CASH_OUT,53301.06,C1463825039,0.0,0.0,C1359107494,98006.86,151307.92
564,CASH_OUT,75784.73,C1920140292,0.0,0.0,C22493531,1497802.96,1573587.68
564,CASH_OUT,31310.99,C1056263462,0.0,0.0,C76702473,1651110.84,1682421.83
564,CASH_OUT,207735.14,C1948255697,0.0,0.0,C796298418,2055022.97,2262758.11
564,CASH_OUT,70353.14,C581076368,0.0,0.0,C1892177974,444806.96,515160.1
564,CASH_OUT,33190.59,C1218176740,0.0,0.0,C1175404653,132554.47,165745.06
564,CASH_OUT,98626.39,C1553145516,0.0,0.0,C897718620,494256.47,592882.86
564,CASH_OUT,81348.76,C678008418,0.0,0.0,C1683050370,811731.13,893079.89
564,CASH_OUT,79247.6,C508627194,0.0,0.0,C268300829,219636.61,298884.21
564,CASH_OUT,48233.76,C166355218,0.0,0.0,C433383599,584080.47,632314.23
564,CASH_OUT,679587.36,C1296595197,0.0,0.0,C1908012314,1083212.95,1762800.31
564,CASH_OUT,337969.74,C695614896,0.0,0.0,C876142743,6739081.93,7077051.67
564,CASH_OUT,8548.12,C1073149628,0.0,0.0,C1886709011,3342955.44,3351503.56
564,CASH_OUT,225563.79,C1699672737,0.0,0.0,C1277618604,227875.48,453439.27
564,CASH_OUT,227658.59,C1800401253,0.0,0.0,C2112536268,1382909.52,1610568.11
564,CASH_OUT,12470.41,C1934416385,0.0,0.0,C43229842,244299.89,256770.29
564,CASH_OUT,133089.82,C2064093634,0.0,0.0,C353030286,1.784366566E7,1.797675548E7
564,CASH_OUT,5210.44,C1766764537,0.0,0.0,C1701164770,2305508.21,2310718.65
564,CASH_OUT,284815.08,C2107555692,0.0,0.0,C274359091,1988436.39,2273251.47
564,CASH_OUT,182783.9,C1754791436,0.0,0.0,C624303465,518214.28,700998.18
564,CASH_OUT,182153.24,C802810717,0.0,0.0,C1431082978,657392.32,839545.56
564,CASH_OUT,24991.99,C871675960,0.0,0.0,C951020302,1.21423618E7,1.21673538E7
564,CASH_OUT,22794.37,C991495413,0.0,0.0,C1297145037,1431606.82,1454401.18
564,CASH_OUT,17538.88,C1814686212,0.0,0.0,C1983720443,404532.76,422071.63
564,CASH_OUT,150131.89,C206206943,0.0,0.0,C2052033852,8279974.26,8430106.15
564,PAYMENT,10672.11,C451492630,15390.0,4717.89,M1772403218,0.0,0.0
564,PAYMENT,9248.62,C1249776872,175777.0,166528.38,M366307063,0.0,0.0
564,CASH_IN,13557.24,C1178066640,81931.0,95488.24,C1167842462,0.0,0.0
564,CASH_OUT,138706.03,C177182766,147791.0,9084.97,C372414830,26374.26,165080.29
564,CASH_OUT,247538.96,C820778179,168396.0,0.0,C1886400593,430769.27,678308.24
564,PAYMENT,22750.2,C246431479,0.0,0.0,M1980342447,0.0,0.0
564,CASH_IN,108394.21,C3213480,21287.0,129681.21,C881276205,3022964.13,2914569.92
564,PAYMENT,5842.93,C1353404001,129681.21,123838.28,M1600361733,0.0,0.0
564,PAYMENT,5841.11,C1683245726,123838.28,117997.16,M1822980852,0.0,0.0
564,PAYMENT,27365.17,C1727723846,117997.16,90631.99,M628261665,0.0,0.0
564,PAYMENT,22144.23,C1672756651,90631.99,68487.75,M1281656051,0.0,0.0
564,PAYMENT,9116.52,C2112189680,68487.75,59371.23,M1279232998,0.0,0.0
564,PAYMENT,6595.51,C237289135,59371.23,52775.72,M1712316548,0.0,0.0
564,PAYMENT,7019.73,C815487553,52775.72,45755.99,M4953871,0.0,0.0
564,PAYMENT,15502.65,C733053039,45755.99,30253.34,M849563229,0.0,0.0
564,PAYMENT,5800.58,C1484804890,30253.34,24452.76,M70206698,0.0,0.0
564,PAYMENT,14102.88,C591007480,24452.76,10349.89,M197356900,0.0,0.0
564,PAYMENT,4969.02,C1367467909,10349.89,5380.87,M804774219,0.0,0.0
564,PAYMENT,17335.5,C1556707203,5380.87,0.0,M1290897715,0.0,0.0
564,CASH_OUT,261161.7,C311620327,380691.0,119529.3,C562758137,447810.9,708972.6
564,PAYMENT,79.09,C41919559,30148.0,30068.91,M362655460,0.0,0.0
