step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
416,PAYMENT,3781.95,C1485398681,11992.0,8210.05,M1394224908,0.0,0.0
416,DEBIT,5542.5,C2117838845,123.0,0.0,C791408044,1041106.53,1046649.02
416,TRANSFER,266451.21,C1607079609,0.0,0.0,C50792332,381491.83,647943.04
416,CASH_OUT,362017.0,C1279539827,699058.0,337041.0,C2043701506,0.0,362017.0
416,PAYMENT,66939.51,C1310985912,337041.0,270101.49,M1837325518,0.0,0.0
416,CASH_OUT,241044.99,C1651765273,8777.0,0.0,C1318100375,526636.53,767681.52
416,CASH_OUT,40078.31,C252303750,0.0,0.0,C1547117688,225022.86,265101.17
416,TRANSFER,170567.29,C1639335697,30286.0,0.0,C423340134,0.0,170567.29
416,CASH_OUT,305110.73,C379851461,49.0,0.0,C669853327,7797.18,312907.9
416,CASH_OUT,325075.55,C1797966640,0.0,0.0,C908786355,2516670.93,2841746.48
416,DEBIT,697.79,C716110394,29754.0,29056.21,C1895525133,1139191.2,1139888.99
416,CASH_IN,195536.25,C2037624497,1080.0,196616.25,C1983383868,112048.75,0.0
416,PAYMENT,64195.92,C1341634912,196616.25,132420.32,M1916373221,0.0,0.0
416,CASH_IN,173676.93,C798737330,19889.0,193565.93,C719979069,28609.55,0.0
416,PAYMENT,4065.83,C1274668758,48061.0,43995.17,M959933040,0.0,0.0
416,PAYMENT,453.85,C125281043,74469.0,74015.15,M1979737628,0.0,0.0
416,PAYMENT,1590.03,C1917579612,52077.0,50486.97,M1882022287,0.0,0.0
416,PAYMENT,35917.64,C1249389474,50486.97,14569.34,M1060996215,0.0,0.0
416,PAYMENT,15944.5,C307315677,14569.34,0.0,M166426881,0.0,0.0
416,PAYMENT,36517.98,C46495397,0.0,0.0,M1367884982,0.0,0.0
416,PAYMENT,21572.11,C1231010545,0.0,0.0,M464445866,0.0,0.0
416,PAYMENT,4727.23,C846715940,0.0,0.0,M558465832,0.0,0.0
416,PAYMENT,1644.17,C360000962,0.0,0.0,M2033859959,0.0,0.0
416,PAYMENT,3101.77,C1965049992,0.0,0.0,M412997063,0.0,0.0
416,PAYMENT,33345.25,C607838251,0.0,0.0,M214151262,0.0,0.0
416,PAYMENT,6256.41,C2077285702,0.0,0.0,M227871766,0.0,0.0
416,PAYMENT,10220.5,C2120060471,0.0,0.0,M1863160034,0.0,0.0
416,PAYMENT,26936.08,C315251368,0.0,0.0,M932843867,0.0,0.0
416,PAYMENT,3937.53,C631512489,0.0,0.0,M648872831,0.0,0.0
416,PAYMENT,3957.81,C1727136280,0.0,0.0,M25548628,0.0,0.0
416,PAYMENT,235.76,C71945112,0.0,0.0,M1253152405,0.0,0.0
416,PAYMENT,2561.91,C1017491225,0.0,0.0,M330686638,0.0,0.0
416,PAYMENT,13705.67,C1500183627,0.0,0.0,M522837197,0.0,0.0
416,PAYMENT,10524.12,C249918806,0.0,0.0,M854148276,0.0,0.0
416,PAYMENT,5208.72,C1022324230,0.0,0.0,M1844511458,0.0,0.0
416,PAYMENT,6296.2,C1209763279,0.0,0.0,M816821404,0.0,0.0
416,PAYMENT,19835.74,C2012701649,0.0,0.0,M318020063,0.0,0.0
416,PAYMENT,7597.46,C114639795,84910.0,77312.54,M1259539617,0.0,0.0
416,CASH_OUT,125855.82,C120981497,360.0,0.0,C1813698585,0.0,125855.82
416,PAYMENT,53334.45,C825904289,0.0,0.0,M501107182,0.0,0.0
416,PAYMENT,2362.74,C1316694256,0.0,0.0,M2034624265,0.0,0.0
416,PAYMENT,4452.97,C444199876,199718.0,195265.03,M1971804252,0.0,0.0
416,CASH_OUT,319803.49,C1647100596,30716.0,0.0,C1755326136,8382869.29,8702672.78
416,PAYMENT,2780.99,C872877143,1295.0,0.0,M1630875328,0.0,0.0
416,PAYMENT,2890.01,C775937794,203.0,0.0,M713195795,0.0,0.0
416,PAYMENT,6591.22,C644564384,65591.0,58999.78,M1860185219,0.0,0.0
416,CASH_IN,156793.07,C1056389522,10376.0,167169.07,C1021251242,586700.82,429907.75
416,PAYMENT,1276.44,C12823878,26881.0,25604.56,M2096742075,0.0,0.0
416,CASH_OUT,668086.18,C328339859,25604.56,0.0,C781501278,759500.38,1427586.56
416,PAYMENT,3435.14,C338592218,134539.0,131103.86,M152741764,0.0,0.0
416,CASH_OUT,69693.9,C942132346,131103.86,61409.95,C1493979543,3426089.35,3495783.25
416,CASH_OUT,314459.94,C1002069092,61409.95,0.0,C1899231655,651041.5,965501.44
416,CASH_OUT,70771.71,C1534737048,0.0,0.0,C1906220260,169253.91,240025.62
416,CASH_OUT,98131.12,C125866228,0.0,0.0,C216869358,3496966.9,3595098.02
416,CASH_OUT,276488.96,C29546594,0.0,0.0,C1937255783,513454.39,789943.35
416,CASH_OUT,366023.54,C1760750914,0.0,0.0,C398585237,906238.97,1272262.52
416,CASH_OUT,87744.62,C1658233918,0.0,0.0,C1112821604,3597781.82,3685526.44
416,CASH_OUT,60931.98,C1632804768,0.0,0.0,C593042511,3743154.95,3804086.94
416,CASH_OUT,108852.93,C1992575520,0.0,0.0,C1606058237,1237263.71,1346116.65
416,CASH_OUT,31357.03,C153297223,0.0,0.0,C123317328,38377.61,69734.64
416,CASH_OUT,58164.68,C1577288457,0.0,0.0,C2032318211,327576.47,385741.15
416,CASH_OUT,314980.42,C735684854,0.0,0.0,C1349306727,650791.31,965771.74
416,CASH_OUT,23001.06,C2132304615,0.0,0.0,C1973384295,652894.69,675895.74
416,CASH_OUT,105504.87,C1864453466,0.0,0.0,C383786842,1817508.37,1923013.24
416,CASH_OUT,97869.07,C771260540,0.0,0.0,C1668676907,164988.71,262857.77
416,CASH_OUT,243292.07,C1258292013,0.0,0.0,C1579712896,1967622.43,2210914.5
416,PAYMENT,962.45,C1999855600,19149.0,18186.55,M312313809,0.0,0.0
416,CASH_OUT,128107.04,C2072972958,8506.0,0.0,C1664330755,7884764.5,8012871.54
416,PAYMENT,12547.2,C819819433,21862.0,9314.8,M1576822429,0.0,0.0
416,CASH_IN,30501.13,C589419004,50233.0,80734.13,C1601505473,65257.02,34755.89
416,PAYMENT,262.1,C551141624,5407.0,5144.9,M2067967857,0.0,0.0
416,PAYMENT,45210.53,C1169483274,5144.9,0.0,M1756852593,0.0,0.0
416,TRANSFER,339000.57,C101167775,73228.0,0.0,C863713473,782792.23,1121792.79
416,PAYMENT,4978.27,C1750121481,20348.0,15369.73,M171348927,0.0,0.0
416,DEBIT,3520.05,C1499027313,998.0,0.0,C1599506999,47816.16,51336.22
416,CASH_IN,229599.76,C1651606927,3169.0,232768.76,C1460474289,936047.1,706447.34
416,TRANSFER,63576.8,C262987068,7689.0,0.0,C1151768218,290615.52,354192.32
416,PAYMENT,8934.51,C834210845,1555.0,0.0,M583546756,0.0,0.0
416,PAYMENT,7184.22,C1291551663,21835.0,14650.78,M626516529,0.0,0.0
416,PAYMENT,34313.98,C1551358818,14650.78,0.0,M1071686527,0.0,0.0
416,PAYMENT,178.61,C790018519,7098.0,6919.39,M902467694,0.0,0.0
416,CASH_OUT,104813.75,C1459937662,6919.39,0.0,C1527691368,5035402.16,5140215.91
416,CASH_IN,103887.4,C1841650618,70647.0,174534.4,C773502363,0.0,0.0
416,CASH_OUT,154593.34,C2005376980,10817.0,0.0,C896191877,1124107.4,1278700.74
416,PAYMENT,2816.18,C372193450,56022.0,53205.82,M1724920832,0.0,0.0
416,CASH_OUT,236796.22,C554675179,53205.82,0.0,C189858515,1840716.67,2077512.89
416,CASH_OUT,75033.97,C1782446369,574.0,0.0,C1630132062,131082.32,206116.29
416,PAYMENT,3620.93,C87582372,0.0,0.0,M1655644727,0.0,0.0
416,CASH_OUT,121986.1,C1042521466,38167.0,0.0,C993874628,1465158.1,1587144.21
416,PAYMENT,12005.08,C1003659118,30251.0,18245.92,M2098844662,0.0,0.0
416,CASH_IN,27532.81,C1715267832,5012.0,32544.81,C241537248,1328694.14,1301161.33
416,PAYMENT,13654.71,C1154900232,96256.0,82601.29,M1800449811,0.0,0.0
416,PAYMENT,16639.31,C1491425260,985.0,0.0,M1495211808,0.0,0.0
416,PAYMENT,6142.45,C775351082,4545.0,0.0,M1081139656,0.0,0.0
416,PAYMENT,26689.12,C853054493,0.0,0.0,M329214841,0.0,0.0
