step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
407,PAYMENT,2449.31,C520344276,107795.0,105345.69,M2085903355,0.0,0.0
407,PAYMENT,19736.95,C1595023605,179.0,0.0,M1408261442,0.0,0.0
407,CASH_OUT,6550.36,C1390719130,35667.0,29116.64,C752987296,0.0,6550.36
407,PAYMENT,5224.18,C212968126,51712.0,46487.82,M1122647637,0.0,0.0
407,PAYMENT,15529.16,C320954631,786.0,0.0,M1689678745,0.0,0.0
407,PAYMENT,2254.31,C1704167907,11412.0,9157.69,M1989680018,0.0,0.0
407,PAYMENT,21048.71,C1848210719,40078.0,19029.29,M970254840,0.0,0.0
407,CASH_OUT,148269.28,C1081193392,34443.0,0.0,C1630725132,0.0,148269.28
407,PAYMENT,2671.06,C1979933863,30176.0,27504.94,M1403483893,0.0,0.0
407,PAYMENT,13198.08,C1294130768,29850.0,16651.92,M8591479,0.0,0.0
407,TRANSFER,18648.56,C1833464476,141214.0,122565.44,C805767032,50428.33,69076.89
407,PAYMENT,10225.26,C95465758,784.0,0.0,M1589325734,0.0,0.0
407,PAYMENT,19457.92,C1180943526,21237.0,1779.08,M1754370660,0.0,0.0
407,PAYMENT,7232.95,C1755969065,54328.0,47095.05,M1877488261,0.0,0.0
407,CASH_OUT,57283.84,C930516266,13790.0,0.0,C1243491398,65725.51,123009.34
407,PAYMENT,7465.43,C1393568530,462.0,0.0,M1957664743,0.0,0.0
407,CASH_OUT,169715.64,C1526595565,0.0,0.0,C823117986,1377824.73,1547540.37
407,PAYMENT,11327.08,C1507931717,29355.0,18027.92,M201051856,0.0,0.0
407,PAYMENT,30517.94,C65237223,18027.92,0.0,M911533537,0.0,0.0
407,PAYMENT,10784.76,C1717026416,45078.0,34293.24,M856645924,0.0,0.0
407,PAYMENT,1733.81,C728976362,307696.0,305962.19,M974772360,0.0,0.0
407,PAYMENT,256.23,C1642481029,15163.0,14906.77,M698879708,0.0,0.0
407,DEBIT,1776.71,C406141976,29291.0,27514.29,C1498436133,248163.48,249940.19
407,PAYMENT,9296.9,C1813801486,20411.0,11114.1,M1065730149,0.0,0.0
407,CASH_IN,53050.77,C1446180775,3834.0,56884.77,C125579955,1091595.81,1038545.04
407,PAYMENT,21689.55,C1742132357,30722.0,9032.45,M1746243179,0.0,0.0
407,PAYMENT,3929.19,C2038627812,11572.0,7642.81,M952935100,0.0,0.0
407,PAYMENT,18982.74,C1768893404,156.0,0.0,M760055372,0.0,0.0
407,CASH_OUT,186570.28,C1137583068,0.0,0.0,C1146343488,679139.71,865709.99
407,CASH_OUT,200880.6,C508211291,0.0,0.0,C1592429633,242087.23,442967.83
407,PAYMENT,6174.39,C250300805,100472.0,94297.61,M1331020274,0.0,0.0
407,PAYMENT,38762.62,C2109201159,94297.61,55535.0,M909407362,0.0,0.0
407,PAYMENT,9865.73,C1648866464,32020.0,22154.27,M66888523,0.0,0.0
407,PAYMENT,19761.34,C1078996944,21428.0,1666.66,M1431683900,0.0,0.0
407,CASH_IN,471980.7,C174628738,215.0,472195.7,C639106866,330479.55,0.0
407,CASH_OUT,44880.54,C1818792831,1800.0,0.0,C1121272674,1580532.75,1625413.28
407,CASH_OUT,395939.59,C755441549,0.0,0.0,C1628204934,1458396.93,1854336.52
407,CASH_OUT,333256.65,C1454404914,0.0,0.0,C1311920454,540005.24,873261.89
407,PAYMENT,10749.24,C418018537,30313.0,19563.76,M808579040,0.0,0.0
407,CASH_OUT,106696.63,C635397404,107833.0,1136.37,C7074894,3839065.45,3945762.08
407,TRANSFER,124703.26,C1888722288,810511.0,685807.74,C1547824339,7068706.72,7193409.97
407,PAYMENT,3745.72,C999678647,10310.0,6564.28,M73680074,0.0,0.0
407,PAYMENT,14557.32,C1515005663,79947.0,65389.68,M920209659,0.0,0.0
407,PAYMENT,6024.58,C583894221,1147.0,0.0,M69850698,0.0,0.0
407,PAYMENT,11442.55,C929129422,151148.0,139705.45,M1266907977,0.0,0.0
407,PAYMENT,16014.98,C86402328,21400.0,5385.02,M1333225584,0.0,0.0
407,DEBIT,8663.79,C1941179715,1096.0,0.0,C153066975,3874130.85,3882794.64
407,PAYMENT,14424.55,C591231311,187313.0,172888.45,M361092757,0.0,0.0
407,PAYMENT,2359.72,C1631918269,20920.0,18560.28,M852025283,0.0,0.0
407,CASH_OUT,124210.44,C2063019988,138140.0,13929.56,C949294720,0.0,124210.44
407,PAYMENT,24084.88,C1098743649,13929.56,0.0,M146016003,0.0,0.0
407,PAYMENT,19220.4,C2096559889,52855.0,33634.6,M1060962004,0.0,0.0
407,CASH_OUT,20465.43,C353372197,822177.0,801711.57,C652026877,16701.16,37166.59
407,PAYMENT,4716.38,C1026853275,7808.0,3091.62,M1991360339,0.0,0.0
407,PAYMENT,12222.42,C782447887,80866.0,68643.58,M1005011422,0.0,0.0
407,PAYMENT,13593.0,C570847080,53446.0,39853.0,M1496717148,0.0,0.0
407,TRANSFER,162237.81,C1846168120,2794.0,0.0,C1949253949,0.0,162237.81
407,PAYMENT,17290.91,C1877086102,83886.0,66595.09,M2114863149,0.0,0.0
407,PAYMENT,4327.47,C401290311,108.0,0.0,M722265864,0.0,0.0
407,TRANSFER,11584.53,C1416483648,384349.0,372764.47,C1984413632,294954.39,306538.92
407,PAYMENT,3639.81,C1483669192,61169.0,57529.19,M376025230,0.0,0.0
407,PAYMENT,10692.43,C1519460844,541.0,0.0,M1616649773,0.0,0.0
407,PAYMENT,3209.84,C1340810320,4000.0,790.16,M341643491,0.0,0.0
407,PAYMENT,3608.67,C1200676293,36850.0,33241.33,M1195187820,0.0,0.0
407,DEBIT,6593.52,C1365404543,241457.0,234863.48,C1368943311,3549931.45,3556524.97
407,PAYMENT,218.65,C767865784,9688.0,9469.35,M1828404528,0.0,0.0
407,CASH_IN,177395.83,C1125810365,1068.0,178463.83,C718254376,1800857.74,1623461.91
407,PAYMENT,2841.82,C23142962,178463.83,175622.01,M154142933,0.0,0.0
407,DEBIT,5070.42,C1016571518,10484.0,5413.58,C993237634,137435.87,142506.3
407,PAYMENT,10096.43,C723502649,22410.0,12313.57,M593953242,0.0,0.0
407,PAYMENT,3297.16,C714658755,60212.0,56914.84,M725431480,0.0,0.0
407,PAYMENT,12743.95,C2126905832,13473.0,729.05,M1706341947,0.0,0.0
407,CASH_OUT,131902.39,C165574533,21979.0,0.0,C2031344452,827481.54,959383.94
407,PAYMENT,10132.82,C1258560242,93107.0,82974.18,M92511035,0.0,0.0
407,PAYMENT,48138.59,C1162277086,82974.18,34835.59,M1071568300,0.0,0.0
407,PAYMENT,4810.53,C1416006447,325896.0,321085.47,M1294309595,0.0,0.0
407,PAYMENT,3768.75,C1058492833,321085.47,317316.72,M1991082074,0.0,0.0
407,TRANSFER,193142.9,C384975443,14175.0,0.0,C121774589,5273114.35,5466257.25
407,PAYMENT,18587.55,C2003886870,80579.0,61991.45,M1928277504,0.0,0.0
407,CASH_OUT,136290.25,C1750785879,61991.45,0.0,C45557272,2159020.52,2295310.77
407,CASH_OUT,127783.32,C1816062165,0.0,0.0,C1101639196,221879.97,349663.29
407,CASH_OUT,167082.11,C480693783,0.0,0.0,C1796277088,407767.1,574849.21
407,CASH_OUT,83699.14,C389184685,0.0,0.0,C47737619,97587.33,181286.48
407,CASH_OUT,60285.18,C690796923,0.0,0.0,C1437682155,1238195.17,1298480.35
407,CASH_OUT,246402.74,C844076235,0.0,0.0,C1751899624,2379316.12,2625718.86
407,CASH_OUT,82314.02,C414393059,0.0,0.0,C1362627602,453196.56,535510.59
