step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
400,TRANSFER,1151981.33,C1169964637,19961.0,0.0,C1888940727,401552.02,1553533.36
400,PAYMENT,12317.27,C1821536306,114969.0,102651.73,M182779127,0.0,0.0
400,TRANSFER,1305558.68,C675360422,102651.73,0.0,C1881971243,4178031.32,5483589.99
400,CASH_OUT,88950.1,C204190501,30280.0,0.0,C1377615799,0.0,88950.1
400,PAYMENT,15936.07,C1934049650,1904.0,0.0,M1583941801,0.0,0.0
400,PAYMENT,13463.43,C2138843612,10592.0,0.0,M782176141,0.0,0.0
400,PAYMENT,1760.58,C1738184701,19173.0,17412.42,M1906374631,0.0,0.0
400,PAYMENT,22777.52,C1863058118,17412.42,0.0,M960076749,0.0,0.0
400,PAYMENT,10018.2,C179291752,0.0,0.0,M2093352725,0.0,0.0
400,PAYMENT,16496.02,C1934831737,0.0,0.0,M104933933,0.0,0.0
400,PAYMENT,4569.04,C1915297803,0.0,0.0,M1041989620,0.0,0.0
400,PAYMENT,28003.34,C1411465398,11350.0,0.0,M1539184733,0.0,0.0
400,PAYMENT,9708.36,C1621906009,0.0,0.0,M86865255,0.0,0.0
400,CASH_OUT,12821.4,C1532473732,96367.0,83545.6,C692123267,0.0,12821.4
400,PAYMENT,10687.05,C1879057987,6423.0,0.0,M1924963456,0.0,0.0
400,TRANSFER,607677.89,C483678717,10178.0,0.0,C2756033,0.0,607677.89
400,CASH_OUT,403383.96,C2053701746,3346.0,0.0,C682554848,0.0,403383.96
400,PAYMENT,2770.49,C195695426,0.0,0.0,M493147691,0.0,0.0
400,CASH_OUT,256597.68,C591491019,215258.0,0.0,C2109507631,129057.3,385654.98
400,TRANSFER,91914.06,C295272769,211.0,0.0,C1191127158,0.0,91914.06
400,PAYMENT,22100.42,C1257418803,0.0,0.0,M1906107080,0.0,0.0
400,PAYMENT,10542.29,C1493955591,0.0,0.0,M71689710,0.0,0.0
400,CASH_IN,468305.69,C1542041213,262.0,468567.69,C407941862,0.0,0.0
400,CASH_OUT,6228.12,C1299549546,39918.0,33689.88,C820471761,150513.39,156741.51
400,CASH_OUT,382269.59,C1272505103,1558.0,0.0,C1216528397,0.0,382269.59
400,CASH_OUT,154817.35,C1612256527,0.0,0.0,C508075913,551102.13,705919.48
400,PAYMENT,24175.04,C1989530935,49661.0,25485.96,M392824914,0.0,0.0
400,CASH_OUT,178894.11,C455495979,25485.96,0.0,C140484899,733769.77,912663.88
400,CASH_OUT,134955.98,C868195885,30251.0,0.0,C1972426121,4090877.64,4225833.62
400,PAYMENT,46365.16,C1809570048,93338.0,46972.84,M750023857,0.0,0.0
400,CASH_OUT,79615.56,C95602437,15965.0,0.0,C746779856,69922.56,149538.12
400,PAYMENT,36937.19,C1253277544,0.0,0.0,M2140519655,0.0,0.0
400,PAYMENT,12979.18,C1888181848,0.0,0.0,M1670526371,0.0,0.0
400,CASH_OUT,248907.55,C839605894,16765.0,0.0,C366340890,123506.58,372414.13
400,CASH_IN,184084.91,C1621864100,9971.0,194055.91,C955135566,0.0,0.0
400,CASH_OUT,47213.44,C1257788791,604003.0,556789.56,C1610894878,0.0,47213.44
400,CASH_OUT,259790.17,C951410342,109820.0,0.0,C535376679,32543.82,292333.99
400,PAYMENT,8750.42,C1344460888,0.0,0.0,M1833013878,0.0,0.0
400,PAYMENT,24987.11,C1696211268,0.0,0.0,M2001208111,0.0,0.0
400,PAYMENT,9750.83,C829355398,40559.0,30808.17,M1356665855,0.0,0.0
400,PAYMENT,36013.19,C1685657761,10691.0,0.0,M1394556538,0.0,0.0
400,TRANSFER,1388537.41,C354104154,41798.0,0.0,C1428736230,0.0,1388537.41
400,CASH_OUT,270577.1,C761366765,32247.0,0.0,C826176575,118125.25,388702.35
400,PAYMENT,27179.23,C24195568,280.0,0.0,M725037898,0.0,0.0
400,CASH_OUT,321098.04,C1744454805,3616.0,0.0,C1083384498,0.0,321098.04
400,PAYMENT,21865.87,C1182637671,0.0,0.0,M1309399529,0.0,0.0
400,CASH_OUT,609461.11,C1555303937,6156.0,0.0,C410279768,157158.57,766619.68
400,PAYMENT,8116.36,C1767843822,20232.0,12115.64,M1132139012,0.0,0.0
400,CASH_OUT,132014.13,C1395609363,83321.0,0.0,C2051165582,0.0,132014.13
400,TRANSFER,652736.74,C798463857,0.0,0.0,C349766947,1244381.01,1897117.75
400,PAYMENT,2433.47,C1072149818,50498.0,48064.53,M613907440,0.0,0.0
400,PAYMENT,50179.02,C225050534,29838.0,0.0,M509009253,0.0,0.0
400,CASH_OUT,314943.37,C479913456,8039.0,0.0,C365574931,0.0,855687.0
400,PAYMENT,5674.88,C55399784,178.0,0.0,M1092296296,0.0,0.0
400,CASH_IN,100666.81,C1770938075,257273.0,357939.81,C515283482,4470.74,0.0
400,PAYMENT,23758.3,C586187647,31282.0,7523.7,M1275028572,0.0,0.0
