step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
487,PAYMENT,5113.63,C1731603187,257612.0,252498.37,M39202846,0.0,0.0
487,PAYMENT,3862.89,C1466899234,4041.0,178.11,M1277218146,0.0,0.0
487,PAYMENT,1768.66,C446105511,20055.0,18286.34,M695341611,0.0,0.0
487,PAYMENT,4580.28,C107719212,29986.0,25405.72,M1290415198,0.0,0.0
487,PAYMENT,3974.74,C1860350043,47024.0,43049.26,M1471677670,0.0,0.0
487,PAYMENT,4446.01,C207224567,43049.26,38603.24,M298630142,0.0,0.0
487,DEBIT,1132.44,C1784127988,9153.0,8020.56,C1069457767,317088.69,318221.13
487,PAYMENT,916.6,C2103379820,11248.0,10331.4,M1051914358,0.0,0.0
487,PAYMENT,55.86,C1247133461,31244.0,31188.14,M500887466,0.0,0.0
487,CASH_OUT,142260.32,C414973722,31188.14,0.0,C2050229306,1445474.99,1587735.31
487,CASH_OUT,60597.9,C832806203,0.0,0.0,C211487624,3208365.48,3268963.38
487,CASH_OUT,77381.36,C1458123021,0.0,0.0,C1844042757,3847798.7,3925180.06
487,CASH_OUT,13341.92,C470033349,0.0,0.0,C1074173713,54817.39,68159.31
487,CASH_OUT,221985.75,C1526746224,0.0,0.0,C119731804,7524844.69,7746830.45
487,CASH_OUT,144939.42,C1994868846,0.0,0.0,C2064731150,219628.28,364567.71
487,CASH_OUT,70146.96,C1771663078,0.0,0.0,C823287990,458380.55,528527.5
487,CASH_OUT,27826.12,C1421763099,0.0,0.0,C747560888,469375.14,497201.26
487,CASH_OUT,84853.17,C226809648,0.0,0.0,C2078515330,187023.7,271876.88
487,CASH_OUT,98257.93,C1106008790,0.0,0.0,C1718681400,1.737703043E7,1.747528836E7
487,CASH_OUT,166526.07,C1663099475,0.0,0.0,C719611084,416141.63,582667.7
487,CASH_OUT,103881.42,C1151990422,0.0,0.0,C291977207,1681295.48,1785176.9
487,CASH_OUT,200826.89,C1866438756,0.0,0.0,C1311515374,807959.4,1008786.29
487,CASH_OUT,5537.38,C1277580735,0.0,0.0,C180810755,4385099.25,4390636.63
487,CASH_OUT,144442.28,C678429714,0.0,0.0,C818256606,416857.18,561299.47
487,CASH_OUT,39381.01,C587605696,0.0,0.0,C1922908334,2032582.61,2071963.63
487,CASH_OUT,345718.97,C820606588,0.0,0.0,C1064002819,2214552.43,2560271.4
487,CASH_OUT,298979.99,C1318864499,0.0,0.0,C1962983867,2965102.33,3264082.32
487,CASH_OUT,208223.61,C1726253862,0.0,0.0,C193149142,866466.39,1074690.01
487,PAYMENT,404.55,C1950781724,36947.0,36542.45,M266814334,0.0,0.0
487,PAYMENT,474.58,C602157871,69.0,0.0,M1629168078,0.0,0.0
487,TRANSFER,213263.3,C555057792,41271.0,0.0,C1207879774,66871.12,280134.42
487,PAYMENT,5791.76,C350013807,0.0,0.0,M371457424,0.0,0.0
487,PAYMENT,1014.29,C772713419,790.0,0.0,M595737864,0.0,0.0
487,PAYMENT,4398.53,C1374101414,29108.0,24709.47,M1486993271,0.0,0.0
487,PAYMENT,2496.57,C53092187,21267.0,18770.43,M829560907,0.0,0.0
487,PAYMENT,6116.07,C1484864492,11498.0,5381.93,M231613828,0.0,0.0
487,TRANSFER,197149.3,C1590506401,51806.0,0.0,C1088527068,2917787.43,3114936.73
487,PAYMENT,3555.91,C2136791155,15055.0,11499.09,M777241135,0.0,0.0
487,PAYMENT,1899.43,C1389178980,29794.0,27894.57,M1697268135,0.0,0.0
487,CASH_OUT,36050.81,C2091684401,27894.57,0.0,C631968434,109500.59,145551.4
487,CASH_OUT,202068.91,C1289643313,0.0,0.0,C753558905,3198545.03,3400613.94
487,CASH_OUT,306125.46,C1999319774,0.0,0.0,C1962475063,3177096.56,3483222.02
487,CASH_OUT,66750.96,C1077637861,0.0,0.0,C1106233354,458114.28,524865.24
487,CASH_OUT,236784.85,C1478381001,0.0,0.0,C952901522,567514.44,804299.29
487,CASH_OUT,179699.15,C1733708822,0.0,0.0,C1378036787,322342.85,502042.0
