step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
542,CASH_OUT,315569.99,C640319339,21707.0,0.0,C1021514511,0.0,315569.99
542,CASH_OUT,182949.77,C414682621,27236.0,0.0,C1811265589,514080.96,697030.73
542,PAYMENT,4459.93,C1215948495,161367.0,156907.07,M945204602,0.0,0.0
542,CASH_OUT,438540.92,C1299336252,5029.0,0.0,C751802774,2035544.61,2474085.52
542,PAYMENT,14652.05,C1770977290,0.0,0.0,M1850090602,0.0,0.0
542,PAYMENT,9176.59,C1668708773,198946.0,189769.41,M1018878555,0.0,0.0
542,PAYMENT,13467.93,C585775982,18628.0,5160.07,M2102406701,0.0,0.0
542,PAYMENT,3246.83,C767286131,347.0,0.0,M1194960029,0.0,0.0
542,CASH_OUT,606681.1,C880531039,2062.0,0.0,C405391710,3373260.0,3979941.09
542,PAYMENT,33301.68,C1210496955,33728.0,426.32,M993369487,0.0,0.0
542,CASH_IN,246523.32,C832752440,1077.0,247600.32,C4921315,53658.21,0.0
542,PAYMENT,15763.38,C1535195773,10856.0,0.0,M644335065,0.0,0.0
542,PAYMENT,23673.17,C824835455,0.0,0.0,M376773481,0.0,0.0
542,PAYMENT,42528.17,C1148557576,0.0,0.0,M1545917778,0.0,0.0
542,PAYMENT,10613.44,C572004780,11119.0,505.56,M470347989,0.0,0.0
542,CASH_OUT,325615.04,C1952290693,51194.0,0.0,C1681227495,155015.99,480631.03
542,PAYMENT,3337.42,C245973529,0.0,0.0,M1813970713,0.0,0.0
542,CASH_IN,27410.5,C936064023,10917.0,38327.5,C18689464,0.0,0.0
542,CASH_IN,225695.1,C791837908,31414.0,257109.1,C595000719,2056969.41,1831274.31
542,PAYMENT,17996.12,C1800362657,257109.1,239112.98,M1890748134,0.0,0.0
542,CASH_OUT,4679.65,C506949483,10849.0,6169.35,C479025992,2.99692396E7,2.997391924E7
542,CASH_OUT,68121.36,C585069733,12552.0,0.0,C897940945,0.0,68121.36
542,CASH_OUT,52388.85,C861186061,1012.0,0.0,C631937455,0.0,52388.85
542,CASH_OUT,104477.29,C1463127351,0.0,0.0,C727588865,201884.33,306361.62
542,CASH_OUT,145428.48,C1918696589,41749.0,0.0,C1443118987,0.0,145428.48
542,DEBIT,3803.51,C729797695,11118.0,7314.49,C1245125981,163930.25,167733.76
542,CASH_OUT,11984.94,C1031603613,7652.0,0.0,C725280464,0.0,11984.94
542,PAYMENT,17347.85,C1188719408,10393.0,0.0,M1408720882,0.0,0.0
542,CASH_OUT,60100.95,C117221279,50021.0,0.0,C105006106,223290.14,283391.1
542,CASH_OUT,168430.67,C1400376112,0.0,0.0,C1374293764,502266.32,670696.99
542,TRANSFER,698203.86,C1190029700,818877.0,120673.14,C281847312,1098734.61,1796938.47
542,CASH_OUT,14539.77,C789554788,120673.14,106133.37,C1870420124,212719.31,227259.08
542,CASH_OUT,212369.54,C1286351941,50052.0,0.0,C1615634265,4178211.14,4390580.68
542,CASH_OUT,232664.63,C1595842411,62062.0,0.0,C1635207173,4.664045578E7,4.687312041E7
542,CASH_OUT,189704.58,C1787395909,0.0,0.0,C334071929,205611.75,395316.32
542,CASH_OUT,165599.51,C946325750,21219.0,0.0,C664634218,62162.09,227761.6
542,CASH_OUT,158782.6,C352589243,20253.0,0.0,C687961401,0.0,158782.6
542,CASH_OUT,33310.37,C1045050807,10492.0,0.0,C468197034,0.0,33310.37
542,PAYMENT,26155.86,C521668204,0.0,0.0,M431901953,0.0,0.0
542,PAYMENT,1895.65,C740436544,0.0,0.0,M1126843902,0.0,0.0
542,PAYMENT,40698.38,C475926673,0.0,0.0,M2003013726,0.0,0.0
542,PAYMENT,791.91,C1244579032,0.0,0.0,M1538948566,0.0,0.0
542,PAYMENT,5980.01,C923542696,0.0,0.0,M1552331639,0.0,0.0
542,PAYMENT,18367.45,C1622320187,0.0,0.0,M1760436534,0.0,0.0
542,PAYMENT,5179.16,C1041330663,0.0,0.0,M1474650201,0.0,0.0
542,PAYMENT,20075.1,C570660322,0.0,0.0,M998110981,0.0,0.0
542,PAYMENT,6017.73,C240527300,0.0,0.0,M1917680127,0.0,0.0
542,PAYMENT,27386.68,C1281318609,0.0,0.0,M407788928,0.0,0.0
