step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
304,CASH_OUT,23250.81,C1192784379,3088.0,0.0,C1206199828,79577.26,102828.06
304,CASH_IN,24589.43,C539627762,83442.0,108031.43,C912619897,0.0,0.0
304,CASH_OUT,87158.22,C519869614,40084.0,0.0,C2049328318,97001.25,184159.47
304,CASH_IN,154173.09,C1975546319,22.0,154195.09,C1065340143,0.0,0.0
304,CASH_OUT,28833.77,C1909670181,154195.09,125361.32,C1747713912,3729230.83,3758064.6
304,CASH_OUT,210374.5,C17724013,125361.32,0.0,C806207421,218671.39,611074.03
304,CASH_OUT,10940.58,C2074992390,0.0,0.0,C153115257,324907.87,335848.46
304,CASH_OUT,32998.74,C227907509,0.0,0.0,C1583010237,106648.94,139647.68
304,CASH_OUT,10485.4,C1713644875,0.0,0.0,C28740972,173521.46,184006.86
304,CASH_OUT,47371.55,C340504312,0.0,0.0,C524092585,232607.33,279978.89
304,CASH_OUT,110579.69,C17499800,0.0,0.0,C629474617,153336.58,263916.27
304,CASH_OUT,129188.21,C545390899,0.0,0.0,C445582385,1749410.9,1878599.12
304,CASH_OUT,218898.7,C1741387285,0.0,0.0,C2120998778,2651499.32,2870398.02
304,CASH_OUT,217154.95,C775825530,0.0,0.0,C2144684688,343993.05,561148.0
304,CASH_OUT,104325.26,C2010694883,0.0,0.0,C1917609094,523471.33,627796.59
304,CASH_OUT,211726.63,C1197725874,0.0,0.0,C208619261,422355.96,634082.59
304,CASH_OUT,76991.52,C2065986965,0.0,0.0,C1890228095,337371.66,414363.18
304,CASH_OUT,17229.95,C604438387,0.0,0.0,C407313976,138363.17,155593.12
304,CASH_OUT,52501.69,C357095628,0.0,0.0,C1506065908,1923632.36,1976134.04
304,CASH_OUT,35491.75,C1287070879,0.0,0.0,C396348399,202688.49,238180.24
304,CASH_OUT,82720.55,C342321217,0.0,0.0,C1097164999,2986157.83,3068878.38
304,CASH_OUT,307823.93,C126476505,0.0,0.0,C147894527,892596.17,1200420.1
304,PAYMENT,5650.7,C1423230556,167486.0,161835.3,M556958597,0.0,0.0
