step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
306,CASH_OUT,472939.83,C147066275,87601.0,0.0,C1632354315,0.0,472939.83
306,PAYMENT,11889.71,C1535569426,30320.0,18430.29,M671694915,0.0,0.0
306,PAYMENT,6624.45,C940569862,18430.29,11805.84,M277765809,0.0,0.0
306,PAYMENT,2930.94,C2081735884,11805.84,8874.9,M511543381,0.0,0.0
306,CASH_IN,8531.9,C1495136601,327752.0,336283.9,C964646939,0.0,0.0
306,CASH_OUT,75306.75,C998530845,3920.0,0.0,C2099965711,306498.33,381805.08
306,TRANSFER,20369.41,C1642913285,225.0,0.0,C489561408,0.0,20369.41
306,PAYMENT,32714.4,C329375053,140.0,0.0,M633350481,0.0,0.0
306,PAYMENT,13771.41,C1009116739,0.0,0.0,M1002314548,0.0,0.0
306,CASH_OUT,221047.89,C644407995,13756.0,0.0,C1396283314,9082.0,0.0
306,PAYMENT,6756.65,C46587270,0.0,0.0,M289547363,0.0,0.0
306,PAYMENT,2406.85,C1525611204,55594.0,53187.15,M997369368,0.0,0.0
306,PAYMENT,16705.32,C267150877,6087.0,0.0,M260909759,0.0,0.0
306,CASH_OUT,241440.6,C572053840,6049.0,0.0,C1957341225,0.0,241440.6
306,CASH_OUT,47882.15,C217381229,0.0,0.0,C1529091634,334455.18,382337.34
306,CASH_IN,189945.04,C1623505504,64312.0,254257.04,C714513103,0.0,0.0
306,CASH_IN,191118.09,C117095445,34526.0,225644.09,C141231026,7979.89,0.0
306,CASH_OUT,246031.47,C1657546691,3645.0,0.0,C1468396607,314978.88,561010.35
306,PAYMENT,2644.5,C1238926694,0.0,0.0,M210379143,0.0,0.0
306,CASH_IN,260307.09,C1606626839,196.0,260503.09,C1469234158,2775619.78,2515312.69
306,CASH_IN,180215.96,C1546840083,45304.0,225519.96,C524670961,3.02712954E7,3.009107944E7
306,CASH_OUT,368709.21,C1363977542,56165.0,0.0,C12272768,0.0,368709.21
306,PAYMENT,7916.05,C211230961,153133.0,145216.95,M1247941858,0.0,0.0
306,PAYMENT,15363.35,C31133645,58625.0,43261.65,M889846821,0.0,0.0
306,PAYMENT,11186.94,C11326173,1448.0,0.0,M1521681198,0.0,0.0
306,CASH_OUT,73568.33,C63949522,21328.0,0.0,C620364000,0.0,73568.33
306,CASH_OUT,78362.17,C2044585562,0.0,0.0,C537010105,4170950.02,4249312.19
306,PAYMENT,3449.77,C520219014,125761.0,122311.23,M1567171387,0.0,0.0
306,PAYMENT,2904.64,C537783070,35290.0,32385.36,M913581683,0.0,0.0
306,TRANSFER,917539.46,C648656098,30322.0,0.0,C726847441,0.0,917539.46
306,CASH_OUT,323952.75,C852306935,11248.0,0.0,C577322922,249652.54,573605.29
306,PAYMENT,3444.04,C2102883243,11114.0,7669.96,M1787266508,0.0,0.0
306,PAYMENT,22215.88,C23212762,146154.0,123938.12,M1512780690,0.0,0.0
306,CASH_OUT,181329.75,C472369495,21073.0,0.0,C771417533,0.0,181329.75
306,PAYMENT,37229.02,C1247315706,128086.0,90856.98,M1522305417,0.0,0.0
306,CASH_OUT,309542.19,C1502119663,30757.0,0.0,C321619814,8936820.91,9246363.1
306,CASH_OUT,55858.54,C2076676600,39214.0,0.0,C1414045415,0.0,55858.54
306,CASH_IN,303601.27,C1973856044,10817.0,314418.27,C693299188,0.0,0.0
306,CASH_IN,174015.82,C1265146064,30002.0,204017.82,C1147684072,0.0,0.0
306,CASH_OUT,333332.16,C1456132268,204017.82,0.0,C720075339,5455926.56,5789258.72
306,CASH_OUT,21718.36,C298173404,0.0,0.0,C2049820493,143260.69,164979.05
306,CASH_OUT,275905.48,C1360697615,0.0,0.0,C730821725,3657408.84,3933314.32
306,CASH_OUT,236015.8,C1589323236,0.0,0.0,C1140257218,1879699.1,2115714.9
306,CASH_OUT,203517.25,C1593102639,0.0,0.0,C764455713,615557.62,819074.86
306,CASH_OUT,171777.03,C1628447246,0.0,0.0,C739357143,374782.82,546559.84
306,CASH_OUT,243095.73,C1682382274,0.0,0.0,C1000641305,4682983.81,4926079.54
306,CASH_OUT,473436.97,C1666486443,0.0,0.0,C1314759130,2770127.13,3243564.09
306,CASH_OUT,261030.23,C466700359,0.0,0.0,C223897936,2842094.19,3209732.33
306,CASH_OUT,167469.38,C2066811233,0.0,0.0,C903512667,1665451.84,1895464.76
306,CASH_OUT,619536.01,C658809544,0.0,0.0,C1877438826,4914327.47,5533863.48
306,CASH_OUT,197049.56,C1616031555,0.0,0.0,C1597831143,1364945.54,1561995.1
306,CASH_OUT,29245.79,C1909473406,0.0,0.0,C1910243807,162393.98,191639.76
306,CASH_OUT,79808.82,C39400740,9189.0,0.0,C1800889903,0.0,79808.82
306,CASH_OUT,143421.25,C9016645,56583.0,0.0,C575244414,0.0,143421.25
306,CASH_OUT,57972.07,C1968442016,48474.0,0.0,C1488007183,498624.56,556596.63
306,PAYMENT,7764.88,C108296132,34758.0,26993.12,M1305449019,0.0,0.0
306,TRANSFER,562949.62,C27264378,26993.12,0.0,C634110439,886687.05,1449636.67
306,CASH_OUT,217664.11,C1425280740,897.0,0.0,C534339852,258210.56,475874.66
306,CASH_OUT,421.72,C1906022889,19024.0,18602.28,C1091649644,4726.9,5148.62
306,CASH_IN,259037.33,C1089770411,30408.0,289445.33,C1488606967,0.0,0.0
306,PAYMENT,17687.94,C1098831130,289445.33,271757.39,M889807103,0.0,0.0
306,PAYMENT,18642.81,C410051430,271757.39,253114.58,M2088583688,0.0,0.0
306,PAYMENT,4005.01,C1268555416,253114.58,249109.57,M904659340,0.0,0.0
306,PAYMENT,4344.75,C706264964,249109.57,244764.82,M1021560269,0.0,0.0
306,PAYMENT,4276.37,C321189015,244764.82,240488.44,M1183934238,0.0,0.0
306,CASH_OUT,94928.9,C689571031,1850.0,0.0,C610399804,0.0,94928.9
306,CASH_OUT,46803.99,C200634772,159706.0,112902.01,C1885033722,197504.31,244308.3
306,CASH_OUT,255472.49,C1069657137,468128.0,212655.51,C1590369188,0.0,255472.49
306,CASH_IN,155053.82,C1915065664,2094.0,157147.82,C1336989905,21076.47,0.0
306,CASH_IN,40186.3,C190847855,47219.0,87405.3,C2122146949,1931288.35,1891102.05
306,CASH_OUT,189525.61,C725201478,87405.3,0.0,C1131166270,292104.02,481629.63
306,CASH_IN,184877.64,C430650164,111784.0,296661.64,C1318632041,865154.59,680276.95
306,CASH_OUT,413936.57,C1199188692,296661.64,0.0,C1875964943,1550755.49,1964692.06
306,CASH_OUT,20319.11,C1288370743,0.0,0.0,C134593788,197462.94,217782.04
306,CASH_OUT,204864.24,C713546346,0.0,0.0,C805420207,1285255.37,1490119.61
306,CASH_OUT,20528.25,C1794469533,0.0,0.0,C2146338772,1466027.65,1486555.9
306,CASH_OUT,171589.64,C2085606813,0.0,0.0,C77599167,2438362.86,2609952.5
306,CASH_OUT,114115.13,C1733264225,0.0,0.0,C1790629803,466660.49,580775.62
306,CASH_OUT,565659.12,C1938772328,0.0,0.0,C2087268437,3495144.86,4060803.98
306,CASH_OUT,187433.92,C844056578,0.0,0.0,C971006950,635931.58,823365.49
306,CASH_OUT,169890.21,C816742635,0.0,0.0,C1186516419,611226.8,781117.01
306,CASH_OUT,25716.55,C736184596,0.0,0.0,C1961358195,1622284.72,1648001.27
306,CASH_OUT,158708.15,C577521937,0.0,0.0,C845384890,650125.18,808833.33
306,CASH_OUT,329049.45,C1789598214,0.0,0.0,C1303284132,445305.61,774355.06
306,CASH_OUT,292278.05,C784758368,0.0,0.0,C1843588705,1419913.63,1712191.67
306,DEBIT,6818.48,C265171781,20402.0,13583.52,C46567234,886724.73,980875.49
306,CASH_OUT,271008.87,C1336592236,1108.0,0.0,C887080765,175260.85,446269.73
