step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
257,CASH_OUT,353312.79,C1266607595,6085.0,0.0,C395127227,350397.55,703710.33
257,CASH_OUT,89993.0,C714074975,0.0,0.0,C1463118148,848555.46,938548.45
257,CASH_OUT,433951.72,C1389756978,310431.0,0.0,C1966742083,0.0,433951.72
257,CASH_IN,34195.84,C449800344,9033.0,43228.84,C502950829,1212076.11,1177880.27
257,CASH_OUT,138473.36,C648185751,43228.84,0.0,C268794765,1.260184822E7,1.274032158E7
257,CASH_IN,283167.59,C1940014351,4174.0,287341.59,C1966608517,0.0,0.0
257,CASH_OUT,199458.35,C294063835,164.0,0.0,C254562713,2550847.89,2750306.24
257,CASH_OUT,222144.11,C1886203867,394834.0,172689.89,C589924223,219795.44,441939.54
257,TRANSFER,240477.26,C1119977598,410556.0,170078.74,C233040946,0.0,240477.26
257,PAYMENT,25084.83,C598359828,1191.0,0.0,M175246444,0.0,0.0
257,PAYMENT,11988.21,C326695182,31941.0,19952.79,M1576294767,0.0,0.0
257,CASH_IN,14927.7,C794070874,12162.0,27089.7,C1233623805,696307.12,681379.41
257,CASH_OUT,182247.68,C895481776,10219.0,0.0,C384887832,1.068367848E7,1.086592616E7
257,CASH_OUT,159300.94,C1639696540,1013.0,0.0,C589951052,0.0,159300.94
257,TRANSFER,705203.53,C519822053,21225.0,0.0,C601365069,33909.51,739113.04
257,CASH_IN,237474.6,C358524991,34679.0,272153.6,C1682409207,1855571.24,1618096.65
257,CASH_OUT,126282.57,C1601580883,813.0,0.0,C1627678974,209313.49,335596.07
257,TRANSFER,328569.26,C1614213897,0.0,0.0,C685225628,817802.17,1146371.44
257,PAYMENT,26513.32,C551170328,480.0,0.0,M1084586604,0.0,0.0
257,TRANSFER,583111.55,C776456604,0.0,0.0,C1252818608,1810408.61,2393520.16
257,TRANSFER,560558.82,C2042546662,0.0,0.0,C1632150065,1.095720945E7,1.151776827E7
257,PAYMENT,14051.3,C136148280,6223.0,0.0,M1660950605,0.0,0.0
257,CASH_OUT,103278.62,C1939551896,4275.0,0.0,C1599647645,0.0,103278.62
257,PAYMENT,104.59,C2087002356,0.0,0.0,M523386613,0.0,0.0
257,CASH_OUT,65746.74,C2090045230,24471.0,0.0,C2128795080,17436.57,83183.31
257,PAYMENT,9130.77,C1452693970,0.0,0.0,M52539764,0.0,0.0
257,TRANSFER,812067.15,C225112691,23975.0,0.0,C1274524204,156806.11,968873.25
257,TRANSFER,340173.26,C1835066895,263710.0,0.0,C1507052174,72062.22,412235.48
257,PAYMENT,9642.61,C165440184,25924.0,16281.39,M133746918,0.0,0.0
257,CASH_IN,422851.56,C1566266112,20639.0,443490.56,C1679039015,783878.83,361027.28
257,TRANSFER,273985.61,C937526842,443490.56,169504.95,C264235194,1377164.08,1651149.69
257,PAYMENT,10793.16,C1568842708,437.0,0.0,M482092898,0.0,0.0
257,CASH_OUT,32563.28,C460891302,0.0,0.0,C1135720448,370765.67,403328.95
257,CASH_OUT,235788.54,C546517413,8211.0,0.0,C648235112,1376926.43,1612714.97
257,CASH_OUT,261070.75,C1757919840,0.0,0.0,C72400152,2862464.98,3123535.73
257,CASH_IN,85906.15,C356321069,74896.0,160802.15,C376267997,0.0,0.0
257,PAYMENT,258.79,C1262406840,3162.0,2903.21,M1914290787,0.0,0.0
257,CASH_OUT,114894.4,C660103930,53979.0,0.0,C609288100,0.0,114894.4
257,PAYMENT,5051.87,C1520504147,0.0,0.0,M1732723123,0.0,0.0
257,CASH_OUT,251950.28,C1542561250,6957.0,0.0,C1913125627,408779.7,660729.97
257,PAYMENT,10696.61,C1062894548,33727.0,23030.39,M1833116409,0.0,0.0
257,TRANSFER,415576.23,C810855483,23030.39,0.0,C1251267786,583770.61,999346.84
257,TRANSFER,606169.47,C1729964382,0.0,0.0,C861702902,1041389.18,1647558.65
257,PAYMENT,12820.55,C192244402,164.0,0.0,M2144720335,0.0,0.0
257,PAYMENT,11859.97,C1794476922,72483.0,60623.03,M1689000099,0.0,0.0
257,PAYMENT,3078.05,C1143791230,106276.0,103197.95,M352714905,0.0,0.0
257,CASH_OUT,269154.25,C1408169752,977487.15,708332.9,C1497962455,348064.03,617218.28
257,PAYMENT,10164.54,C1459852486,708332.9,698168.36,M1979613046,0.0,0.0
257,TRANSFER,286394.38,C1356442520,5000.0,0.0,C1189608544,0.0,286394.38
257,PAYMENT,12412.33,C1957417132,0.0,0.0,M1069928283,0.0,0.0
257,PAYMENT,4243.15,C969277978,10919.0,6675.85,M610200529,0.0,0.0
257,CASH_OUT,126495.08,C249196870,6675.85,0.0,C1286772355,4327847.33,4454342.41
257,CASH_OUT,240732.86,C527747281,202223.0,0.0,C489429585,449349.48,690082.33
257,PAYMENT,1200.96,C380362743,0.0,0.0,M1165536912,0.0,0.0
257,PAYMENT,311.28,C410367800,0.0,0.0,M561956519,0.0,0.0
257,CASH_OUT,83617.86,C1776480536,202277.0,118659.14,C302712828,0.0,83617.86
257,CASH_IN,201003.34,C1768869530,69948.0,270951.34,C1083029556,146027.61,0.0
257,PAYMENT,10924.23,C1545042168,270951.34,260027.11,M193713699,0.0,0.0
257,PAYMENT,2437.21,C1965001851,23.0,0.0,M1780127324,0.0,0.0
257,CASH_OUT,214132.17,C229499743,30948.0,0.0,C1511355090,0.0,214132.17
257,CASH_IN,32148.0,C1489110535,30135.0,62283.0,C1192560115,1938569.12,1906421.11
257,PAYMENT,9172.46,C1370961200,62283.0,53110.54,M1864495404,0.0,0.0
257,CASH_OUT,121168.82,C225722508,107161.0,0.0,C218116635,148833.11,270001.93
257,CASH_OUT,336322.18,C1162775835,0.0,0.0,C409782317,4528399.52,4864721.69
257,CASH_IN,172013.33,C758660663,101224.0,273237.33,C53453148,1173556.95,1001543.62
257,CASH_OUT,64848.49,C1299190317,273237.33,208388.84,C1908952093,743334.57,808183.05
257,CASH_OUT,338990.26,C1655655215,21390.0,0.0,C248596444,435209.94,774200.2
