step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
520,CASH_IN,99797.76,C98047611,51785.0,151582.76,C1622985846,1037962.34,938164.59
520,PAYMENT,44624.83,C2112793556,15532.0,0.0,M1847967638,0.0,0.0
520,TRANSFER,785667.05,C183578563,0.0,0.0,C981610668,8558543.89,9344210.95
520,CASH_OUT,55691.54,C1340050216,657141.0,601449.46,C284475718,63011.0,92501.41
520,CASH_IN,405243.77,C1197947148,868.0,406111.77,C341825099,396543.67,0.0
520,PAYMENT,13672.14,C83748729,406111.77,392439.63,M133259026,0.0,0.0
520,PAYMENT,430.46,C885260815,392439.63,392009.17,M1242952386,0.0,0.0
520,PAYMENT,1140.94,C557322966,189.0,0.0,M742178860,0.0,0.0
520,PAYMENT,20013.15,C956070878,50932.0,30918.85,M1570377185,0.0,0.0
520,PAYMENT,26409.75,C1012206118,117.0,0.0,M1981976608,0.0,0.0
520,PAYMENT,3113.51,C760952753,0.0,0.0,M539214590,0.0,0.0
520,CASH_IN,275431.6,C884205798,51140.0,326571.6,C1292827974,3.13367966E7,3.1061365E7
520,PAYMENT,3061.87,C1450368448,326571.6,323509.73,M576753152,0.0,0.0
520,CASH_OUT,83509.09,C485137536,5619.0,0.0,C1541509365,1147584.51,1231093.59
520,PAYMENT,30129.59,C934654755,6374.0,0.0,M2011817160,0.0,0.0
520,CASH_IN,259085.04,C1365210299,3138.0,262223.04,C110739855,0.0,0.0
520,PAYMENT,35482.42,C421133452,345388.0,309905.58,M53438503,0.0,0.0
520,CASH_IN,291884.02,C1004016430,2081.0,293965.02,C1606144846,0.0,0.0
520,CASH_IN,254547.06,C285758018,4030.0,258577.06,C2004104841,0.0,0.0
520,CASH_OUT,219018.37,C1201873267,117259.0,0.0,C545082684,311424.22,530442.59
520,CASH_OUT,373241.53,C1060440048,10761.0,0.0,C997279551,67604.73,440846.26
520,CASH_IN,327305.95,C1141842523,61120.0,388425.95,C1179786464,236404.39,0.0
520,PAYMENT,12152.92,C390525658,108297.0,96144.08,M1227944440,0.0,0.0
520,CASH_OUT,110681.6,C1588426153,6707.0,0.0,C864892169,667865.34,778546.94
520,TRANSFER,718377.69,C1670220253,310653.0,0.0,C792438554,121843.79,840221.48
520,CASH_IN,124164.79,C1140680532,53633.0,177797.79,C976614055,328382.11,204217.32
520,TRANSFER,1217702.45,C227336674,323104.0,0.0,C552135963,519230.87,1736933.32
520,CASH_OUT,305992.59,C943312327,0.0,0.0,C637357916,7016530.5,7322523.1
520,CASH_OUT,97868.98,C930441340,48028.0,0.0,C1171649544,4371836.78,4469705.76
520,PAYMENT,7252.06,C521829889,0.0,0.0,M1970474993,0.0,0.0
520,TRANSFER,1751965.38,C64140141,293.0,0.0,C1924115585,479992.12,2231957.5
520,CASH_OUT,313461.52,C536350179,0.0,0.0,C96898001,438819.7,752281.23
520,CASH_IN,568952.99,C1407095403,6657.0,575609.99,C1129623949,1808272.28,1239319.3
520,TRANSFER,2010551.62,C1052705638,10419.0,0.0,C1148151639,350125.68,2360677.3
520,CASH_IN,267099.28,C677414407,409214.0,676313.28,C901023260,377063.01,109963.74
520,CASH_OUT,165990.27,C1999110653,9977.0,0.0,C1728425371,0.0,165990.27
520,PAYMENT,26421.32,C1346541753,902829.0,876407.68,M379590116,0.0,0.0
520,CASH_IN,321628.29,C987556233,50836.0,372464.29,C1392870522,2810653.94,2489025.65
520,PAYMENT,21695.05,C223097030,114276.0,92580.95,M1225778822,0.0,0.0
520,PAYMENT,3811.84,C1603716470,160724.0,156912.16,M39583660,0.0,0.0
520,CASH_OUT,33909.06,C1862087969,8040.0,0.0,C107229941,255953.4,289862.46
520,PAYMENT,3865.78,C1483789742,0.0,0.0,M824444579,0.0,0.0
520,PAYMENT,26484.13,C1818180020,0.0,0.0,M1804356899,0.0,0.0
520,PAYMENT,1691.58,C890189913,762.0,0.0,M604975429,0.0,0.0
520,CASH_OUT,355165.72,C831012585,14463.0,0.0,C149722853,5097780.59,5452946.31
520,CASH_OUT,541436.19,C946112686,8670.0,0.0,C1048760690,0.0,541436.19
520,CASH_IN,604406.64,C1961210379,200018.0,804424.64,C878150610,72786.62,0.0
520,PAYMENT,25253.85,C691871947,81989.0,56735.15,M1496460403,0.0,0.0
520,PAYMENT,6530.92,C1158675971,2795.0,0.0,M472082755,0.0,0.0
520,PAYMENT,13743.08,C1557670260,0.0,0.0,M339859240,0.0,0.0
520,PAYMENT,3688.85,C780454981,50471.0,46782.15,M703254951,0.0,0.0
520,CASH_OUT,282354.0,C879021671,46782.15,0.0,C1474650412,994388.1,1276742.11
520,PAYMENT,19762.69,C780576596,9920.0,0.0,M644390949,0.0,0.0
520,PAYMENT,18327.04,C1500523174,0.0,0.0,M1266008089,0.0,0.0
520,CASH_IN,422054.43,C1355969060,23575.0,445629.43,C1482093453,1270222.42,848167.99
520,PAYMENT,12294.84,C869833107,445629.43,433334.59,M1797627988,0.0,0.0
520,PAYMENT,30794.87,C246792225,433334.59,402539.72,M1295372417,0.0,0.0
520,PAYMENT,28702.56,C987159733,402539.72,373837.15,M2084043963,0.0,0.0
520,PAYMENT,22772.6,C1545838548,373837.15,351064.56,M1072823561,0.0,0.0
520,PAYMENT,33884.66,C860798262,351064.56,317179.9,M1893686720,0.0,0.0
520,PAYMENT,14307.2,C809673008,317179.9,302872.7,M15408004,0.0,0.0
520,PAYMENT,52456.43,C1183494562,302872.7,250416.27,M1286718958,0.0,0.0
520,PAYMENT,7510.08,C1767880297,250416.27,242906.19,M825276413,0.0,0.0
520,PAYMENT,10210.55,C581179352,242906.19,232695.64,M1618487511,0.0,0.0
520,PAYMENT,6650.15,C1946166863,232695.64,226045.48,M1077672045,0.0,0.0
520,PAYMENT,15545.07,C1117990245,226045.48,210500.41,M1673300854,0.0,0.0
520,PAYMENT,899.83,C385608464,210500.41,209600.58,M152863026,0.0,0.0
520,PAYMENT,154.72,C1385123185,209600.58,209445.86,M1441766253,0.0,0.0
520,PAYMENT,11765.68,C478497195,209445.86,197680.18,M1904037400,0.0,0.0
520,PAYMENT,9667.36,C1504801155,197680.18,188012.82,M1881976107,0.0,0.0
520,PAYMENT,4768.24,C1188199060,188012.82,183244.59,M1573188056,0.0,0.0
520,PAYMENT,26747.71,C262909578,183244.59,156496.88,M452665249,0.0,0.0
520,PAYMENT,1250.58,C1328070832,156496.88,155246.3,M890806972,0.0,0.0
520,PAYMENT,10994.56,C1737856363,155246.3,144251.74,M626104367,0.0,0.0
520,PAYMENT,56671.58,C754315637,144251.74,87580.16,M1552460565,0.0,0.0
520,PAYMENT,6750.25,C402473762,87580.16,80829.91,M1053040914,0.0,0.0
520,PAYMENT,29730.23,C1035534822,102439.0,72708.77,M619763015,0.0,0.0
520,CASH_OUT,175799.79,C1500083880,7172.0,0.0,C869317300,217112.98,392912.78
520,PAYMENT,13035.11,C1186598950,34403.0,21367.89,M871993126,0.0,0.0
520,CASH_OUT,87169.1,C293682931,21367.89,0.0,C879673979,730775.75,817944.85
520,PAYMENT,11816.08,C63952477,16374.0,4557.92,M367189282,0.0,0.0
520,CASH_OUT,181152.26,C1788735495,5003.0,0.0,C49482210,7590106.48,7771258.74
520,TRANSFER,1085442.52,C1928539393,143437.0,0.0,C1585854402,363135.14,1448577.66
520,CASH_OUT,125360.7,C259219516,10028.0,0.0,C2076265886,1306571.35,1431932.05
520,PAYMENT,14064.44,C217823037,106552.0,92487.56,M157508461,0.0,0.0
520,CASH_OUT,14612.39,C1645464677,11501.0,0.0,C1165533856,0.0,14612.39
