step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
309,PAYMENT,31809.72,C920936826,10633.0,0.0,M50753997,0.0,0.0
309,PAYMENT,1447.86,C1984382718,320739.0,319291.14,M1195106939,0.0,0.0
309,PAYMENT,3238.66,C1388426327,46597.0,43358.34,M1652109275,0.0,0.0
309,PAYMENT,2845.16,C784721372,304578.0,301732.84,M913695301,0.0,0.0
309,PAYMENT,29483.41,C1766427600,21680.0,0.0,M1122334421,0.0,0.0
309,PAYMENT,7762.68,C1133477968,21138.0,13375.32,M1517364654,0.0,0.0
309,PAYMENT,39100.12,C2135106107,13375.32,0.0,M385462488,0.0,0.0
309,PAYMENT,26963.65,C692797271,118284.0,91320.35,M2051289989,0.0,0.0
309,CASH_OUT,289989.36,C485528588,91320.35,0.0,C491079652,633603.83,923593.19
309,CASH_OUT,105664.4,C1196722234,25261.0,0.0,C1164426337,23999.75,129664.16
309,PAYMENT,21140.15,C932558336,0.0,0.0,M1813410668,0.0,0.0
309,CASH_OUT,155068.58,C1952373270,21467.0,0.0,C1840610399,1103682.03,1258750.61
309,CASH_IN,41945.52,C396925439,5804.0,47749.52,C162444159,79041.67,37096.15
309,PAYMENT,22970.78,C219617468,16804.0,0.0,M1380288353,0.0,0.0
309,CASH_OUT,209043.15,C1346992469,0.0,0.0,C877372201,211429.17,420472.32
309,CASH_OUT,454751.01,C66942402,0.0,0.0,C1471992566,1477451.07,1932202.08
309,CASH_IN,199112.76,C916082681,30500.0,229612.76,C206481759,0.0,0.0
309,PAYMENT,2533.04,C1209710788,69516.0,66982.96,M1401090883,0.0,0.0
309,CASH_IN,45296.16,C1002037140,4067.0,49363.16,C473850336,489615.18,444319.02
309,CASH_OUT,120107.48,C1605937821,49363.16,0.0,C1975895367,1874263.97,1994371.45
309,CASH_OUT,149658.41,C1115284790,0.0,0.0,C1604707895,308194.15,457852.56
309,CASH_OUT,234544.85,C111484625,0.0,0.0,C1245856177,541021.55,775566.4
309,CASH_OUT,1728.68,C1939158254,0.0,0.0,C2020794683,11446.15,13174.83
309,CASH_OUT,488102.52,C1776518211,0.0,0.0,C396519279,621486.12,1109588.64
309,CASH_OUT,311931.37,C1681820700,0.0,0.0,C1520624871,338568.57,650499.94
309,CASH_OUT,133246.73,C1254315484,0.0,0.0,C626132569,239505.39,372752.12
309,CASH_OUT,297669.43,C279652910,0.0,0.0,C1899666939,696438.14,994107.57
309,CASH_OUT,52395.44,C1696560612,0.0,0.0,C974126496,2028128.79,2080524.23
309,CASH_OUT,48504.69,C1968261943,0.0,0.0,C920555649,137163.24,185667.94
309,CASH_OUT,40521.6,C627875316,0.0,0.0,C800278958,1156189.5,1196711.09
309,CASH_OUT,145118.66,C1826568493,0.0,0.0,C1093197578,1184717.78,1329836.44
309,CASH_OUT,46274.24,C1928450311,0.0,0.0,C1697292806,661013.02,707287.26
309,CASH_OUT,105504.41,C218510493,0.0,0.0,C227125819,5957148.4,6062652.82
309,CASH_OUT,238409.1,C1287949300,0.0,0.0,C1422565282,815758.89,1054167.99
309,CASH_OUT,125239.48,C1497875728,0.0,0.0,C1909306587,877064.83,1002304.31
309,CASH_OUT,289294.84,C625102550,0.0,0.0,C317539534,2064398.2,2353693.05
309,CASH_OUT,42788.98,C433857599,0.0,0.0,C292296852,1.062503952E7,1.06678285E7
309,CASH_OUT,145045.84,C1898940379,0.0,0.0,C1193258541,2727043.76,2872089.6
309,CASH_OUT,469347.84,C380089259,0.0,0.0,C909939117,1129245.69,1598593.54
309,CASH_OUT,183071.38,C556038999,0.0,0.0,C1038118739,2438266.5,2621337.88
309,CASH_OUT,267442.45,C1503743632,0.0,0.0,C303553673,294246.36,561688.82
309,CASH_OUT,310645.09,C1413290784,0.0,0.0,C1667176717,505378.47,816023.56
309,CASH_OUT,135398.79,C2133639399,0.0,0.0,C1456710918,917353.45,1052752.23
309,CASH_OUT,35085.35,C2102456982,0.0,0.0,C370781083,226386.19,261471.54
309,CASH_OUT,82993.98,C777451106,0.0,0.0,C2038068199,514805.13,597799.12
309,CASH_OUT,212295.86,C302910611,0.0,0.0,C244378342,2776077.46,2988373.32
309,CASH_OUT,58621.07,C188534221,0.0,0.0,C2135956120,232535.8,291156.87
309,CASH_OUT,174159.68,C1904368254,0.0,0.0,C2061019289,342817.56,516977.24
309,CASH_OUT,147118.03,C1761494986,0.0,0.0,C111425078,8948187.03,9095305.05
309,CASH_OUT,30597.64,C175551698,0.0,0.0,C1714913060,604302.31,634899.95
309,CASH_OUT,56249.68,C1732858612,0.0,0.0,C1524496568,1392760.9,1449010.58
309,CASH_OUT,5585.72,C83604937,0.0,0.0,C972815048,713177.53,718763.25
309,CASH_OUT,169110.7,C513893003,0.0,0.0,C151804423,1592838.15,1761948.85
309,CASH_OUT,284582.98,C558794153,0.0,0.0,C1817007270,567405.39,851988.37
309,CASH_OUT,246610.81,C205372806,0.0,0.0,C577160156,309504.25,556115.06
309,CASH_OUT,140964.17,C1437668405,0.0,0.0,C478885186,156978.89,297943.06
309,CASH_OUT,335307.57,C1083277618,0.0,0.0,C1837558204,1717005.09,2052312.65
309,CASH_OUT,293680.49,C354887492,0.0,0.0,C1774193777,299838.49,593518.98
309,CASH_OUT,169383.65,C1947691499,0.0,0.0,C1630928292,1214381.16,1383764.81
309,CASH_OUT,71504.3,C693816288,0.0,0.0,C2018517606,81786.54,153290.83
309,CASH_OUT,61893.83,C1695434728,0.0,0.0,C112127247,2141923.74,2203817.56
309,CASH_OUT,90244.51,C1237270794,0.0,0.0,C900927651,1353127.1,1443371.62
309,CASH_OUT,57842.69,C103293415,0.0,0.0,C2107102414,80263.4,138106.09
309,CASH_OUT,115361.9,C2043870985,0.0,0.0,C340108264,316331.63,431693.53
309,CASH_OUT,19263.79,C1853146844,0.0,0.0,C1557010223,68595.52,87859.31
309,CASH_OUT,220772.48,C1567653129,0.0,0.0,C2103778669,1440089.77,1660862.25
309,CASH_OUT,104457.94,C445663321,0.0,0.0,C1843670134,225459.14,329917.07
309,CASH_OUT,302664.2,C1951712949,0.0,0.0,C1257743558,480253.74,782917.94
309,CASH_OUT,67368.4,C1012837573,0.0,0.0,C1091821689,1861792.48,1929160.87
309,CASH_OUT,112993.41,C1645741682,0.0,0.0,C1577009948,417358.36,530351.77
309,CASH_OUT,164105.88,C2060601576,0.0,0.0,C1320482982,2758705.57,2922811.45
309,CASH_OUT,187711.8,C677468265,0.0,0.0,C1165438013,550680.17,738391.97
309,CASH_OUT,497115.12,C1636884772,0.0,0.0,C15247216,1333719.78,1830834.9
309,CASH_OUT,20509.79,C1134117106,0.0,0.0,C1600765733,1620998.48,1641508.27
309,CASH_OUT,105717.05,C728024417,0.0,0.0,C145280155,712656.77,818373.82
309,CASH_OUT,167316.39,C165962356,0.0,0.0,C1092184787,398338.41,565654.8
309,CASH_OUT,327087.94,C1864051629,0.0,0.0,C1947785070,7851647.85,8178735.79
309,CASH_OUT,79538.72,C1720481900,0.0,0.0,C92124547,140621.75,220160.47
309,CASH_OUT,111162.31,C1800332817,0.0,0.0,C1079890116,1401815.41,1512977.71
309,CASH_OUT,205603.41,C1091821262,0.0,0.0,C2074649784,3.982742962E7,4.003303303E7
309,CASH_OUT,400528.9,C2003026690,0.0,0.0,C1581814104,4084765.92,4485294.82
309,CASH_OUT,380840.44,C1923713690,0.0,0.0,C371661170,9030149.43,9410989.87
