step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
208,CASH_OUT,132250.34,C1646079277,41893.0,0.0,C913747513,0.0,132250.34
208,CASH_OUT,388666.33,C779545350,329.0,0.0,C1011797943,0.0,388666.33
208,CASH_OUT,80830.1,C1576938005,0.0,0.0,C659788517,721757.8,802587.9
208,CASH_IN,573295.41,C611328542,29816.0,603111.41,C624362226,4506654.53,3933359.12
208,CASH_OUT,73316.3,C789514232,11120.0,0.0,C1174902964,31058.02,104374.33
208,PAYMENT,10890.49,C918087620,51878.0,40987.51,M440061316,0.0,0.0
208,CASH_IN,101330.39,C1065319439,50172.0,151502.39,C1487669283,1.056856452E7,1.046723413E7
208,CASH_OUT,50411.81,C1754827999,16988.0,0.0,C1010801201,0.0,50411.81
208,CASH_IN,237411.16,C435146959,474842.62,712253.78,C819196692,1097962.5,860551.34
208,CASH_OUT,181700.97,C1433757851,712253.78,530552.82,C1773402807,1784428.13,1966129.1
208,CASH_OUT,305988.96,C288287038,530552.82,224563.85,C738275889,1704004.72,2009993.68
208,CASH_OUT,124174.51,C1039950256,224563.85,100389.35,C1290124690,1742411.61,1866586.11
208,CASH_OUT,401008.12,C1525852008,100389.35,0.0,C535337354,542726.36,943734.47
208,CASH_OUT,101478.44,C616377629,0.0,0.0,C448951646,2.587416579E7,2.597564423E7
208,CASH_OUT,93671.38,C1119639469,0.0,0.0,C2142844289,404373.74,498045.12
208,CASH_OUT,190268.85,C479416235,0.0,0.0,C121685730,667206.9,857475.75
208,CASH_OUT,266062.49,C1402303158,0.0,0.0,C1822374140,311589.43,577651.92
208,CASH_OUT,152666.92,C512583708,0.0,0.0,C934502678,875075.92,1027742.84
208,CASH_OUT,339632.94,C1043088735,0.0,0.0,C1199257041,886443.87,1226076.81
208,CASH_OUT,481278.92,C952417062,0.0,0.0,C1956871313,3374538.73,3855817.65
208,CASH_OUT,81913.18,C1077706314,0.0,0.0,C935833156,976962.01,1058875.19
208,CASH_OUT,52786.4,C889463769,0.0,0.0,C598736023,124910.32,177696.72
208,CASH_OUT,146341.07,C1767808667,0.0,0.0,C955077175,573488.01,719829.09
208,CASH_OUT,127774.71,C1952318749,0.0,0.0,C1706472662,1271647.65,1399422.35
208,CASH_OUT,165851.73,C1471409138,0.0,0.0,C268212704,436988.85,602840.58
208,CASH_OUT,157432.63,C1136463926,0.0,0.0,C2058188762,6952828.4,7110261.03
208,CASH_OUT,102349.95,C1586164892,0.0,0.0,C457500215,856395.77,958745.72
208,CASH_OUT,223428.86,C1517843645,0.0,0.0,C230368171,640314.3,863743.16
208,CASH_OUT,150614.74,C308078715,0.0,0.0,C21531436,1605290.04,1755904.78
208,CASH_OUT,190881.41,C969631398,0.0,0.0,C2036850843,9556947.93,9747829.34
208,CASH_OUT,425253.5,C812407575,0.0,0.0,C14961568,898075.79,1323329.29
208,CASH_OUT,56503.84,C690490427,0.0,0.0,C73887179,3961017.78,4017521.62
208,CASH_OUT,312285.56,C1547839061,0.0,0.0,C1428939759,377295.19,677564.37
208,CASH_OUT,184022.85,C1054770477,0.0,0.0,C865709920,431300.16,615323.02
208,PAYMENT,3569.68,C1824052482,4083.0,513.32,M93869434,0.0,0.0
208,CASH_OUT,261316.62,C1218820882,37954.0,0.0,C2028106127,727081.7,988398.32
208,PAYMENT,3739.14,C43563206,0.0,0.0,M681733458,0.0,0.0
208,PAYMENT,4655.46,C1876352697,0.0,0.0,M172918138,0.0,0.0
208,PAYMENT,11207.56,C1305952893,0.0,0.0,M1982103144,0.0,0.0
208,PAYMENT,5808.87,C803095811,0.0,0.0,M1363501271,0.0,0.0
208,PAYMENT,4315.89,C645268520,0.0,0.0,M1945434544,0.0,0.0
208,PAYMENT,6619.59,C777997456,0.0,0.0,M1416020564,0.0,0.0
