step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
420,CASH_OUT,130328.88,C1769148117,211.0,0.0,C1183222824,10968.15,141297.03
420,CASH_OUT,121121.74,C1004543964,0.0,0.0,C1010662092,1822552.52,1943674.26
420,PAYMENT,9577.38,C262840450,217456.0,207878.62,M1910073975,0.0,0.0
420,PAYMENT,6099.77,C11388735,207878.62,201778.84,M990389769,0.0,0.0
420,CASH_OUT,305125.36,C1643917146,59858.0,0.0,C855851095,146853.25,451978.61
420,TRANSFER,1091174.38,C1540123584,74882.0,0.0,C999680787,2950048.26,4041222.64
420,CASH_IN,49866.1,C892783545,53962.0,103828.1,C1177738242,573380.16,523514.07
420,CASH_IN,158089.77,C1341430648,132391.0,290480.77,C637195211,6333.94,0.0
420,PAYMENT,30350.93,C1332935459,290480.77,260129.84,M2010651494,0.0,0.0
420,CASH_OUT,65500.92,C1949330727,30228.0,0.0,C1066799365,319163.73,384664.65
420,CASH_IN,259543.02,C527701890,200600.0,460143.02,C932736431,6020658.99,5761115.97
420,PAYMENT,27856.92,C1200053420,460143.02,432286.1,M1890810897,0.0,0.0
420,CASH_IN,259979.13,C119373429,187216.0,447195.13,C278773506,25781.34,0.0
420,CASH_OUT,263288.43,C946512147,10613.0,0.0,C1784332735,610596.29,873884.73
420,PAYMENT,12228.91,C1165359246,21863.0,9634.09,M785209285,0.0,0.0
420,CASH_IN,260107.05,C1112505023,4090.0,264197.05,C507453928,30893.53,0.0
420,CASH_IN,166100.27,C792738268,113.0,166213.27,C684199663,77106.66,0.0
420,TRANSFER,272948.34,C1159402802,166213.27,0.0,C595514865,1415939.01,1688887.35
420,TRANSFER,1980356.76,C28053803,0.0,0.0,C1046291708,6319527.6,8299884.36
420,TRANSFER,1145012.51,C948902179,0.0,0.0,C746825719,3275632.84,4420645.35
420,TRANSFER,1048008.61,C380586295,0.0,0.0,C217884873,3182080.24,4230088.85
420,TRANSFER,3285263.69,C192965717,0.0,0.0,C2053006254,1.852882047E7,2.181408416E7
