step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
453,CASH_OUT,241374.92,C338347689,103995.0,0.0,C1172851551,761036.84,1002411.76
453,PAYMENT,5496.96,C1463927526,28032.0,22535.04,M1244097481,0.0,0.0
453,CASH_OUT,35758.99,C1288334956,52773.0,17014.01,C794363435,2265831.34,2301590.33
453,TRANSFER,529618.91,C236451538,17014.01,0.0,C2033423739,1197444.43,1727063.34
453,TRANSFER,1660119.31,C1461207812,0.0,0.0,C1845773105,2159599.02,3819718.33
453,TRANSFER,956015.08,C646972173,0.0,0.0,C1027670007,2438900.99,3394916.07
453,TRANSFER,616245.85,C959885501,0.0,0.0,C1911163676,1724696.81,2340942.66
453,TRANSFER,284868.22,C145125423,0.0,0.0,C1516971929,907285.92,1192154.14
453,TRANSFER,204249.73,C498274908,0.0,0.0,C1268108090,294660.94,498910.67
453,TRANSFER,4341979.06,C1000206988,0.0,0.0,C349795910,5742817.9,1.008479696E7
453,CASH_OUT,183690.92,C933367322,188.0,0.0,C1165046972,0.0,183690.92
453,PAYMENT,18766.27,C213788617,284.0,0.0,M152761840,0.0,0.0
453,PAYMENT,19638.99,C1564966861,0.0,0.0,M2058512545,0.0,0.0
453,CASH_IN,87056.26,C131045457,156480.0,243536.26,C632229294,150685.8,63629.54
453,PAYMENT,13777.79,C1495554093,40720.0,26942.21,M1065090515,0.0,0.0
453,PAYMENT,36842.77,C1457880573,26942.21,0.0,M764639840,0.0,0.0
453,TRANSFER,134725.66,C1443740367,134725.66,0.0,C465493916,0.0,0.0
453,CASH_OUT,134725.66,C922243256,134725.66,0.0,C1604176054,0.0,134725.66
453,PAYMENT,2197.49,C1259329807,29252.0,27054.51,M2105141876,0.0,0.0
453,PAYMENT,15778.56,C1176108246,507.0,0.0,M839911741,0.0,0.0
453,CASH_OUT,128810.99,C132282833,0.0,0.0,C913551107,421377.88,550188.87
453,TRANSFER,2600970.32,C897190163,2600970.32,0.0,C2117423610,0.0,0.0
453,CASH_OUT,2600970.32,C1015856166,2600970.32,0.0,C1424612838,2111795.89,4712766.22
453,DEBIT,2615.96,C250020715,13220.0,10604.04,C746798138,367394.54,370010.5
453,PAYMENT,14308.69,C442490775,10804.0,0.0,M2139647838,0.0,0.0
453,TRANSFER,322634.4,C1073750801,120235.0,0.0,C372966282,63820.0,386454.41
453,PAYMENT,5243.71,C1186151639,25258.0,20014.29,M1793060699,0.0,0.0
453,PAYMENT,8608.2,C1059917576,20014.29,11406.09,M2129967959,0.0,0.0
453,PAYMENT,2390.24,C570324442,11406.09,9015.85,M885977993,0.0,0.0
453,TRANSFER,1028486.59,C1674374999,1028486.59,0.0,C1352876312,0.0,0.0
453,CASH_OUT,1028486.59,C951701114,1028486.59,0.0,C1839908342,1268932.19,2297418.78
453,CASH_OUT,165476.31,C1790655506,413901.0,248424.69,C280511481,291200.03,456676.35
453,CASH_OUT,126258.69,C699062391,248424.69,122166.0,C1306128743,3357266.46,3483525.14
453,CASH_IN,184985.93,C756563010,34394.0,219379.93,C194526349,88107.04,0.0
453,PAYMENT,3198.72,C1529146757,16829.0,13630.28,M1758200159,0.0,0.0
453,PAYMENT,5773.58,C400164177,13630.28,7856.7,M2077020612,0.0,0.0
453,PAYMENT,5423.47,C125322237,7856.7,2433.22,M263617716,0.0,0.0
453,PAYMENT,766.96,C1216413854,487.0,0.0,M1432267451,0.0,0.0
453,CASH_OUT,130466.85,C284978246,0.0,0.0,C1906480366,856028.12,986494.97
453,CASH_OUT,75444.86,C739504433,26066.0,0.0,C942153415,0.0,75444.86
453,PAYMENT,1911.45,C1817608669,39787.0,37875.55,M1291707806,0.0,0.0
453,PAYMENT,12304.33,C1058024987,37875.55,25571.22,M205114033,0.0,0.0
453,PAYMENT,11288.43,C1413081730,10338.0,0.0,M2001417358,0.0,0.0
453,CASH_IN,66754.86,C1234545802,270.0,67024.86,C1768989963,26751.24,0.0
453,CASH_IN,41737.97,C196844363,72159.0,113896.97,C1479334287,3389696.26,3347958.29
453,CASH_OUT,15264.65,C281877828,21552.0,6287.35,C716806504,0.0,15264.65
453,PAYMENT,15665.12,C1041015959,112.0,0.0,M1520025120,0.0,0.0
453,PAYMENT,38489.05,C229574651,0.0,0.0,M1970277431,0.0,0.0
453,PAYMENT,2101.29,C780350994,20832.0,18730.71,M972879196,0.0,0.0
453,TRANSFER,553328.24,C1285139783,553328.24,0.0,C2050267427,0.0,0.0
453,CASH_OUT,553328.24,C964493655,553328.24,0.0,C471673536,0.0,553328.24
453,CASH_OUT,55070.27,C251233228,25347.0,0.0,C1167634853,690893.42,745963.69
453,CASH_OUT,58681.9,C1358020954,0.0,0.0,C955514755,883272.58,941954.48
453,CASH_OUT,232044.4,C1367584150,0.0,0.0,C1762036219,1176641.44,1408685.84
453,CASH_OUT,48693.99,C10844488,0.0,0.0,C1292363067,222726.31,271420.3
453,CASH_OUT,63291.13,C1115712883,0.0,0.0,C975392653,1034559.09,1097850.22
453,CASH_IN,197669.5,C480612200,32214.0,229883.5,C475811072,0.0,0.0
453,PAYMENT,12666.71,C1350987383,73282.0,60615.29,M2067935766,0.0,0.0
453,CASH_OUT,181238.95,C988296184,13649.0,0.0,C933466523,79916.04,261155.0
