step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
712,TRANSFER,135977.23,C784866685,135977.23,0.0,C1057245798,0.0,0.0
712,CASH_OUT,135977.23,C1552242254,135977.23,0.0,C1103234396,314329.11,450306.34
712,CASH_IN,405956.86,C495378911,18334.0,424290.86,C1631923592,163655.19,0.0
712,TRANSFER,372703.48,C96988544,372703.48,0.0,C1886829961,0.0,0.0
712,CASH_OUT,372703.48,C1795832752,372703.48,0.0,C2097301606,14116.41,386819.89
712,CASH_IN,308540.56,C499857337,52728.0,361268.56,C543745318,1917140.42,1608599.87
712,PAYMENT,41989.01,C938059206,171398.0,129408.99,M226030934,0.0,0.0
712,CASH_OUT,503884.89,C924158194,9927.0,0.0,C1958112938,41056.25,544941.14
712,CASH_OUT,150226.9,C1931937622,133378.0,0.0,C1141955403,80239.41,230466.31
712,TRANSFER,6514.47,C1829047809,6514.47,0.0,C152722273,0.0,0.0
712,CASH_OUT,6514.47,C1710479946,6514.47,0.0,C940718761,893602.62,900117.09
712,TRANSFER,344886.44,C333316191,344886.44,0.0,C320679459,0.0,0.0
712,CASH_OUT,344886.44,C278939913,344886.44,0.0,C1448175879,99583.8,444470.25
712,TRANSFER,16514.64,C1427122202,16514.64,0.0,C420183005,0.0,0.0
712,CASH_OUT,16514.64,C776636792,16514.64,0.0,C1609425156,0.0,16514.64
712,CASH_OUT,482214.6,C1299556374,10175.0,0.0,C2044767829,591005.83,1073220.42
712,TRANSFER,367207.98,C1594841264,367207.98,0.0,C388733782,0.0,0.0
712,CASH_OUT,367207.98,C193723315,367207.98,0.0,C381883886,0.0,367207.98
712,PAYMENT,18576.84,C1911595763,9144.0,0.0,M296063427,0.0,0.0
712,CASH_OUT,6756.47,C877302175,134.0,0.0,C6101251,1245321.35,1252077.82
712,CASH_OUT,218504.41,C1623765702,11682.0,0.0,C753713661,149114.26,367618.67
712,CASH_IN,24329.02,C341533462,24457.0,48786.02,C1754910065,470320.05,445991.04
712,CASH_OUT,414085.77,C701350871,21956.0,0.0,C1439691774,446618.22,860703.99
