step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
80,TRANSFER,42659.39,C1702857614,42659.39,0.0,C952860391,0.0,0.0
80,CASH_OUT,42659.39,C73677947,42659.39,0.0,C1626691330,173558.43,216217.82
80,TRANSFER,173782.59,C517594835,173782.59,0.0,C1448192965,0.0,0.0
80,CASH_OUT,173782.59,C2085532500,173782.59,0.0,C1628486398,3272453.63,3446236.22
80,TRANSFER,62134.33,C1710515368,62134.33,0.0,C1582805529,0.0,0.0
80,CASH_OUT,62134.33,C1079384969,62134.33,0.0,C1087953881,509204.33,571338.66
80,TRANSFER,972920.87,C279538198,972920.87,0.0,C1842012952,0.0,0.0
80,CASH_OUT,972920.87,C427077444,972920.87,0.0,C1033887610,21030.1,993950.97
80,TRANSFER,244814.12,C2138181348,244814.12,0.0,C1608735206,0.0,0.0
80,CASH_OUT,244814.12,C696147355,244814.12,0.0,C1941798570,7106855.47,7351669.59
