step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
123,TRANSFER,6351930.74,C270791126,6351930.74,0.0,C1396625273,0.0,0.0
123,CASH_OUT,6351930.74,C1533359448,6351930.74,0.0,C794625601,475618.0,6827548.75
123,PAYMENT,3387.41,C846551163,79242.0,75854.59,M350249626,0.0,0.0
123,TRANSFER,629958.0,C465738897,629958.0,0.0,C289330473,0.0,0.0
123,CASH_OUT,629958.0,C1778361668,629958.0,0.0,C675358222,403252.79,1033210.79
123,TRANSFER,4289.18,C1901170304,4289.18,0.0,C1861343965,0.0,0.0
123,CASH_OUT,4289.18,C1714607746,4289.18,0.0,C1053125376,0.0,4289.18
123,PAYMENT,3145.46,C1763436737,10861.0,7715.54,M2111485219,0.0,0.0
123,PAYMENT,4471.15,C8524182,7715.54,3244.39,M1895059906,0.0,0.0
123,DEBIT,1103.83,C1176498941,21286.0,20182.17,C702129643,2092438.02,2093541.85
123,PAYMENT,7704.45,C1858348208,10178.0,2473.55,M2128254559,0.0,0.0
123,PAYMENT,3574.52,C754102791,21338.0,17763.48,M365114750,0.0,0.0
123,PAYMENT,2270.36,C1525510866,860.0,0.0,M1890545598,0.0,0.0
123,PAYMENT,593.6,C1240766758,24756.0,24162.4,M1167076771,0.0,0.0
123,CASH_OUT,45029.1,C1952099361,24162.4,0.0,C1938507824,791913.43,836942.52
123,CASH_OUT,190158.06,C2130964363,0.0,0.0,C671122352,644004.88,834162.94
123,CASH_OUT,35349.73,C307455204,0.0,0.0,C1277974610,77713.67,113063.4
123,CASH_OUT,321015.17,C1458224696,0.0,0.0,C1671290303,499203.93,820219.1
123,CASH_OUT,16943.32,C2003843936,0.0,0.0,C59480907,678235.22,695178.54
123,CASH_OUT,435959.94,C401604018,0.0,0.0,C1966066867,963444.99,1399404.93
123,CASH_OUT,167432.99,C512942063,0.0,0.0,C1697002056,418759.99,586192.97
123,CASH_OUT,228755.86,C487238011,0.0,0.0,C218193338,4373504.52,4602260.39
123,CASH_OUT,225307.38,C1800878721,0.0,0.0,C970592231,372093.95,597401.32
123,CASH_OUT,105280.98,C62736436,0.0,0.0,C1652252692,519608.01,624888.99
123,CASH_OUT,206982.2,C198738443,0.0,0.0,C741569434,948267.81,1155250.01
123,CASH_OUT,96739.97,C1137816442,0.0,0.0,C879673979,181874.95,278614.91
123,CASH_OUT,108464.56,C285215411,0.0,0.0,C1818981568,1237317.0,1345781.55
123,CASH_OUT,105059.44,C2014649423,0.0,0.0,C467311030,3514796.8,3619856.24
123,CASH_OUT,186871.75,C923931036,0.0,0.0,C2107867745,1635614.93,1822486.68
123,CASH_OUT,17219.23,C2039889511,0.0,0.0,C1810485579,421258.64,438477.87
123,CASH_OUT,78033.4,C1758652020,0.0,0.0,C1673277428,701685.41,779718.81
123,CASH_OUT,82933.61,C947218501,0.0,0.0,C802364222,3169504.04,3252437.65
123,CASH_OUT,235086.08,C525078566,0.0,0.0,C891818562,1418869.61,1653955.7
123,CASH_OUT,505859.95,C1466003630,0.0,0.0,C1506812066,824460.11,1330320.06
123,CASH_OUT,96832.53,C687857008,0.0,0.0,C1625444918,277357.64,374190.18
123,PAYMENT,360.72,C1004253034,11966.0,11605.28,M1147749655,0.0,0.0
123,PAYMENT,6421.82,C416393524,168.0,0.0,M1309926147,0.0,0.0
123,CASH_OUT,288861.22,C676701524,0.0,0.0,C784413770,582709.18,871570.39
123,CASH_OUT,79483.26,C639245492,0.0,0.0,C744582563,2182068.68,2261551.94
123,PAYMENT,306.6,C13110595,41022.0,40715.4,M1997610859,0.0,0.0
123,TRANSFER,1633825.58,C655275693,40715.4,0.0,C999510484,1851950.57,3485776.15
123,TRANSFER,892768.93,C634933382,0.0,0.0,C1852320864,3172356.41,4065125.35
123,TRANSFER,862569.79,C1706750827,0.0,0.0,C1162834272,1066889.01,1929458.81
123,TRANSFER,473166.39,C439309040,0.0,0.0,C2074784264,1077568.7,1550735.09
123,TRANSFER,466192.08,C1212560582,0.0,0.0,C678157696,7905207.2,8371399.28
123,TRANSFER,304787.69,C796725544,0.0,0.0,C525293289,725869.48,1030657.17
123,PAYMENT,7535.85,C502173191,67346.0,59810.15,M2100750232,0.0,0.0
123,PAYMENT,3019.56,C70192380,30253.0,27233.44,M1134344448,0.0,0.0
123,PAYMENT,9717.82,C711690690,27233.44,17515.61,M1621864752,0.0,0.0
123,PAYMENT,42881.42,C471800117,17515.61,0.0,M980281103,0.0,0.0
123,PAYMENT,6927.0,C1287539737,8097.0,1170.0,M1906398863,0.0,0.0
123,PAYMENT,3592.59,C353582911,1170.0,0.0,M1083438861,0.0,0.0
