step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
437,TRANSFER,101392.92,C1484407499,101392.92,0.0,C86900925,0.0,0.0
437,CASH_OUT,101392.92,C662060364,101392.92,0.0,C486861418,614050.05,715442.97
437,TRANSFER,8006429.04,C1764648235,8006429.04,0.0,C894097120,0.0,0.0
437,CASH_OUT,8006429.04,C761504463,8006429.04,0.0,C1857128616,0.0,8006429.04
437,TRANSFER,207801.38,C654688690,207801.38,0.0,C1092203712,0.0,0.0
437,CASH_OUT,207801.38,C823071811,207801.38,0.0,C747395830,0.0,207801.38
437,TRANSFER,16207.04,C730998900,16207.04,0.0,C1043597983,0.0,0.0
437,CASH_OUT,16207.04,C458723859,16207.04,0.0,C326321916,136857.72,153064.76
437,TRANSFER,4716.08,C316065946,4716.08,0.0,C900839253,0.0,0.0
437,CASH_OUT,4716.08,C1530035087,4716.08,0.0,C2051847630,551191.68,555907.76
437,TRANSFER,119041.12,C1641625877,119041.12,0.0,C156225699,0.0,0.0
437,CASH_OUT,119041.12,C1186588727,119041.12,0.0,C1803677930,1755159.6,1874200.73
437,TRANSFER,367364.8,C1645177442,367364.8,0.0,C1573230375,0.0,0.0
437,CASH_OUT,367364.8,C715754415,367364.8,0.0,C335051358,43049.23,410414.03
437,TRANSFER,3200270.32,C42995326,3200270.32,0.0,C1947251824,0.0,0.0
437,CASH_OUT,3200270.32,C199337547,3200270.32,0.0,C915485442,2000017.66,5200287.99
