step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
419,CASH_OUT,148289.16,C927329782,111.0,0.0,C884452399,1783262.99,1931552.15
419,PAYMENT,28885.66,C946725347,57011.0,28125.34,M1388918017,0.0,0.0
419,CASH_OUT,386150.39,C1081029148,49501.0,0.0,C1533144449,51473.19,437623.58
419,CASH_OUT,179279.7,C1482513850,59205.0,0.0,C17382627,0.0,179279.7
419,PAYMENT,154386.3,C266919339,31149.0,0.0,M345145450,0.0,0.0
419,PAYMENT,29762.43,C768913206,0.0,0.0,M525764539,0.0,0.0
419,PAYMENT,64048.13,C1444549759,3.0,0.0,M1443581702,0.0,0.0
419,PAYMENT,14925.75,C1588525038,1581.0,0.0,M1978583263,0.0,0.0
419,CASH_OUT,129992.85,C1934726129,32642.0,0.0,C548148835,62695.89,192688.73
419,CASH_OUT,302847.9,C2133758434,5048.0,0.0,C423195758,2420798.92,2723646.81
419,PAYMENT,5240.13,C1444284526,0.0,0.0,M1438489155,0.0,0.0
419,PAYMENT,7536.77,C713835806,0.0,0.0,M556167212,0.0,0.0
419,PAYMENT,38310.78,C1200965918,20920.0,0.0,M2118364205,0.0,0.0
419,DEBIT,670.07,C909091406,280.0,0.0,C1024665040,547790.78,548460.86
419,CASH_OUT,114504.94,C605688759,81.0,0.0,C435242045,0.0,114504.94
419,PAYMENT,6605.93,C1227514771,0.0,0.0,M720079967,0.0,0.0
419,PAYMENT,14220.0,C1637709470,0.0,0.0,M359548593,0.0,0.0
419,CASH_OUT,321912.61,C256022900,51111.0,0.0,C1489281324,51089.15,373001.76
419,PAYMENT,30715.38,C2034070967,0.0,0.0,M1931400584,0.0,0.0
419,CASH_IN,28249.27,C346181268,60187.0,88436.27,C1076636448,671008.82,642759.55
419,PAYMENT,49438.39,C263253069,88436.27,38997.87,M498249921,0.0,0.0
419,CASH_OUT,60108.12,C411403370,63207.0,3098.88,C1976559386,0.0,60108.12
419,TRANSFER,91799.8,C517324544,137.0,0.0,C1438873745,0.0,91799.8
419,PAYMENT,66855.11,C378534419,100947.0,34091.89,M515077307,0.0,0.0
419,CASH_IN,5507.66,C706807251,219.0,5726.66,C181222341,1793439.8,1787932.15
419,PAYMENT,16601.25,C423596584,5726.66,0.0,M1879682174,0.0,0.0
419,CASH_OUT,116601.57,C1973033064,2748.0,0.0,C1849213436,0.0,116601.57
419,PAYMENT,5197.65,C1471648917,0.0,0.0,M855437977,0.0,0.0
419,CASH_OUT,16238.75,C262914788,15257.0,0.0,C1545967470,78419.2,94657.94
419,CASH_OUT,134468.15,C718783009,5866.0,0.0,C1418126774,1.43555428E7,1.449001094E7
419,TRANSFER,677285.87,C1102047442,19872.0,0.0,C1071187156,0.0,677285.87
419,CASH_IN,122986.04,C336769604,10853.0,133839.04,C741992530,0.0,0.0
419,PAYMENT,33157.77,C1174404800,133839.04,100681.27,M1370352276,0.0,0.0
419,CASH_IN,361138.18,C1870295307,64842.0,425980.18,C252181063,145000.79,0.0
419,TRANSFER,339638.33,C1861971506,50031.0,0.0,C724045113,4199510.31,4539148.65
419,PAYMENT,113950.52,C1422431443,760.0,0.0,M1779379604,0.0,0.0
419,CASH_OUT,146288.11,C1447164919,1920.0,0.0,C1916509972,0.0,146288.11
419,TRANSFER,85280.87,C1669240307,116433.0,31152.13,C1937054206,1.488458149E7,1.496986236E7
419,CASH_OUT,98299.0,C1929444163,22018.0,0.0,C586410306,0.0,98299.0
419,PAYMENT,34640.85,C1617959738,5263.0,0.0,M959957632,0.0,0.0
419,PAYMENT,74521.72,C779157848,20706.0,0.0,M1524579638,0.0,0.0
419,CASH_IN,212564.18,C982930588,20982.0,233546.18,C1152750485,1713065.57,1500501.39
419,CASH_OUT,15731.94,C1039329924,20309.0,4577.06,C2026366436,0.0,15731.94
419,PAYMENT,54517.85,C456083363,4577.06,0.0,M951779197,0.0,0.0
419,PAYMENT,67788.56,C813723202,2761.0,0.0,M436999196,0.0,0.0
419,PAYMENT,24802.42,C2071939745,0.0,0.0,M340853668,0.0,0.0
419,PAYMENT,94939.74,C655400210,2846.0,0.0,M1564918040,0.0,0.0
419,CASH_OUT,319176.95,C1550692947,83105.0,0.0,C703169047,1882327.66,2201504.62
419,TRANSFER,370687.01,C1077790297,59336.0,0.0,C173095525,800.72,371487.73
419,CASH_OUT,62911.43,C1667640129,20036.0,0.0,C864224951,0.0,62911.43
419,CASH_IN,249735.57,C147023924,58241.0,307976.57,C357724187,4236995.37,3987259.8
419,TRANSFER,204736.21,C965586005,307976.57,103240.36,C1224658298,1452121.95,1656858.16
419,CASH_OUT,79661.76,C397191731,61902.0,0.0,C123376876,0.0,79661.76
419,CASH_OUT,297547.14,C1170388900,19895.0,0.0,C1155224105,942945.98,1240493.12
419,CASH_IN,45445.26,C1456731616,31433.0,76878.26,C1752013909,1046441.49,1000996.23
419,CASH_IN,244003.39,C40371307,22907.0,266910.39,C586825409,69171.1,0.0
419,TRANSFER,244748.18,C1894243111,331648.0,86899.82,C504537239,1.048277515E7,1.072752333E7
419,CASH_IN,47929.48,C549989640,22492.0,70421.48,C716212251,0.0,0.0
419,CASH_OUT,249438.62,C1778233348,32188.0,0.0,C931380675,0.0,249438.62
419,PAYMENT,31727.16,C729070092,49705.0,17977.84,M1703174822,0.0,0.0
419,PAYMENT,46587.16,C80065395,269.0,0.0,M12344959,0.0,0.0
419,CASH_IN,288799.49,C244719806,0.0,288799.49,C232367596,3635615.34,3346815.85
419,CASH_IN,99166.78,C1220670104,288799.49,387966.28,C2017262035,102681.7,3514.91
419,CASH_IN,48584.82,C1639354072,387966.28,436551.1,C742533345,445513.24,396928.42
419,CASH_IN,313657.71,C52128567,436551.1,750208.81,C1776474881,430803.28,117145.57
419,CASH_IN,188053.54,C1018640442,750208.81,938262.35,C1606864073,796840.23,608786.69
419,CASH_IN,378580.75,C2074429446,938262.35,1316843.11,C1043447745,2100967.09,1722386.33
419,CASH_IN,75399.26,C783342052,1316843.11,1392242.36,C1858023673,118390.32,42991.06
419,CASH_IN,85558.35,C1990872534,1392242.36,1477800.71,C143683095,715203.61,629645.26
419,CASH_IN,146564.51,C1943657937,1477800.71,1624365.22,C1242970304,415414.73,268850.22
419,CASH_IN,99999.44,C585977556,1624365.22,1724364.66,C213874813,574096.68,474097.23
419,CASH_IN,183887.99,C171629716,1724364.66,1908252.66,C1185247390,2114441.09,1930553.09
419,CASH_IN,202148.78,C786097400,1908252.66,2110401.43,C497118911,263748.8,61600.02
419,CASH_IN,45323.53,C324043687,2110401.43,2155724.97,C1755530612,204105.75,158782.22
419,CASH_IN,34181.25,C1526981879,2155724.97,2189906.21,C1453063539,548385.14,514203.89
419,CASH_IN,239665.83,C117525887,2189906.21,2429572.04,C202031492,557298.5,317632.68
