step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
162,PAYMENT,12211.4,C1800339421,134426.0,122214.6,M1916241524,0.0,0.0
162,PAYMENT,21042.41,C478218188,23257.0,2214.59,M21924206,0.0,0.0
162,CASH_OUT,230371.01,C501362317,2214.59,0.0,C2100727049,383352.12,613723.13
162,PAYMENT,6816.07,C1403522915,40545.0,33728.93,M1199824317,0.0,0.0
162,PAYMENT,8620.25,C854800858,33728.93,25108.67,M1047134031,0.0,0.0
162,PAYMENT,15873.24,C766061814,2172.0,0.0,M1948148427,0.0,0.0
162,PAYMENT,341.23,C1594407035,21264.0,20922.77,M778741586,0.0,0.0
162,CASH_OUT,411528.03,C1245765877,642.0,0.0,C370657307,1095360.6,1506888.63
162,CASH_OUT,153592.36,C1305467724,13868.0,0.0,C1393436527,0.0,153592.36
162,CASH_OUT,227719.43,C1461610990,2136.0,0.0,C1425586811,43443.86,271163.29
162,PAYMENT,19660.81,C750064744,343866.0,324205.19,M1639915075,0.0,0.0
162,CASH_IN,365436.45,C1377418371,42362.0,407798.45,C712633021,0.0,0.0
162,TRANSFER,306974.37,C1986850359,86375.0,0.0,C17449735,0.0,306974.37
162,CASH_IN,428996.27,C1929294534,10174.0,439170.27,C1077188653,661687.88,232691.6
162,PAYMENT,9222.12,C1797978076,439170.27,429948.15,M1959310238,0.0,0.0
162,PAYMENT,23581.08,C1699014246,429948.15,406367.07,M1655373962,0.0,0.0
162,TRANSFER,944042.02,C1585684244,9916.0,0.0,C936487058,1013224.05,1957266.07
162,CASH_OUT,22814.99,C1868989209,11150.0,0.0,C830832722,3124824.59,3147639.58
162,PAYMENT,27319.85,C760430405,0.0,0.0,M390518069,0.0,0.0
162,CASH_OUT,373637.52,C1434424310,999600.0,625962.48,C2122119285,715583.09,1089220.62
162,PAYMENT,13229.6,C249211915,625962.48,612732.87,M977732482,0.0,0.0
162,CASH_OUT,81254.93,C461997698,63856.98,0.0,C808857889,0.0,81254.93
162,TRANSFER,633360.19,C851465766,0.0,0.0,C965752582,4631029.0,5264389.19
162,CASH_OUT,36093.45,C1763778177,52971.0,16877.55,C7295295,386917.77,423011.22
162,PAYMENT,4958.06,C1811438388,16877.55,11919.48,M1016229215,0.0,0.0
162,PAYMENT,8445.82,C215186829,11919.48,3473.66,M1835515776,0.0,0.0
162,CASH_IN,143916.12,C1148152035,199256.0,343172.12,C1285608374,153.99,0.0
162,PAYMENT,21373.07,C1798835620,343172.12,321799.05,M2089826907,0.0,0.0
162,CASH_OUT,195386.59,C744165878,20007.0,0.0,C2006584320,0.0,195386.59
162,CASH_OUT,222844.62,C323767534,0.0,0.0,C134651994,9570034.79,9792879.41
162,CASH_OUT,42131.93,C942814734,0.0,0.0,C249077373,889729.98,931861.91
162,PAYMENT,13562.96,C1166905777,411774.0,398211.04,M833485911,0.0,0.0
162,CASH_OUT,2564.66,C1089990064,19257.0,16692.34,C1122564329,0.0,2564.66
162,CASH_OUT,271302.75,C1776034278,110431.0,0.0,C1407326325,0.0,271302.75
162,PAYMENT,38843.51,C1081419125,14200.0,0.0,M509879912,0.0,0.0
162,CASH_OUT,139610.92,C1627509369,15765.0,0.0,C1536500103,0.0,139610.92
162,CASH_OUT,166352.22,C1775897774,0.0,0.0,C2008824668,295800.12,650155.12
162,CASH_OUT,208493.58,C7193197,0.0,0.0,C389629197,323775.4,532268.98
162,CASH_OUT,186155.59,C1057354606,16803.0,0.0,C108195160,370216.17,556371.76
162,CASH_OUT,51302.69,C1350073581,70122.0,18819.31,C1798726475,0.0,51302.69
162,PAYMENT,31533.71,C1778296112,15041.0,0.0,M133065928,0.0,0.0
162,TRANSFER,843215.32,C392192472,0.0,0.0,C1873264520,858386.57,1701601.89
162,TRANSFER,1110803.01,C82639053,3570.0,0.0,C1531218943,181981.61,1639975.97
162,CASH_OUT,295178.72,C405215813,200909.0,0.0,C976074852,525785.13,820963.85
162,DEBIT,2553.65,C1817947557,43291.0,40737.35,C1464755463,53721.58,56275.23
162,CASH_IN,178257.39,C2023845719,15128.0,193385.39,C1838850108,129969.16,0.0
162,CASH_OUT,53434.04,C459852318,21077.0,0.0,C2022307426,83536.33,136970.38
162,CASH_OUT,90357.52,C993857028,26420.0,0.0,C1387138493,13841.07,104198.59
162,PAYMENT,31427.45,C180005443,20915.0,0.0,M2039654292,0.0,0.0
162,PAYMENT,10284.36,C620214914,0.0,0.0,M2011811126,0.0,0.0
162,PAYMENT,19963.61,C685672762,10224.0,0.0,M1142695346,0.0,0.0
162,CASH_OUT,33872.46,C1562813465,80961.0,47088.54,C1579799087,0.0,33872.46
162,TRANSFER,659611.8,C1679774454,5053.0,0.0,C708514605,1474930.72,2386277.01
162,CASH_OUT,123531.77,C945061910,21613.0,0.0,C1514304014,0.0,123531.77
162,CASH_IN,324416.29,C499122971,9615.0,334031.29,C1278598732,301846.7,0.0
162,TRANSFER,57575.87,C1974368982,334031.29,276455.42,C2119151965,1739022.68,1796598.56
162,CASH_OUT,20656.22,C1798835831,1963.0,0.0,C60875692,2009667.71,2030323.93
162,CASH_IN,56381.36,C2012247862,41711.0,98092.36,C1212857076,15235.15,0.0
