step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
299,PAYMENT,37688.1,C1947017553,10.0,0.0,M1655561857,0.0,0.0
299,TRANSFER,470418.44,C1156794332,2917.0,0.0,C743930456,0.0,470418.44
299,PAYMENT,58070.01,C1530679685,49605.0,0.0,M1185342490,0.0,0.0
299,CASH_OUT,302795.21,C1249076121,147072.0,0.0,C312347398,335416.55,638211.76
299,PAYMENT,16343.13,C341840044,176382.0,160038.87,M770300892,0.0,0.0
299,PAYMENT,72581.5,C1545497679,4566.0,0.0,M220242942,0.0,0.0
299,CASH_OUT,416581.03,C433141638,88084.0,0.0,C1473869055,0.0,416581.03
299,TRANSFER,677504.58,C2055551067,1176.0,0.0,C1732129546,5165.15,682669.72
299,PAYMENT,7600.9,C1431723856,131.0,0.0,M1566648663,0.0,0.0
299,CASH_OUT,260962.88,C1302091898,147648.0,0.0,C850704287,879426.67,1140389.56
299,PAYMENT,66719.39,C512292466,0.0,0.0,M2034468396,0.0,0.0
299,PAYMENT,19279.44,C767308738,0.0,0.0,M38596999,0.0,0.0
299,CASH_OUT,118654.92,C1529785562,160916.0,42261.08,C1686744944,6239.1,124894.02
299,CASH_OUT,183613.66,C1043936117,139.0,0.0,C304490980,0.0,183613.66
299,CASH_OUT,223950.77,C1918317907,511625.0,287674.23,C1249002087,20403.29,244354.07
299,CASH_OUT,4073.52,C401748567,11404.0,7330.48,C1189861498,1.012377115E7,1.012784466E7
299,CASH_OUT,351456.71,C966001679,50636.0,0.0,C387438093,93406.43,444863.14
299,PAYMENT,8882.61,C1321286355,244085.0,235202.39,M100103157,0.0,0.0
299,CASH_IN,285446.49,C51485078,163.0,285609.49,C1849542656,1705712.38,1420265.89
299,CASH_OUT,181172.88,C440156551,32525.0,0.0,C1473708036,113942.11,295114.98
299,CASH_OUT,200248.54,C1575810993,2047.0,0.0,C1968832780,106895.81,307144.35
299,CASH_OUT,195197.85,C1664769826,12310.0,0.0,C1805489932,0.0,195197.85
299,CASH_OUT,23870.99,C1827186682,0.0,0.0,C863270765,1276849.92,1300720.91
299,PAYMENT,21767.58,C337699737,16082.0,0.0,M785113043,0.0,0.0
299,CASH_OUT,175502.24,C532239975,0.0,0.0,C1686145531,674401.96,849904.2
299,CASH_OUT,109167.6,C910681373,41962.0,0.0,C2119465452,0.0,109167.6
299,PAYMENT,29113.37,C636019815,51642.0,22528.63,M1437438542,0.0,0.0
299,CASH_IN,410083.65,C15924466,106001.0,516084.65,C1425356568,1413727.88,1003644.23
299,PAYMENT,39159.95,C152346364,516084.65,476924.71,M1807587429,0.0,0.0
299,PAYMENT,32556.41,C1388009662,725.0,0.0,M1161378679,0.0,0.0
299,CASH_IN,244575.72,C1761062482,7440.0,252015.72,C1885040101,130525.91,0.0
299,CASH_IN,252699.99,C1871605145,26144.0,278843.99,C1437729907,485482.75,232782.75
299,CASH_OUT,105201.11,C1744352894,45472.0,0.0,C1807060794,1459622.2,1564823.31
299,CASH_IN,1951.02,C1805048693,63806.0,65757.02,C442126572,394551.53,392600.51
299,PAYMENT,8924.35,C1053195627,20066.0,11141.65,M574111119,0.0,0.0
299,PAYMENT,28911.66,C13710576,11141.65,0.0,M1572936428,0.0,0.0
299,CASH_IN,28347.54,C1356925210,76067.0,104414.54,C1806783136,1035026.91,1006679.37
299,PAYMENT,7943.86,C869696204,104414.54,96470.67,M984172274,0.0,0.0
299,CASH_IN,169599.38,C1869229361,450151.0,619750.38,C1825921591,1576518.07,1406918.69
299,PAYMENT,17177.91,C924532767,604170.0,586992.09,M811361490,0.0,0.0
299,CASH_IN,208747.67,C1085422333,25017.0,233764.67,C298389966,32488.09,0.0
299,PAYMENT,41732.74,C2114946175,13217.0,0.0,M335095833,0.0,0.0
299,PAYMENT,3356.13,C1087419456,5075.0,1718.87,M300161909,0.0,0.0
299,PAYMENT,88.43,C332028234,8258.0,8169.57,M1227428554,0.0,0.0
299,CASH_IN,288410.35,C203345179,533.0,288943.35,C1461287482,1565866.47,1277456.12
299,CASH_IN,88653.89,C1032867934,141696.0,230349.89,C328091885,223619.73,134965.84
299,PAYMENT,28294.96,C2085707439,230349.89,202054.93,M2104474797,0.0,0.0
299,CASH_OUT,71718.84,C123981838,8094.0,0.0,C894510486,15614.81,87333.65
299,CASH_OUT,67484.52,C953049628,0.0,0.0,C34788465,124944.26,192428.78
299,TRANSFER,2430819.0,C1310521228,9815.0,0.0,C2023592779,131344.75,2562163.75
299,TRANSFER,248918.61,C1318498358,0.0,0.0,C1771032441,478161.03,727079.64
299,PAYMENT,10835.15,C1466755658,11427.0,591.85,M477735993,0.0,0.0
299,PAYMENT,16145.35,C904960173,3134.0,0.0,M1318881573,0.0,0.0
299,CASH_IN,27830.26,C2115109894,50051.0,77881.26,C594177405,0.0,0.0
299,CASH_OUT,534673.03,C802908057,77881.26,0.0,C1641273008,1.489654287E7,1.54312159E7
299,CASH_OUT,351186.06,C509585215,14834.0,0.0,C372150551,2976352.79,3327538.85
299,TRANSFER,2765046.71,C874561648,17744.0,0.0,C498969639,3125890.01,5890936.71
299,PAYMENT,19477.25,C1518125254,0.0,0.0,M779060159,0.0,0.0
299,TRANSFER,786946.11,C1298837266,28070.0,0.0,C388560913,0.0,786946.11
299,PAYMENT,1089.71,C2138822031,0.0,0.0,M1136476246,0.0,0.0
299,PAYMENT,25817.73,C287130085,0.0,0.0,M160923371,0.0,0.0
299,TRANSFER,431723.0,C677447163,47883.0,0.0,C1921517742,0.0,431723.0
299,CASH_OUT,19558.9,C24596305,156322.0,136763.1,C1501256847,0.0,19558.9
299,PAYMENT,9128.29,C2048795891,136763.1,127634.81,M1221361021,0.0,0.0
299,TRANSFER,2534673.55,C1755506498,13954.0,0.0,C1174556880,31810.24,2566483.79
299,CASH_OUT,128356.31,C1402216640,3417.0,0.0,C363568484,0.0,128356.31
299,PAYMENT,49798.28,C1487319037,0.0,0.0,M1940526593,0.0,0.0
299,CASH_OUT,51253.25,C206403521,15401.0,0.0,C1583870707,383453.53,434706.79
299,CASH_OUT,124964.52,C2116928680,15762.0,0.0,C1800452035,2610612.72,2735577.24
299,PAYMENT,21877.74,C328811991,0.0,0.0,M815813563,0.0,0.0
299,CASH_OUT,172784.97,C1463077137,51335.0,0.0,C1654926708,0.0,172784.97
299,CASH_OUT,224947.85,C1202479067,30290.0,0.0,C1011526202,5639663.57,5864611.42
299,CASH_OUT,473368.85,C507649284,0.0,0.0,C1849893097,2658777.84,3132146.69
299,PAYMENT,63915.74,C751675644,11601.0,0.0,M1572896821,0.0,0.0
299,CASH_IN,105866.48,C2025279185,232536.0,338402.48,C1057235515,0.0,0.0
299,PAYMENT,24863.87,C1981007614,112.0,0.0,M928520840,0.0,0.0
299,CASH_IN,265992.92,C1849750910,5017.0,271009.92,C381333869,0.0,0.0
299,CASH_OUT,31340.68,C751038369,271009.92,239669.24,C536153315,4760300.7,4791641.38
299,CASH_IN,122677.31,C1150281969,7022.0,129699.31,C1957341225,9518.79,0.0
299,PAYMENT,38111.16,C871638706,129699.31,91588.15,M1526124215,0.0,0.0
299,CASH_IN,163343.96,C1778093231,203303.0,366646.96,C699473379,2012302.14,1848958.18
299,CASH_OUT,114817.88,C1384655105,3855.0,0.0,C1108644327,1049110.64,1163928.52
299,PAYMENT,42284.96,C1088111700,12555.0,0.0,M741652878,0.0,0.0
299,PAYMENT,45839.33,C421516883,19650.0,0.0,M172762192,0.0,0.0
299,CASH_OUT,362762.95,C271530153,82132.0,0.0,C1624939483,1196653.07,1559416.02
299,CASH_OUT,278559.25,C425597931,133118.0,0.0,C801692378,39965.51,318524.76
299,PAYMENT,15911.14,C2123693021,0.0,0.0,M361840379,0.0,0.0
299,PAYMENT,37638.98,C2089985680,0.0,0.0,M368737194,0.0,0.0
299,PAYMENT,16973.33,C1281958107,612842.0,595868.67,M1351858507,0.0,0.0
299,PAYMENT,12665.24,C962343919,595868.67,583203.44,M2143107141,0.0,0.0
299,CASH_IN,175767.97,C2052567185,37429.0,213196.97,C431053059,208348.39,32580.42
299,CASH_IN,133161.97,C935528305,205978.0,339139.97,C1331487668,0.0,0.0
299,PAYMENT,44034.24,C1876465965,19913.0,0.0,M2041707395,0.0,0.0
299,CASH_OUT,126519.93,C1051008796,2988.0,0.0,C1821320595,0.0,126519.93
299,PAYMENT,13606.26,C301104950,0.0,0.0,M977837524,0.0,0.0
299,PAYMENT,7112.46,C1288897789,0.0,0.0,M1511567236,0.0,0.0
299,PAYMENT,27611.38,C1485926462,0.0,0.0,M650764485,0.0,0.0
299,PAYMENT,72138.67,C1927932941,0.0,0.0,M1838287195,0.0,0.0
299,PAYMENT,20339.25,C1045533783,0.0,0.0,M1467450512,0.0,0.0
299,PAYMENT,25723.15,C1791198199,0.0,0.0,M400983845,0.0,0.0
299,PAYMENT,1284.45,C623332002,0.0,0.0,M1319045522,0.0,0.0
299,PAYMENT,16834.47,C943056781,0.0,0.0,M457805825,0.0,0.0
299,CASH_OUT,42679.56,C77900688,62.0,0.0,C1483387479,1419702.83,1462382.39
299,CASH_IN,6936.11,C851566863,0.0,6936.11,C847347611,17227.54,10291.43
299,CASH_IN,370589.04,C627011925,6936.11,377525.15,C556526246,5281866.62,4911277.58
299,CASH_IN,192022.2,C1916871783,377525.15,569547.34,C928432073,277807.68,85785.49
299,CASH_IN,266398.31,C1402530196,569547.34,835945.66,C1864834930,437269.57,170871.26
299,CASH_IN,89403.79,C1861002097,835945.66,925349.45,C506889403,100563.37,11159.57
299,CASH_IN,311170.89,C820486688,925349.45,1236520.34,C447841056,1168976.84,857805.95
