step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
355,CASH_OUT,100348.35,C847965921,1134.0,0.0,C1157054107,0.0,100348.35
355,TRANSFER,98234.09,C1546215875,0.0,0.0,C1262204758,335467.19,433701.28
355,CASH_IN,189403.06,C355466879,530530.0,719933.06,C671543393,7335930.17,7146527.11
355,PAYMENT,7527.25,C1156349989,852696.0,845168.75,M561288127,0.0,0.0
355,CASH_IN,47684.24,C910477611,10891.0,58575.24,C1591159885,1163293.53,1115609.28
355,CASH_IN,498259.3,C1559369114,5727.0,503986.3,C1048923726,626308.63,128049.33
355,PAYMENT,2397.31,C2084526985,10125.0,7727.69,M2035537626,0.0,0.0
355,PAYMENT,5201.49,C1766741322,7727.69,2526.2,M635228988,0.0,0.0
355,PAYMENT,6733.52,C599336733,2526.2,0.0,M1144770742,0.0,0.0
355,PAYMENT,1494.79,C1598302590,16191.0,14696.21,M482497689,0.0,0.0
355,PAYMENT,3570.87,C1982400979,203833.0,200262.13,M1821231552,0.0,0.0
355,PAYMENT,22550.26,C318505718,200262.13,177711.87,M471132844,0.0,0.0
355,CASH_OUT,34104.97,C583868268,34464.0,359.03,C333830152,267533.37,301638.34
355,CASH_OUT,30652.08,C546046268,148863.0,118210.92,C851934220,0.0,30652.08
355,CASH_OUT,25824.85,C1377131625,118210.92,92386.07,C1432866884,3361253.54,3387078.38
355,CASH_IN,144917.62,C1777310989,206301.0,351218.62,C1238281013,0.0,0.0
355,TRANSFER,158794.48,C588499235,293.0,0.0,C484182297,204755.4,363549.88
355,CASH_OUT,148613.51,C1675012508,100079.0,0.0,C1433748573,170467.02,319080.53
355,CASH_IN,97106.46,C467158939,5618.0,102724.46,C207859259,387981.59,290875.14
355,CASH_OUT,527546.75,C239773208,21034.0,0.0,C1533208609,460994.8,988541.56
355,PAYMENT,6523.68,C866987043,0.0,0.0,M1709304195,0.0,0.0
355,CASH_IN,184590.04,C1012702779,9064.0,193654.04,C1653806806,7772591.9,7588001.86
355,PAYMENT,3649.92,C1736279502,193654.04,190004.11,M1030451510,0.0,0.0
355,PAYMENT,2005.82,C1470905065,112146.0,110140.18,M265931617,0.0,0.0
355,CASH_IN,284856.67,C67202209,46962.0,331818.67,C948317430,69387.79,0.0
355,PAYMENT,14468.54,C1644519382,10708.0,0.0,M1422416397,0.0,0.0
355,CASH_OUT,102001.58,C361431350,10494.0,0.0,C836478507,168843.88,270845.46
355,CASH_OUT,14113.27,C442499906,938785.0,924671.73,C582995560,1061354.06,1075467.34
355,CASH_OUT,132049.26,C1389560887,122.0,0.0,C1597203672,843114.73,975163.99
355,TRANSFER,1286657.59,C1146958930,54740.0,0.0,C340601889,0.0,1286657.59
355,TRANSFER,1006171.52,C160567134,0.0,0.0,C1083467275,1594198.68,2600370.2
355,CASH_OUT,61662.61,C326264637,7082.0,0.0,C605849708,230612.32,292274.94
355,PAYMENT,6411.46,C1506425816,24993.0,18581.54,M1956150039,0.0,0.0
355,CASH_OUT,243360.95,C1844011557,133205.0,0.0,C924397763,0.0,243360.95
355,CASH_OUT,83297.1,C1839381290,90685.0,7387.9,C1744617229,2628912.85,2712209.95
355,CASH_OUT,96586.55,C1698580925,314063.0,217476.45,C2072704152,0.0,96586.55
355,CASH_OUT,87755.76,C1388955342,217476.45,129720.69,C1706482363,1317264.07,1405019.83
355,CASH_OUT,26433.17,C1956081400,49898.0,23464.83,C1394422855,0.0,26433.17
355,CASH_IN,7641.45,C202698923,30275.0,37916.45,C63095423,20615.03,12973.58
355,CASH_OUT,128306.06,C468726581,7055.0,0.0,C1334522948,358030.03,486336.09
355,CASH_OUT,268673.56,C127105331,79613.0,0.0,C1989746310,3009489.1,3278162.66
355,CASH_OUT,119715.04,C1220290455,63836.0,0.0,C1694822646,0.0,119715.04
355,CASH_IN,318525.6,C1661343619,20512.0,339037.6,C984652783,222606.82,0.0
355,PAYMENT,8750.21,C2046159181,339037.6,330287.4,M1706249633,0.0,0.0
355,CASH_IN,145186.88,C1285180959,353081.0,498267.88,C824671171,0.0,0.0
355,CASH_OUT,177730.76,C527692288,21518.0,0.0,C34850391,476928.92,654659.67
355,PAYMENT,15035.79,C1234882338,49517.0,34481.21,M909860341,0.0,0.0
355,TRANSFER,909643.35,C676267931,13971.0,0.0,C1344171466,0.0,909643.35
355,CASH_OUT,35209.59,C673973088,41655.0,6445.41,C254615055,518766.56,553976.15
355,PAYMENT,7295.43,C928004760,6445.41,0.0,M1533545842,0.0,0.0
355,PAYMENT,4732.05,C197896795,0.0,0.0,M1135906625,0.0,0.0
355,PAYMENT,23036.43,C1963387221,462718.0,439681.57,M1847486746,0.0,0.0
355,PAYMENT,5547.99,C944873456,439681.57,434133.58,M1610142012,0.0,0.0
355,PAYMENT,18603.5,C494327767,70269.0,51665.5,M4008922,0.0,0.0
355,CASH_OUT,89970.55,C875006514,20148.0,0.0,C1998731408,4060878.95,4150849.49
355,CASH_IN,103231.3,C768593083,52315.0,155546.3,C1562406405,0.0,0.0
355,CASH_OUT,138983.13,C103579322,99507.0,0.0,C2059906887,1177928.0,1316911.13
355,CASH_IN,188435.59,C1864824414,871.0,189306.59,C1240731915,2073491.77,1885056.18
355,CASH_OUT,23995.2,C1733855122,48470.0,24474.8,C704534056,0.0,23995.2
355,CASH_OUT,173650.97,C874587606,24474.8,0.0,C346053425,3962349.92,4136000.9
355,CASH_OUT,197502.93,C1360876614,149377.0,0.0,C871961680,0.0,197502.93
355,CASH_OUT,120382.81,C156359741,21719.0,0.0,C929516253,95660.82,216043.62
355,CASH_OUT,75490.21,C706129554,9948.0,0.0,C776966420,1010803.39,1086293.6
355,CASH_OUT,22329.11,C388247955,10451.0,0.0,C648631117,145611.8,167940.91
355,CASH_IN,35561.61,C748742741,565.0,36126.61,C980978301,19754.9,0.0
355,CASH_OUT,152562.82,C731343304,36126.61,0.0,C1744288133,3310669.21,3463232.03
355,CASH_OUT,12800.21,C879370262,0.0,0.0,C64739270,1359218.94,1372019.15
355,CASH_OUT,146687.92,C49555361,0.0,0.0,C1704810793,468758.47,615446.39
355,CASH_OUT,191560.64,C691897834,0.0,0.0,C770353519,4505369.28,4696929.92
355,CASH_OUT,25688.72,C972320812,0.0,0.0,C307165906,210086.51,235775.22
355,CASH_OUT,201984.07,C1559989652,0.0,0.0,C560041895,5608733.52,5810717.6
355,CASH_OUT,378410.16,C2140233861,0.0,0.0,C1268272826,5554021.69,5932431.84
355,CASH_OUT,250268.31,C977713224,0.0,0.0,C147506103,2189094.34,2439362.66
355,CASH_OUT,19868.9,C548002364,0.0,0.0,C657087547,364707.59,384576.48
355,CASH_OUT,336905.15,C549352592,0.0,0.0,C80259926,703354.37,1040259.52
355,CASH_OUT,45810.35,C1415556426,0.0,0.0,C2037671061,420089.0,465899.36
355,CASH_OUT,54316.2,C1540676465,0.0,0.0,C1013959080,2.099718028E7,2.105149647E7
355,CASH_OUT,148251.09,C893555213,0.0,0.0,C968449637,4863097.16,5011348.25
355,CASH_OUT,2433.77,C1720412865,0.0,0.0,C250910816,3227028.5,3229462.27
355,CASH_OUT,27002.45,C1326952103,0.0,0.0,C1024165292,110281.36,137283.8
355,CASH_OUT,66012.47,C853928807,0.0,0.0,C1665084602,164097.36,230109.82
355,CASH_OUT,55322.79,C328648140,0.0,0.0,C1434967292,303739.21,359062.0
355,CASH_OUT,32412.29,C779511837,0.0,0.0,C1667929425,81408.96,113821.25
355,CASH_OUT,126773.71,C1550223842,0.0,0.0,C95309958,974021.48,1100795.2
355,CASH_OUT,162904.42,C1103495130,0.0,0.0,C58409521,472446.39,635350.8
355,CASH_OUT,152469.04,C1683552907,0.0,0.0,C1850121037,1458869.02,1611338.06
355,CASH_OUT,210316.55,C2037600413,0.0,0.0,C359523673,331226.24,541542.8
355,CASH_OUT,362954.66,C296943560,0.0,0.0,C1458190684,2.272134816E7,2.308430282E7
355,CASH_OUT,173338.84,C2137516299,11321.0,0.0,C338443262,789697.23,963036.07
355,CASH_IN,1890.86,C1556666574,3606.0,5496.86,C1443393006,0.0,0.0
355,PAYMENT,1177.16,C1063029874,5496.86,4319.7,M966158574,0.0,0.0
355,PAYMENT,12098.78,C2038034790,4319.7,0.0,M1676494895,0.0,0.0
355,PAYMENT,2052.91,C948528956,0.0,0.0,M852666843,0.0,0.0
355,PAYMENT,11865.34,C68586534,0.0,0.0,M229834939,0.0,0.0
