step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
348,CASH_OUT,233442.62,C1285604654,22948.0,0.0,C518310831,575599.48,809042.1
348,CASH_OUT,355048.13,C1119830051,49864.0,0.0,C695452227,139403.67,494451.8
348,PAYMENT,49907.7,C1364424913,0.0,0.0,M1673835953,0.0,0.0
348,PAYMENT,26283.83,C688358738,46302.0,20018.17,M285304329,0.0,0.0
348,CASH_OUT,345993.72,C1541280008,20018.17,0.0,C1848180281,374636.54,720630.25
348,PAYMENT,29529.03,C502357759,49633.0,20103.97,M147420422,0.0,0.0
348,CASH_OUT,499353.26,C308443960,51362.0,0.0,C1711990362,1086674.24,1586027.5
348,CASH_OUT,252526.16,C958365229,15556.0,0.0,C1990801666,0.0,252526.16
348,PAYMENT,10026.8,C772725079,11350.0,1323.2,M1840052437,0.0,0.0
348,TRANSFER,6075301.08,C1813439971,135452.0,0.0,C837804175,938074.46,7013375.54
348,PAYMENT,18388.03,C775553114,0.0,0.0,M1990631595,0.0,0.0
348,PAYMENT,36799.31,C2085000442,22010.0,0.0,M656691052,0.0,0.0
348,CASH_OUT,280109.66,C1508029186,66191.0,0.0,C179638682,0.0,280109.66
348,PAYMENT,12621.29,C436396909,442357.0,429735.71,M1378567571,0.0,0.0
348,PAYMENT,24601.63,C1475424149,429735.71,405134.08,M466091210,0.0,0.0
348,PAYMENT,18649.53,C382954836,40361.0,21711.47,M509392320,0.0,0.0
348,CASH_OUT,356060.41,C1074768921,4793.0,0.0,C1093904229,309597.84,665658.25
348,CASH_OUT,233659.91,C1678387582,11202.0,0.0,C633901218,0.0,233659.91
348,CASH_IN,63633.75,C1765691750,18429.0,82062.75,C473018758,0.0,0.0
348,PAYMENT,8178.37,C313985844,82062.75,73884.39,M803541535,0.0,0.0
348,TRANSFER,2037787.93,C445751108,6039.0,0.0,C940141589,5933.07,2043721.01
