step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
524,PAYMENT,22761.41,C1925378408,16146.0,0.0,M1380682927,0.0,0.0
524,CASH_IN,106006.11,C1422717092,10679.0,116685.11,C1901384965,0.0,0.0
524,CASH_OUT,93695.4,C1629315392,167275.0,73579.6,C452705239,203010.15,296705.54
524,PAYMENT,51809.14,C70354362,22559.0,0.0,M168906599,0.0,0.0
524,CASH_OUT,169140.66,C971753297,0.0,0.0,C1791450192,1553459.62,1722600.28
524,CASH_IN,141928.83,C871806541,3432.0,145360.83,C1782368764,0.0,0.0
524,CASH_OUT,183805.5,C1004730844,145360.83,0.0,C1112531015,730236.16,914041.66
524,CASH_OUT,257883.79,C998826928,0.0,0.0,C1184589462,377682.11,635565.89
524,CASH_OUT,4897.74,C1547598559,0.0,0.0,C1517957062,5509.11,10406.85
524,CASH_OUT,303715.27,C1526524875,0.0,0.0,C1898257529,1077910.55,1381625.82
524,CASH_OUT,476357.15,C1996277073,0.0,0.0,C543084446,594663.04,1071020.18
524,CASH_OUT,233613.21,C169160029,0.0,0.0,C916176244,819871.61,1053484.82
524,CASH_OUT,204042.72,C626153026,0.0,0.0,C1377213640,332431.97,536474.69
524,CASH_OUT,254230.44,C416105360,0.0,0.0,C1848179507,5192740.72,5446971.16
524,CASH_OUT,91911.45,C134994837,0.0,0.0,C1626204867,4.539711329E7,4.548902474E7
524,CASH_OUT,88970.37,C727146508,0.0,0.0,C207826092,1009415.83,1098386.2
524,CASH_OUT,309845.13,C469812066,0.0,0.0,C1766988650,1494635.47,1804480.61
524,CASH_OUT,204160.2,C1856225969,0.0,0.0,C669017413,1165549.8,1369710.0
524,CASH_OUT,294966.14,C941783939,0.0,0.0,C977419505,1034706.83,1329672.97
524,CASH_OUT,67330.44,C686111627,0.0,0.0,C1941112575,311128.43,378458.88
524,CASH_OUT,333192.34,C845477414,0.0,0.0,C1570627495,803767.97,1136960.31
524,CASH_OUT,445521.42,C1109531793,0.0,0.0,C233605161,773971.15,1219492.57
524,CASH_OUT,202517.09,C1769441589,0.0,0.0,C1505364980,1.367810393E7,1.388062102E7
524,CASH_OUT,71773.22,C1750060787,0.0,0.0,C393190910,977325.33,1049098.54
524,CASH_OUT,261890.03,C2098184218,0.0,0.0,C327278630,2390845.34,2652735.37
524,CASH_OUT,43102.47,C798727614,0.0,0.0,C100764761,790786.15,833888.63
524,CASH_OUT,113491.21,C2062583641,0.0,0.0,C1639907226,5968659.61,6082150.81
524,CASH_OUT,159322.53,C1818158754,0.0,0.0,C141734389,4590705.39,4750027.92
524,CASH_OUT,332932.68,C1867703331,0.0,0.0,C1084130939,2285818.71,2618751.39
524,CASH_OUT,226781.91,C483910170,0.0,0.0,C192046513,238158.27,464940.17
524,CASH_OUT,98991.58,C1659069590,0.0,0.0,C1542401557,122338.83,221330.4
524,CASH_OUT,262934.55,C2039735710,0.0,0.0,C2074168175,456645.71,719580.26
524,CASH_OUT,82754.31,C26768755,0.0,0.0,C1356578447,534873.84,617628.15
524,CASH_OUT,177076.2,C586977384,0.0,0.0,C155570881,1294466.56,1471542.76
524,CASH_OUT,355323.11,C1539475317,0.0,0.0,C2119732566,5299281.52,5654604.63
524,CASH_OUT,70534.7,C1025193606,0.0,0.0,C1047330228,88314.9,158849.6
524,PAYMENT,41686.11,C2137718715,51361.0,9674.89,M970149870,0.0,0.0
524,PAYMENT,1302.64,C1994759822,30373.0,29070.36,M305015250,0.0,0.0
524,CASH_IN,24609.29,C974228235,93.0,24702.29,C274390699,2731815.55,2707206.26
524,PAYMENT,29401.78,C421404568,20486.0,0.0,M1138095067,0.0,0.0
524,PAYMENT,5966.39,C542515914,105882.0,99915.61,M380218392,0.0,0.0
524,PAYMENT,522.67,C2132972426,99915.61,99392.94,M327548062,0.0,0.0
524,CASH_OUT,171866.23,C47504470,39576.0,0.0,C1393284320,79358.64,251224.87
524,TRANSFER,574837.72,C1497786744,5493.0,0.0,C1443968571,0.0,574837.72
524,CASH_OUT,490959.78,C848498457,0.0,0.0,C424579805,5095862.37,5586822.15
524,PAYMENT,2284.56,C240022745,558.0,0.0,M710684458,0.0,0.0
524,CASH_IN,55655.82,C1086033584,34019.0,89674.82,C1097615873,0.0,0.0
524,PAYMENT,42034.58,C1786428025,9061.0,0.0,M401601363,0.0,0.0
524,PAYMENT,36982.82,C1543617531,0.0,0.0,M1087598789,0.0,0.0
524,CASH_IN,74799.47,C2135270356,103526.0,178325.47,C1404867668,2462131.86,2387332.39
524,PAYMENT,3470.22,C400077316,36573.0,33102.78,M1180114279,0.0,0.0
524,CASH_OUT,270842.38,C500762672,20983.0,0.0,C2119453186,145510.35,416352.72
524,CASH_OUT,161009.58,C1339052892,24658.0,0.0,C205831938,0.0,161009.58
524,CASH_OUT,133479.59,C499810352,78272.0,0.0,C1481399460,0.0,133479.59
524,CASH_OUT,80691.77,C1661475531,36313.0,0.0,C401613607,2147046.92,2227738.69
524,CASH_OUT,53727.06,C910493202,10699.0,0.0,C1031567979,118605.44,172332.49
524,PAYMENT,28879.28,C2076371253,0.0,0.0,M843066749,0.0,0.0
524,PAYMENT,28043.48,C297646012,30295.0,2251.52,M257316367,0.0,0.0
524,CASH_IN,132027.14,C1672580497,67809.0,199836.14,C1020647670,0.0,0.0
524,CASH_OUT,178252.18,C1353285471,403266.0,225013.82,C1168851624,46874.57,225126.75
524,PAYMENT,35308.77,C743781025,134443.0,99134.23,M294584074,0.0,0.0
524,PAYMENT,3901.81,C2117871023,10204.0,6302.19,M1710554800,0.0,0.0
524,CASH_OUT,238093.86,C1622218901,14062.0,0.0,C1125116867,0.0,238093.86
524,CASH_OUT,49814.38,C111267110,46295.0,0.0,C408002247,176424.41,226238.79
524,CASH_OUT,406097.22,C422543616,0.0,0.0,C1800387607,3069654.62,3475751.83
524,PAYMENT,30859.14,C1533865451,21237.0,0.0,M871445411,0.0,0.0
524,PAYMENT,26747.25,C993067014,24471.0,0.0,M1593024993,0.0,0.0
524,CASH_OUT,210432.57,C1649151073,115774.0,0.0,C1317857992,0.0,210432.57
524,PAYMENT,22334.45,C1486505888,100439.0,78104.55,M1796758917,0.0,0.0
524,PAYMENT,9304.95,C682034606,78104.55,68799.6,M713698271,0.0,0.0
524,PAYMENT,16561.27,C539479657,68799.6,52238.33,M159009693,0.0,0.0
524,PAYMENT,17655.53,C434152809,52238.33,34582.8,M1649389913,0.0,0.0
524,PAYMENT,20153.85,C2080735231,34582.8,14428.95,M662234433,0.0,0.0
524,PAYMENT,6098.27,C992991018,14428.95,8330.68,M611675247,0.0,0.0
524,PAYMENT,14615.96,C1935148441,8330.68,0.0,M325760094,0.0,0.0
524,PAYMENT,7516.98,C1455007646,0.0,0.0,M1503702834,0.0,0.0
524,PAYMENT,4992.3,C1785142610,0.0,0.0,M753503236,0.0,0.0
524,PAYMENT,9219.9,C938953552,0.0,0.0,M1802677155,0.0,0.0
524,PAYMENT,11305.77,C959292946,0.0,0.0,M1497666719,0.0,0.0
524,PAYMENT,2335.26,C1415903532,0.0,0.0,M716537776,0.0,0.0
524,PAYMENT,119.55,C2122076610,0.0,0.0,M65127166,0.0,0.0
524,PAYMENT,35312.52,C1891624503,0.0,0.0,M1903583087,0.0,0.0
524,PAYMENT,9528.06,C1838740162,0.0,0.0,M1625500605,0.0,0.0
524,PAYMENT,7695.15,C1877145544,0.0,0.0,M741097596,0.0,0.0
524,PAYMENT,65066.12,C101235161,0.0,0.0,M2144326758,0.0,0.0
524,PAYMENT,11219.57,C124461280,0.0,0.0,M1233825745,0.0,0.0
524,PAYMENT,3141.87,C177144136,0.0,0.0,M191006875,0.0,0.0
524,PAYMENT,5379.99,C1431360823,0.0,0.0,M1228414059,0.0,0.0
524,PAYMENT,481.84,C1003475269,0.0,0.0,M611754231,0.0,0.0
524,PAYMENT,3417.59,C2010914851,0.0,0.0,M2123276791,0.0,0.0
524,PAYMENT,5263.78,C999166618,0.0,0.0,M720272388,0.0,0.0
524,PAYMENT,11993.22,C1009097794,0.0,0.0,M934216488,0.0,0.0
524,CASH_OUT,84857.75,C2097077637,3181.0,0.0,C712817483,74979.66,159837.41
524,TRANSFER,95695.86,C631865410,20748.0,0.0,C1714083725,3800963.25,3896659.11
524,CASH_OUT,69948.13,C897503033,21720.0,0.0,C363720547,166805.95,236754.08
524,CASH_OUT,335034.62,C2055683325,0.0,0.0,C1564926931,1935868.01,2270902.63
524,CASH_OUT,129543.44,C1881134301,0.0,0.0,C2049724559,297170.07,426713.51
524,CASH_OUT,30941.72,C433975564,0.0,0.0,C744550188,82515.29,113457.01
524,CASH_OUT,84291.26,C1511645705,0.0,0.0,C1218590381,95862.2,180153.46
524,CASH_OUT,78974.75,C423255395,0.0,0.0,C16828683,287226.48,366201.23
524,CASH_OUT,338296.05,C395172773,0.0,0.0,C91665674,656475.73,994771.77
524,CASH_OUT,39986.06,C1638800841,0.0,0.0,C400369403,1484702.54,1524688.6
524,CASH_OUT,118972.0,C1949479519,0.0,0.0,C1113228657,1945116.02,2064088.01
524,CASH_OUT,182331.37,C1059600639,0.0,0.0,C1665580083,2527358.13,2709689.5
524,CASH_OUT,29741.82,C1174510668,0.0,0.0,C312941487,1219865.47,1249607.29
524,CASH_OUT,109196.5,C1464893712,0.0,0.0,C2011993888,3785720.04,3894916.55
524,CASH_OUT,627609.62,C915497455,0.0,0.0,C2054681570,1150226.07,1777835.69
524,CASH_OUT,193960.81,C1207977986,0.0,0.0,C41246463,1282007.25,1475968.06
524,CASH_OUT,440953.67,C44654258,0.0,0.0,C865267719,2726299.04,3167252.71
524,CASH_OUT,351683.26,C1361184758,0.0,0.0,C723444101,1507168.97,1858852.23
524,CASH_OUT,1803.23,C1812044324,0.0,0.0,C1796069801,2208886.39,2210689.61
524,CASH_OUT,324210.74,C638291966,0.0,0.0,C378550927,386856.04,711066.78
524,CASH_OUT,161150.32,C1847531843,0.0,0.0,C1350600964,4225564.97,4386715.28
524,CASH_OUT,180044.24,C801357505,0.0,0.0,C958809849,718728.65,898772.89
524,CASH_OUT,147999.37,C1332986279,0.0,0.0,C467254780,720003.34,868002.72
524,CASH_OUT,35563.17,C897438664,0.0,0.0,C1565883776,130832.68,166395.85
524,PAYMENT,4569.25,C591270181,705752.0,701182.75,M297375285,0.0,0.0
524,CASH_OUT,135301.51,C1083573084,9922.0,0.0,C189260055,0.0,135301.51
524,CASH_OUT,47687.91,C456026901,201513.0,153825.09,C1400181362,3030872.83,3078560.73
524,PAYMENT,12456.12,C1212872300,153825.09,141368.98,M354404718,0.0,0.0
524,PAYMENT,65060.11,C1709417586,141368.98,76308.87,M226303256,0.0,0.0
524,PAYMENT,23542.59,C312173389,76308.87,52766.28,M2032442569,0.0,0.0
524,PAYMENT,76975.45,C27027371,52766.28,0.0,M1684811613,0.0,0.0
524,PAYMENT,7707.05,C765766038,0.0,0.0,M1882962495,0.0,0.0
524,PAYMENT,15375.22,C309865132,0.0,0.0,M392948089,0.0,0.0
524,PAYMENT,530.21,C529205787,0.0,0.0,M852275607,0.0,0.0
524,PAYMENT,9467.98,C1639108648,0.0,0.0,M693820742,0.0,0.0
524,PAYMENT,9.17,C1850130852,0.0,0.0,M961644018,0.0,0.0
524,PAYMENT,20539.84,C1318396256,0.0,0.0,M828007705,0.0,0.0
524,PAYMENT,4036.83,C1766447479,0.0,0.0,M1552068537,0.0,0.0
524,PAYMENT,7581.17,C997923688,0.0,0.0,M1500234675,0.0,0.0
524,PAYMENT,17309.02,C2119052168,0.0,0.0,M939043999,0.0,0.0
524,PAYMENT,27583.7,C1421558099,0.0,0.0,M1405773356,0.0,0.0
524,PAYMENT,5897.5,C1549211062,0.0,0.0,M783927031,0.0,0.0
524,PAYMENT,41863.15,C545700778,0.0,0.0,M545079952,0.0,0.0
524,PAYMENT,7222.74,C1155733900,0.0,0.0,M604889497,0.0,0.0
524,CASH_OUT,128765.15,C826496345,99420.0,0.0,C347771772,138350.01,267115.15
524,CASH_OUT,20226.29,C2078341155,0.0,0.0,C163727730,122781.83,143008.12
524,PAYMENT,12082.23,C663990698,4512.0,0.0,M1826196968,0.0,0.0
524,PAYMENT,17819.14,C1193010359,0.0,0.0,M1002847639,0.0,0.0
524,PAYMENT,9446.75,C31638948,31082.0,21635.25,M561299133,0.0,0.0
524,CASH_IN,29803.55,C961730680,6005.0,35808.55,C521905953,0.0,0.0
524,PAYMENT,13149.86,C863137856,35808.55,22658.69,M615144559,0.0,0.0
524,PAYMENT,7279.04,C548376337,816.0,0.0,M261165668,0.0,0.0
524,PAYMENT,1198.07,C801215398,0.0,0.0,M1509878549,0.0,0.0
524,CASH_OUT,19607.65,C99950652,298316.0,278708.35,C939709844,0.0,19607.65
524,CASH_OUT,9998.44,C40898772,20869.0,10870.56,C616702594,111492.59,121491.03
524,CASH_OUT,354160.61,C563085215,10870.56,0.0,C132146742,4381120.9,4735281.51
524,CASH_OUT,21141.72,C252124920,0.0,0.0,C170252087,277943.24,299084.96
524,CASH_OUT,388624.17,C593439716,0.0,0.0,C577047426,3334727.53,3723351.7
524,CASH_OUT,26621.9,C564885995,0.0,0.0,C801554484,783649.01,810270.91
524,CASH_OUT,156958.95,C2139494726,0.0,0.0,C2002819452,926863.17,1083822.11
524,CASH_OUT,127751.49,C1212229776,0.0,0.0,C449951904,587658.15,715409.64
524,CASH_OUT,25232.55,C303774327,0.0,0.0,C1645481378,478441.18,503673.73
