step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
142,PAYMENT,12037.14,C918467866,50320.0,38282.86,M402242524,0.0,0.0
142,PAYMENT,4324.53,C647999236,105522.0,101197.47,M660520877,0.0,0.0
142,PAYMENT,13849.43,C1686886457,101197.47,87348.04,M1047963695,0.0,0.0
142,PAYMENT,4344.85,C1699403626,148662.0,144317.15,M935047097,0.0,0.0
142,CASH_OUT,177110.8,C231469927,144317.15,0.0,C1719562802,577070.09,754180.9
142,PAYMENT,13757.64,C116856097,298.0,0.0,M892691218,0.0,0.0
142,CASH_IN,243276.78,C1595524202,61303.0,304579.78,C681371095,113176.92,0.0
142,PAYMENT,16699.76,C219890725,177928.0,161228.24,M872093370,0.0,0.0
142,PAYMENT,16728.55,C759746084,23170.0,6441.45,M1013151091,0.0,0.0
142,CASH_OUT,55695.5,C1796093110,6441.45,0.0,C345270290,526278.61,581974.11
142,CASH_OUT,382162.57,C11248043,0.0,0.0,C2105830770,2.904215776E7,2.942432033E7
142,PAYMENT,6057.77,C1803122292,10766.0,4708.23,M1276530309,0.0,0.0
142,PAYMENT,8609.24,C1445423157,4708.23,0.0,M198978979,0.0,0.0
142,CASH_IN,16971.64,C724967546,39670.0,56641.64,C1709267320,1637353.09,1620381.45
142,PAYMENT,781.28,C1437217279,191651.0,190869.72,M941727167,0.0,0.0
142,PAYMENT,7086.68,C1392119341,20786.0,13699.32,M1221972472,0.0,0.0
142,PAYMENT,9039.26,C1291068628,300693.0,291653.74,M2022478992,0.0,0.0
142,CASH_IN,36646.08,C2047178442,56995.0,93641.08,C1903833074,1.013825242E7,1.010160634E7
142,PAYMENT,38326.95,C473510499,143623.0,105296.05,M1904633780,0.0,0.0
142,CASH_IN,30718.13,C1840403712,5415.0,36133.13,C2024744108,123102.18,92384.05
142,PAYMENT,16181.2,C1011928410,25157.0,8975.8,M1764706969,0.0,0.0
142,CASH_IN,149548.94,C735456207,405272.0,554820.94,C1327406219,0.0,0.0
142,CASH_OUT,183657.28,C1412657632,554820.94,371163.66,C1101504046,7639263.18,7822920.46
142,PAYMENT,3690.13,C1857248289,117751.0,114060.87,M2103163116,0.0,0.0
142,CASH_OUT,327183.39,C1741253851,114060.87,0.0,C2116139448,996163.48,1323346.88
142,CASH_OUT,267109.93,C683322803,0.0,0.0,C488082561,557990.89,825100.82
142,CASH_OUT,222387.13,C1553776337,0.0,0.0,C1777379360,1981507.2,2203894.33
142,CASH_OUT,192965.58,C2090918262,0.0,0.0,C682038930,315074.53,508040.11
142,CASH_OUT,315770.79,C1344533901,0.0,0.0,C1468376518,3694484.69,4010255.48
142,CASH_OUT,117459.18,C763960591,0.0,0.0,C1789798005,1343095.84,1460555.02
142,CASH_OUT,255530.16,C349848665,0.0,0.0,C1544276350,423963.07,679493.24
142,CASH_OUT,130719.83,C1862974693,0.0,0.0,C1519864335,1031310.11,1162029.95
142,CASH_OUT,50958.72,C550150932,0.0,0.0,C2094831526,1283596.65,1334555.36
142,CASH_OUT,97154.39,C1171170151,0.0,0.0,C354930285,1415806.21,1512960.59
142,CASH_OUT,113587.88,C66117387,0.0,0.0,C235389256,1738654.14,1852242.02
142,CASH_OUT,203741.69,C958903812,0.0,0.0,C339851297,1080204.5,1283946.19
142,CASH_OUT,73013.11,C1283485751,0.0,0.0,C1857974951,5266331.5,5339344.62
142,CASH_OUT,262753.06,C2087003995,0.0,0.0,C1200375646,764684.74,1027437.8
142,CASH_OUT,197167.05,C2036905819,0.0,0.0,C232483887,889115.39,1086282.43
142,PAYMENT,3876.56,C2105256420,28883.0,25006.44,M850751412,0.0,0.0
142,TRANSFER,2218548.95,C1732237638,25006.44,0.0,C518334273,6349779.3,8568328.25
142,TRANSFER,2433373.85,C1532061845,0.0,0.0,C1309136529,5543823.35,7977197.2
142,TRANSFER,1388195.16,C2076561042,0.0,0.0,C1708048606,4319454.86,5707650.02
142,TRANSFER,1099722.87,C1645528721,0.0,0.0,C151596051,1506519.11,2606241.98
142,PAYMENT,8403.64,C2071516796,220101.0,211697.36,M725425222,0.0,0.0
142,PAYMENT,4857.0,C2128209645,110904.0,106047.0,M977115113,0.0,0.0
142,CASH_OUT,170775.47,C130772452,106047.0,0.0,C1831951707,1369894.03,1540669.5
142,PAYMENT,6318.32,C1146592887,5027.0,0.0,M1971910302,0.0,0.0
