step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
212,CASH_IN,288070.39,C1647834971,10465.0,298535.39,C1302115592,336762.13,48691.74
212,CASH_OUT,16134.02,C32775571,79315.0,63180.98,C1665318264,218991.81,235125.84
212,TRANSFER,62671.47,C1213208941,63180.98,509.51,C288814827,172289.73,234961.2
212,CASH_OUT,39886.87,C1679820863,499948.0,460061.13,C1786262437,0.0,39886.87
212,CASH_IN,59821.69,C963684047,9144.0,68965.69,C392279801,250013.89,190192.19
212,PAYMENT,8685.9,C407448823,5984.0,0.0,M1343935970,0.0,0.0
212,TRANSFER,105178.69,C874466862,0.0,0.0,C1216364715,273771.62,378950.31
212,CASH_IN,37121.63,C140890300,9914.0,47035.63,C1554913557,266490.72,229369.09
212,PAYMENT,9776.36,C1503292371,47035.63,37259.27,M1604911303,0.0,0.0
212,CASH_OUT,84875.08,C285825826,15420.0,0.0,C359543493,118590.97,203466.05
212,PAYMENT,2047.32,C936352143,51437.0,49389.68,M1023522902,0.0,0.0
212,PAYMENT,8831.53,C716781577,26824.0,17992.47,M1907537463,0.0,0.0
212,CASH_IN,33553.04,C981097071,45362.0,78915.04,C298013946,3074298.89,3040745.85
212,CASH_IN,130157.55,C168396414,15736.0,145893.55,C2039469021,0.0,0.0
212,CASH_OUT,120882.29,C1762889286,145893.55,25011.26,C290856535,273661.65,394543.94
212,PAYMENT,3603.44,C234131037,51607.0,48003.56,M1697977518,0.0,0.0
212,PAYMENT,5563.64,C592004096,100427.0,94863.36,M1457360785,0.0,0.0
212,CASH_IN,23813.29,C2138203505,50231.0,74044.29,C1486419261,0.0,0.0
212,CASH_OUT,29955.38,C850370133,287.0,0.0,C873312415,0.0,29955.38
212,TRANSFER,174681.58,C1529853252,456414.0,281732.42,C288667368,0.0,174681.58
212,CASH_IN,107618.06,C1630800055,838.0,108456.06,C956504679,216754.24,109136.19
212,PAYMENT,19423.92,C226603021,108456.06,89032.13,M1133693662,0.0,0.0
212,PAYMENT,2448.99,C1706148477,177994.29,175545.3,M604049356,0.0,0.0
212,CASH_OUT,84417.9,C612418201,175545.3,91127.4,C686805794,330777.34,415195.24
212,CASH_OUT,152001.99,C1896954093,1657.0,0.0,C1224961039,0.0,152001.99
212,CASH_OUT,100439.01,C442023576,7071.0,0.0,C1377731391,3226903.68,3327342.7
212,PAYMENT,12480.49,C915127664,0.0,0.0,M339551538,0.0,0.0
212,PAYMENT,2930.93,C1813225736,380120.0,377189.07,M870346348,0.0,0.0
212,TRANSFER,544633.64,C1491805533,2058.0,0.0,C634396851,231236.81,775870.45
212,PAYMENT,5517.06,C620928967,151537.0,146019.94,M1416126862,0.0,0.0
212,PAYMENT,8577.86,C1682699873,104687.0,96109.14,M1695278712,0.0,0.0
212,CASH_OUT,181153.35,C1422307769,12175.0,0.0,C1485099566,21812.97,202966.32
212,CASH_OUT,29444.73,C1135988414,14716.0,0.0,C486021886,0.0,29444.73
212,PAYMENT,4650.25,C2029437015,201474.0,196823.75,M1123336471,0.0,0.0
212,CASH_OUT,3741.71,C601811849,196823.75,193082.04,C129866793,1246913.81,1250655.53
212,CASH_OUT,113539.25,C1324548466,193082.04,79542.79,C2107533917,4474836.44,4588375.69
212,PAYMENT,8060.87,C4818051,80.0,0.0,M1691419108,0.0,0.0
212,TRANSFER,252065.62,C805776468,0.0,0.0,C1440799999,1656516.33,1908581.95
212,PAYMENT,1817.96,C1713980343,107976.0,106158.04,M705212013,0.0,0.0
212,CASH_OUT,36977.33,C1178223849,23494.0,0.0,C30783657,0.0,36977.33
212,PAYMENT,1714.71,C1331078646,497245.0,495530.29,M1674470224,0.0,0.0
212,PAYMENT,8825.12,C207274626,14825.0,5999.88,M416535276,0.0,0.0
212,PAYMENT,15412.52,C1649454357,204781.0,189368.48,M1913951980,0.0,0.0
212,CASH_OUT,21640.63,C679482622,20392.0,0.0,C748816482,831630.45,853271.09
212,PAYMENT,4395.09,C784525232,0.0,0.0,M1226694520,0.0,0.0
212,PAYMENT,2900.31,C535335745,0.0,0.0,M937903014,0.0,0.0
212,CASH_OUT,64093.72,C237096333,133.0,0.0,C1150800471,422209.01,486302.73
212,PAYMENT,17945.95,C702555438,0.0,0.0,M1917442504,0.0,0.0
212,PAYMENT,1951.07,C2134793812,0.0,0.0,M2146675099,0.0,0.0
212,PAYMENT,4320.74,C1469200926,13345.0,9024.26,M1797865149,0.0,0.0
212,CASH_OUT,23350.01,C1726484850,100080.0,76729.99,C1521501048,73388.91,96738.92
212,CASH_IN,221619.33,C79020869,32123.0,253742.33,C1167704000,622186.03,400566.71
212,PAYMENT,468.33,C1118915335,1907.0,1438.67,M1624197434,0.0,0.0
212,PAYMENT,3986.67,C1175107536,1438.67,0.0,M1812986815,0.0,0.0
212,CASH_OUT,75216.06,C607026250,10296.0,0.0,C1437860964,0.0,75216.06
212,TRANSFER,301266.12,C1043490668,14516.0,0.0,C9714556,4435247.96,4736514.08
212,TRANSFER,89619.34,C764801869,0.0,0.0,C273479718,4572361.31,4661980.65
212,CASH_IN,18224.16,C1054095171,1274.0,19498.16,C493337860,1103790.48,1085566.32
212,PAYMENT,4479.14,C1766838527,19498.16,15019.02,M1147917245,0.0,0.0
212,PAYMENT,1618.28,C1181110246,10654.0,9035.72,M1503069766,0.0,0.0
212,PAYMENT,20053.64,C1313406371,132375.0,112321.36,M1420044780,0.0,0.0
212,PAYMENT,10081.49,C550065633,817.0,0.0,M1091424904,0.0,0.0
212,TRANSFER,884340.37,C1210157807,62198.0,0.0,C574582843,67499.56,951839.93
212,CASH_OUT,51641.12,C1027547470,174.0,0.0,C1754409906,281420.59,333061.7
212,CASH_OUT,190909.95,C1471352149,676945.0,486035.05,C1338653967,0.0,190909.95
212,CASH_IN,107930.03,C2021985465,486035.05,593965.08,C83578653,899915.96,791985.93
212,CASH_IN,48178.99,C1018664884,593965.08,642144.08,C1989189926,125841.75,77662.75
212,CASH_IN,38596.24,C2026300477,642144.08,680740.32,C36675960,3768008.32,3729412.08
212,CASH_IN,5645.91,C936413141,680740.32,686386.23,C1396264130,22876.84,17230.94
212,CASH_IN,48830.83,C1742775634,686386.23,735217.06,C1703421930,142305.52,93474.69
212,CASH_IN,260490.47,C1743422509,735217.06,995707.53,C231391641,1396668.93,1136178.46
212,CASH_IN,63447.84,C683832289,995707.53,1059155.37,C753502823,845121.7,781673.86
212,CASH_IN,49761.63,C463451907,1059155.37,1108917.0,C842820457,1223991.38,1174229.74
212,CASH_IN,441527.84,C2042059543,1108917.0,1550444.84,C449293022,990099.48,548571.64
212,CASH_IN,194103.31,C1255109600,1550444.84,1744548.15,C292476879,523929.21,329825.9
212,CASH_IN,30463.8,C1906920483,1744548.15,1775011.94,C771165528,312799.97,282336.17
212,CASH_IN,219639.36,C401136314,1775011.94,1994651.31,C1719758381,222026.86,2387.5
212,CASH_IN,269895.99,C1413760179,1994651.31,2264547.3,C1189329641,2189643.55,1919747.56
212,CASH_IN,76362.39,C1705340328,2264547.3,2340909.68,C1614259717,94841.38,18478.99
