step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
334,CASH_OUT,58427.91,C1736251555,30105.0,0.0,C458059765,0.0,58427.91
334,PAYMENT,15962.26,C346251904,215.0,0.0,M1227475239,0.0,0.0
334,PAYMENT,5932.34,C682334642,12045.0,6112.66,M664544260,0.0,0.0
334,PAYMENT,683.7,C681895189,134786.0,134102.3,M792949207,0.0,0.0
334,PAYMENT,1262.05,C1532038020,134102.3,132840.25,M497789166,0.0,0.0
334,PAYMENT,8668.08,C304642563,132840.25,124172.16,M642870360,0.0,0.0
334,PAYMENT,60614.6,C1963937341,124172.16,63557.57,M891516074,0.0,0.0
334,PAYMENT,16345.77,C1678440559,63557.57,47211.79,M1234463514,0.0,0.0
334,PAYMENT,6934.57,C1189456563,47211.79,40277.22,M1758269665,0.0,0.0
334,PAYMENT,14063.19,C1530352663,40277.22,26214.03,M831596752,0.0,0.0
334,PAYMENT,5727.14,C1523231843,26214.03,20486.88,M1518396867,0.0,0.0
334,PAYMENT,5712.98,C1006011752,20486.88,14773.9,M60423534,0.0,0.0
334,PAYMENT,10641.17,C213905610,14773.9,4132.73,M1372365411,0.0,0.0
334,PAYMENT,1678.65,C1587454199,4132.73,2454.08,M312497351,0.0,0.0
334,PAYMENT,3348.79,C1634390009,2454.08,0.0,M1426175501,0.0,0.0
334,PAYMENT,28578.7,C2117287234,107628.0,79049.3,M1847937071,0.0,0.0
334,PAYMENT,18030.96,C1502037781,33122.0,15091.04,M23995382,0.0,0.0
334,CASH_OUT,139285.58,C1724962740,62758.0,0.0,C648530377,302624.65,441910.23
334,CASH_OUT,106450.12,C577802097,25124.0,0.0,C509910171,53797.37,160247.49
334,PAYMENT,18843.9,C1101843397,39196.0,20352.1,M833434005,0.0,0.0
334,PAYMENT,20245.26,C1361067363,20352.1,106.85,M1997355825,0.0,0.0
334,DEBIT,289.94,C1347953910,14114.0,13824.06,C1673384676,21238.0,21527.94
334,CASH_OUT,87427.56,C144803569,13824.06,0.0,C251258447,1504765.23,1592192.8
334,PAYMENT,8784.23,C1480223139,20984.0,12199.77,M1190135078,0.0,0.0
334,PAYMENT,10540.27,C1470031514,104003.0,93462.73,M1393325206,0.0,0.0
334,PAYMENT,14524.84,C1492154405,19915.0,5390.16,M519016232,0.0,0.0
334,PAYMENT,1881.21,C1055199321,5390.16,3508.95,M243100631,0.0,0.0
334,PAYMENT,9346.1,C1427577709,3508.95,0.0,M937646120,0.0,0.0
334,PAYMENT,17473.74,C554889557,0.0,0.0,M1146357107,0.0,0.0
334,PAYMENT,48389.31,C703967975,0.0,0.0,M75140585,0.0,0.0
334,PAYMENT,16406.11,C844389482,0.0,0.0,M1456453838,0.0,0.0
334,PAYMENT,26761.69,C1378437754,0.0,0.0,M40669203,0.0,0.0
334,PAYMENT,9033.76,C306916152,0.0,0.0,M971634807,0.0,0.0
334,PAYMENT,8264.19,C562765738,0.0,0.0,M1191313280,0.0,0.0
334,PAYMENT,25335.57,C215486131,0.0,0.0,M2055501087,0.0,0.0
334,PAYMENT,7363.91,C59462570,0.0,0.0,M1262371236,0.0,0.0
334,PAYMENT,4443.04,C132080614,0.0,0.0,M1579864719,0.0,0.0
334,PAYMENT,12491.92,C132500707,0.0,0.0,M1055887066,0.0,0.0
334,PAYMENT,6312.47,C1112738482,0.0,0.0,M1256523485,0.0,0.0
334,PAYMENT,10692.21,C1674463670,0.0,0.0,M563446347,0.0,0.0
334,PAYMENT,2412.61,C2076772945,0.0,0.0,M435693595,0.0,0.0
334,PAYMENT,6455.0,C141185387,0.0,0.0,M98569719,0.0,0.0
334,PAYMENT,1190.78,C919082136,0.0,0.0,M1856522922,0.0,0.0
334,PAYMENT,2464.84,C873705245,0.0,0.0,M832148445,0.0,0.0
334,PAYMENT,31864.28,C1191390626,0.0,0.0,M1808978674,0.0,0.0
334,PAYMENT,3726.57,C1108403154,0.0,0.0,M1072338742,0.0,0.0
334,PAYMENT,594.05,C1633342292,0.0,0.0,M476240079,0.0,0.0
334,PAYMENT,15174.76,C1504290530,0.0,0.0,M840026566,0.0,0.0
334,PAYMENT,2455.31,C90602659,42354.0,39898.69,M264792160,0.0,0.0
334,PAYMENT,10276.89,C465719757,24803.0,14526.11,M656536714,0.0,0.0
334,PAYMENT,18054.53,C286525353,42536.0,24481.47,M1565779587,0.0,0.0
334,PAYMENT,30389.71,C1410762973,24481.47,0.0,M2084287345,0.0,0.0
334,PAYMENT,8686.83,C1302583824,0.0,0.0,M260463321,0.0,0.0
334,PAYMENT,15647.59,C1874230164,0.0,0.0,M1320680744,0.0,0.0
334,PAYMENT,36934.27,C488103348,0.0,0.0,M553258077,0.0,0.0
334,PAYMENT,56720.44,C2093791501,0.0,0.0,M224613633,0.0,0.0
334,PAYMENT,45988.96,C783991652,0.0,0.0,M1590864394,0.0,0.0
334,PAYMENT,4693.43,C1204777996,0.0,0.0,M1351871145,0.0,0.0
334,PAYMENT,7589.55,C675983932,0.0,0.0,M1661198277,0.0,0.0
334,PAYMENT,22111.95,C1599121597,0.0,0.0,M282707804,0.0,0.0
334,PAYMENT,13502.72,C1845447721,0.0,0.0,M276781988,0.0,0.0
334,PAYMENT,14021.72,C1253055574,0.0,0.0,M344838523,0.0,0.0
334,PAYMENT,11327.17,C50616775,0.0,0.0,M1775014008,0.0,0.0
334,PAYMENT,3012.26,C592737211,0.0,0.0,M1504213155,0.0,0.0
334,PAYMENT,36163.89,C2026096688,0.0,0.0,M1963055104,0.0,0.0
334,PAYMENT,1093.12,C1967695024,0.0,0.0,M1874831322,0.0,0.0
334,PAYMENT,4376.77,C156987477,0.0,0.0,M1918990502,0.0,0.0
334,PAYMENT,7958.98,C1111244670,0.0,0.0,M1353695636,0.0,0.0
334,PAYMENT,19694.64,C35965452,43576.0,23881.36,M2079925926,0.0,0.0
334,PAYMENT,8109.74,C1486692712,110757.0,102647.26,M1980823694,0.0,0.0
334,PAYMENT,15867.18,C1379940586,20742.0,4874.82,M1614739474,0.0,0.0
334,CASH_OUT,188915.96,C1368982300,11387.0,0.0,C595517058,589281.23,778197.19
334,PAYMENT,5034.89,C540824873,124605.0,119570.11,M1936244396,0.0,0.0
334,PAYMENT,19245.61,C1677801147,119570.11,100324.5,M2098813124,0.0,0.0
334,PAYMENT,13110.52,C1062129491,19027.0,5916.48,M157649864,0.0,0.0
334,CASH_OUT,247315.33,C1690091697,5916.48,0.0,C1294214672,758367.32,1005682.66
334,PAYMENT,11280.07,C1398045594,20005.0,8724.93,M438895348,0.0,0.0
334,PAYMENT,21679.18,C1069015474,36768.0,15088.82,M1024202685,0.0,0.0
334,CASH_OUT,53453.24,C1307849517,15088.82,0.0,C995769128,291756.4,345209.65
334,PAYMENT,5459.38,C521709253,15936.0,10476.62,M522354405,0.0,0.0
334,PAYMENT,10399.72,C1120809795,466.0,0.0,M776932716,0.0,0.0
334,PAYMENT,26402.55,C1950071022,468.0,0.0,M2028086746,0.0,0.0
334,CASH_OUT,66225.42,C1267025326,77498.0,11272.58,C628835104,71685.53,137910.95
334,PAYMENT,4884.35,C494343647,11229.0,6344.65,M883040855,0.0,0.0
334,PAYMENT,13718.8,C1569136108,6344.65,0.0,M1020173255,0.0,0.0
334,PAYMENT,20207.69,C431138924,10973.0,0.0,M1009226135,0.0,0.0
334,PAYMENT,24825.83,C1504351106,0.0,0.0,M301083603,0.0,0.0
334,TRANSFER,147772.76,C487526473,18217.0,0.0,C694896471,36486.32,184259.08
334,PAYMENT,3392.49,C488935766,19158.0,15765.51,M270481395,0.0,0.0
334,PAYMENT,16813.17,C271792784,24912.0,8098.83,M1977347463,0.0,0.0
334,TRANSFER,25592.32,C1288465483,195.0,0.0,C870098425,2726201.33,2751793.65
334,PAYMENT,49.83,C621116046,0.0,0.0,M745222916,0.0,0.0
334,PAYMENT,367.13,C108418267,25351.0,24983.87,M695721578,0.0,0.0
334,CASH_IN,162554.78,C656933056,69392.0,231946.78,C1601648876,60724.59,0.0
334,TRANSFER,96667.18,C1387197490,5568.0,0.0,C404018571,0.0,96667.18
334,PAYMENT,29551.09,C1716171312,0.0,0.0,M1901700125,0.0,0.0
334,PAYMENT,19840.51,C378569974,0.0,0.0,M859503986,0.0,0.0
334,PAYMENT,30257.79,C5378583,0.0,0.0,M1016543052,0.0,0.0
334,PAYMENT,30357.33,C775074588,0.0,0.0,M1241975493,0.0,0.0
334,PAYMENT,22945.48,C1523940152,0.0,0.0,M1602034297,0.0,0.0
334,PAYMENT,1918.41,C1684859097,0.0,0.0,M382699443,0.0,0.0
334,PAYMENT,6952.24,C1739731689,0.0,0.0,M1353401012,0.0,0.0
334,PAYMENT,3970.02,C1392661080,0.0,0.0,M966440340,0.0,0.0
334,PAYMENT,10972.05,C1330244916,0.0,0.0,M1165863051,0.0,0.0
334,PAYMENT,18141.1,C78422766,0.0,0.0,M1752596986,0.0,0.0
334,PAYMENT,14392.25,C1758917005,0.0,0.0,M1078408684,0.0,0.0
334,PAYMENT,11941.07,C563954904,0.0,0.0,M2109241408,0.0,0.0
334,PAYMENT,30427.7,C574465251,71665.0,41237.3,M1529617693,0.0,0.0
334,PAYMENT,1702.58,C282868004,369.0,0.0,M781723911,0.0,0.0
334,CASH_IN,27285.44,C1632475787,44348.0,71633.44,C2088660068,12895.0,0.0
