step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
672,PAYMENT,2721.83,C820378108,5387.0,2665.17,M1584622184,0.0,0.0
672,PAYMENT,19645.15,C2089482478,2665.17,0.0,M1329570550,0.0,0.0
672,PAYMENT,23970.13,C1351260404,0.0,0.0,M359631015,0.0,0.0
672,PAYMENT,2123.18,C1049186156,157181.0,155057.82,M202596953,0.0,0.0
672,CASH_OUT,149423.34,C148510231,155057.82,5634.48,C1168542824,1051379.51,1200802.85
672,PAYMENT,3563.57,C1637457179,10136.0,6572.43,M362765419,0.0,0.0
672,PAYMENT,1115.05,C34207019,8059.0,6943.95,M1513824723,0.0,0.0
672,PAYMENT,17100.81,C2003242698,6943.95,0.0,M418670665,0.0,0.0
672,PAYMENT,4186.58,C1436116689,0.0,0.0,M1454370824,0.0,0.0
672,TRANSFER,7218629.01,C426878281,7218629.01,0.0,C1596412871,0.0,0.0
672,CASH_OUT,7218629.01,C578564110,7218629.01,0.0,C903355474,0.0,7218629.01
672,PAYMENT,867.19,C1020093822,234.0,0.0,M357297503,0.0,0.0
672,PAYMENT,2387.02,C25450834,248890.0,246502.98,M1111225644,0.0,0.0
672,PAYMENT,10784.07,C353017472,246502.98,235718.92,M1600235627,0.0,0.0
672,PAYMENT,588.12,C2089559068,10708.0,10119.88,M1627601972,0.0,0.0
672,PAYMENT,936.4,C549208074,37627.0,36690.6,M1926006406,0.0,0.0
672,CASH_OUT,97559.92,C1878913031,36690.6,0.0,C1766081865,173106.51,270666.43
672,PAYMENT,2752.2,C401048400,6213.0,3460.8,M1427717558,0.0,0.0
672,PAYMENT,3311.04,C1131899173,118547.0,115235.96,M1133171844,0.0,0.0
672,PAYMENT,2427.75,C1759261350,14708.0,12280.25,M1949582982,0.0,0.0
672,PAYMENT,2789.77,C217200484,52357.0,49567.23,M424279178,0.0,0.0
672,PAYMENT,19497.63,C277459975,49567.23,30069.6,M1180684518,0.0,0.0
672,PAYMENT,685.83,C1527481950,66004.0,65318.17,M233868313,0.0,0.0
672,PAYMENT,466.27,C1342449708,69427.0,68960.73,M1751386666,0.0,0.0
672,PAYMENT,2537.84,C1868187662,16744.0,14206.16,M1715704248,0.0,0.0
672,PAYMENT,10622.18,C402096148,14206.16,3583.98,M1602940314,0.0,0.0
672,PAYMENT,868.81,C1647166557,68.0,0.0,M404310001,0.0,0.0
672,PAYMENT,4338.36,C860197830,41211.0,36872.64,M1001086473,0.0,0.0
672,PAYMENT,98.79,C925395469,60837.0,60738.21,M1708950998,0.0,0.0
672,PAYMENT,2431.51,C2056839432,6083.0,3651.49,M455254852,0.0,0.0
672,CASH_IN,412896.74,C1865337391,3651.49,416548.23,C856641259,4021622.55,3608725.81
672,CASH_IN,66625.22,C1859981353,416548.23,483173.45,C1709928171,189320.96,122695.73
