step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest
282,PAYMENT,3016.0,C1842561748,258214.0,255198.0,M568779727,0.0,0.0
282,CASH_OUT,20827.98,C1889928947,9766.0,0.0,C513430189,474317.89,495145.87
282,CASH_OUT,202781.29,C758430970,11686.0,0.0,C95841319,437695.15,640476.43
282,TRANSFER,205559.22,C1518767722,16975.0,0.0,C1915210250,5882.29,211441.51
282,TRANSFER,487652.41,C1290335854,130209.0,0.0,C1892259244,0.0,487652.41
282,PAYMENT,10114.78,C205123742,178582.0,168467.22,M81940111,0.0,0.0
282,TRANSFER,53226.56,C1794729383,168467.22,115240.66,C567991821,3023534.0,3076760.56
282,PAYMENT,969.38,C1638507792,79547.0,78577.62,M584516795,0.0,0.0
282,CASH_OUT,38894.77,C878157912,80498.0,41603.23,C1520925960,413871.59,452766.36
282,PAYMENT,3102.53,C362950440,107435.0,104332.47,M965708201,0.0,0.0
282,TRANSFER,41010.47,C602386687,9922.0,0.0,C2063311305,1089473.62,1130484.09
282,CASH_IN,440926.67,C708542907,205843.0,646769.67,C1208124364,0.0,0.0
282,CASH_OUT,63580.2,C786702523,646769.67,583189.48,C1864857321,126365.66,189945.86
282,PAYMENT,1491.28,C1810052623,11238.0,9746.72,M1973228484,0.0,0.0
282,PAYMENT,2014.91,C64844437,25997.0,23982.09,M213085101,0.0,0.0
282,CASH_OUT,86486.29,C2123523962,5588.0,0.0,C926177715,377637.34,464123.63
282,PAYMENT,7079.52,C1661749343,9373.0,2293.48,M195942257,0.0,0.0
282,PAYMENT,17243.54,C475278250,2293.48,0.0,M1905272557,0.0,0.0
282,CASH_IN,113771.41,C1893713456,33294.0,147065.41,C1965513992,150728.5,36957.09
282,CASH_OUT,23898.39,C355242245,147065.41,123167.02,C1667305400,134770.68,158669.07
282,CASH_IN,214459.2,C672719217,368285.0,582744.2,C1591053529,884918.81,670459.61
282,CASH_OUT,184724.09,C1489964497,11607.0,0.0,C2021554493,0.0,184724.09
282,PAYMENT,5187.64,C1445965502,517.0,0.0,M670742983,0.0,0.0
282,CASH_OUT,294404.37,C1208403744,0.0,0.0,C925305451,1381918.76,1676323.13
282,CASH_OUT,78432.53,C1753741940,0.0,0.0,C450431634,159983.81,238416.34
282,PAYMENT,3004.07,C1140253572,116740.0,113735.93,M825249468,0.0,0.0
